Information,,Skin,Multi,Archive,Expansion,Material,Material,Material
2257,Crocodilestooth,TOA_Afct_Crocodilestooth.tga,0,15,0,0,,
2258,Battlersword,TOA_Afct_Battlersword.tga,0,15,0,0,,
2259,Battlersword gloss,TOA_Afct_Battlersword_gloss.tga,4,15,1,0,,
2260,Battlersword bump,TOA_Afct_Battlersword_bump.tga,6,15,1,0,,
2261,Bruiserhammer,TOA_Afct_Bruiserhammer.tga,0,15,0,0,,
2262,Bruiserhammer gloss,TOA_Afct_Bruiserhammer_gloss.tga,4,15,1,0,,
2263,Bruiserhammer bump,TOA_Afct_Bruiserhammer_bump.tga,6,15,1,0,,
2264,ScepterMeritorious,TOA_Afct_ScepterMeritorious.tga,0,15,0,0,,
2265,ScepterMeritorious gloss,TOA_Afct_ScepterMeritorious_gloss.tga,4,15,1,0,,
2266,ScepterMeritorious bump,TOA_Afct_ScepterMeritorious_bump.tga,6,15,1,0,,
2267,std1 arm1,toa_o_std1_arm1.tga,0,16,0,0,,
2268,std1 body1f a,toa_o_std1_body1f_a.tga,0,16,0,0,,
2269,std1 body1f h,toa_o_std1_body1f_h.tga,0,16,0,0,,
2270,std1 body1m a,toa_o_std1_body1m_a.tga,0,16,0,0,,
2271,std1 body1m h,toa_o_std1_body1m_h.tga,0,16,0,0,,
2272,std1 body1m m,toa_o_std1_body1m_m.tga,0,16,0,0,,
2273,std1 boot1 a,toa_o_std1_boot1_a.tga,0,16,0,0,,
2274,std1 boot1 hm,toa_o_std1_boot1_hm.tga,0,16,0,0,,
2275,std1 glov1,toa_o_std1_glov1.tga,0,16,0,0,,
2276,std1 lbody1,toa_o_std1_lbody1.tga,0,16,0,0,,
2277,std1 leg1 am,toa_o_std1_leg1_am.tga,0,16,0,0,,
2278,std1 leg1 h,toa_o_std1_leg1_h.tga,0,16,0,0,,
2279,std1 bodyf M,toa_o_std1_body1f_m.tga,0,16,0,0,,
2280,TOA O chn1 arm1,TOA_O_chn1_arm1.tga,0,26,0,0,,
2281,TOA O chn1 body1f a,TOA_O_chn1_body1f_a.tga,0,26,0,0,,
2282,TOA O chn1 body1f h,TOA_O_chn1_body1f_h.tga,0,26,0,0,,
2283,TOA O chn1 body1f m,TOA_O_chn1_body1f_m.tga,0,26,0,0,,
2284,TOA O chn1 body1m a,TOA_O_chn1_body1m_a.tga,0,26,0,0,,
2285,TOA O chn1 body1m h,TOA_O_chn1_body1m_h.tga,0,26,0,0,,
2286,TOA O chn1 body1m m,TOA_O_chn1_body1m_m.tga,0,26,0,0,,
2287,TOA O chn1 boot1 a,TOA_O_chn1_boot1_a.tga,0,26,0,0,,
2288,TOA O chn1 boot1 mh,TOA_O_chn1_boot1_hm.tga,0,26,0,0,,
2289,TOA O chn1 glov1,TOA_O_chn1_glov1.tga,0,26,0,0,,
2290,TOA O chn1 lbody1,TOA_O_chn1_lbody1.tga,0,26,0,0,,
2291,TOA O chn1 leg1 am,TOA_O_chn1_leg1_am.tga,0,26,0,0,,
2292,TOA O chn1 leg1 h,TOA_O_chn1_leg1_h.tga,0,26,0,0,,
2293,TOA O chn1 helm,TOA_O_chn1_helm.tga,0,26,0,0,,
2294,TOA O scl1 arm1,TOA_O_scl1_arm1.tga,0,23,0,0,,
2295,TOA O scl1 body1f a,TOA_O_scl1_body1f_a.tga,0,23,0,0,,
2296,TOA O scl1 body1f h,TOA_O_scl1_body1f_h.tga,0,23,0,0,,
2297,TOA O scl1 body1f m,TOA_O_scl1_body1f_m.tga,0,23,0,0,,
2298,TOA O scl1 body1m a,TOA_O_scl1_body1m_a.tga,0,23,0,0,,
2299,TOA O scl1 body1m h,TOA_O_scl1_body1m_h.tga,0,23,0,0,,
2300,TOA O scl1 body1m m,TOA_O_scl1_body1m_m.tga,0,23,0,0,,
2301,TOA O scl1 boot1 a,TOA_O_scl1_boot1_a.tga,0,23,0,0,,
2302,TOA O scl1 boot1 mh,TOA_O_scl1_boot1_hm.tga,0,23,0,0,,
2303,TOA O scl1 glov1,TOA_O_scl1_glov1.tga,0,23,0,0,,
2304,TOA O scl1 lbody1,TOA_O_scl1_lbody1.tga,0,23,0,0,,
2305,TOA O scl1 leg1 am,TOA_O_scl1_leg1_am.tga,0,23,0,0,,
2306,TOA O scl1 leg1 h,TOA_O_scl1_leg1_h.tga,0,23,0,0,,
2307,TOA O plt1 arm1,TOA_O_plt1_arm1.tga,0,26,0,0,,
2308,TOA O plt1 body1f a,TOA_O_plt1_body1f_a.tga,0,26,0,0,,
2309,TOA O plt1 body1f h,TOA_O_plt1_body1f_h.tga,0,26,0,0,,
2310,TOA O plt1 body1f m,TOA_O_plt1_body1f_m.tga,0,26,0,0,,
2311,TOA O plt1 body1m a,TOA_O_plt1_body1m_a.tga,0,26,0,0,,
2312,TOA O plt1 body1m h,TOA_O_plt1_body1m_h.tga,0,26,0,0,,
2313,TOA O plt1 body1m m,TOA_O_plt1_body1m_m.tga,0,26,0,0,,
2314,TOA O plt1 boot1 a,TOA_O_plt1_boot1_a.tga,0,26,0,0,,
2315,TOA O plt1 boot1 mh,TOA_O_plt1_boot1_hm.tga,0,26,0,0,,
2316,TOA O plt1 glov1,TOA_O_plt1_glov1.tga,0,26,0,0,,
2317,TOA O plt1 lbody1,TOA_O_plt1_lbody1.tga,0,26,0,0,,
2318,TOA O plt1 leg1 am,TOA_O_plt1_leg1_am.tga,0,26,0,0,,
2319,TOA O plt1 leg1 h,TOA_O_plt1_leg1_h.tga,0,26,0,0,,
2320,TOA S cth1 arm1,TOA_S_cth1_arm1.tga,0,17,0,0,,
2321,TOA S cth1 arm3,TOA_S_cth1_arm3.tga,0,17,0,0,,
2322,TOA S cth1 body1f a,TOA_S_cth1_body1f_a.tga,0,17,0,0,,
2323,TOA S cth1 body1f h,TOA_S_cth1_body1f_h.tga,0,17,0,0,,
2324,TOA S cth1 body1f m,TOA_S_cth1_body1f_m.tga,0,17,0,0,,
2325,TOA S cth1 body1m a,TOA_S_cth1_body1m_a.tga,0,17,0,0,,
2326,TOA S cth1 body1m h,TOA_S_cth1_body1m_h.tga,0,17,0,0,,
2327,TOA S cth1 body1m m,TOA_S_cth1_body1m_m.tga,0,17,0,0,,
2328,TOA S cth1 boot1 a,TOA_S_cth1_boot1_a.tga,0,17,0,0,,
2329,TOA S cth1 boot1 mh,TOA_S_cth1_boot1_mh.tga,0,17,0,0,,
2330,TOA S cth1 glov1,TOA_S_cth1_glov1.tga,0,17,0,0,,
2331,TOA S cth1 lbody1,TOA_S_cth1_lbody1.tga,0,17,0,0,,
2332,TOA S cth1 lbody3,TOA_S_cth1_lbody3.tga,0,17,0,0,,
2333,TOA S cth1 leg1 am,TOA_S_cth1_leg1_am.tga,0,17,0,0,,
2334,TOA S cth1 leg1 h,TOA_S_cth1_leg1_h.tga,0,17,0,0,,
2335,TOA S cth1 helm,TOA_S_cth1_helm.tga,0,17,0,0,,
2336,TOA S lea1 arm1,TOA_S_lea1_arm1.tga,0,17,0,0,,
2337,TOA S lea1 body1f a,TOA_S_lea1_body1f_a.tga,0,17,0,0,,
2338,TOA S lea1 body1f h,TOA_S_lea1_body1f_h.tga,0,17,0,0,,
2339,TOA S lea1 body1f m,TOA_S_lea1_body1f_m.tga,0,17,0,0,,
2340,TOA S lea1 body1m a,TOA_S_lea1_body1m_a.tga,0,17,0,0,,
2341,TOA S lea1 body1m h,TOA_S_lea1_body1m_h.tga,0,17,0,0,,
2342,TOA S lea1 body1m m,TOA_S_lea1_body1m_m.tga,0,17,0,0,,
2343,TOA S lea1 boot1 a,TOA_S_lea1_boot1_a.tga,0,17,0,0,,
2344,TOA S lea1 boot1 mh,TOA_S_lea1_boot1_mh.tga,0,17,0,0,,
2345,TOA S lea1 glov1,TOA_S_lea1_glov1.tga,0,17,0,0,,
2346,TOA S lea1 lbody1,TOA_S_lea1_lbody1.tga,0,17,0,0,,
2347,TOA S lea1 leg1 am,TOA_S_lea1_leg1_am.tga,0,17,0,0,,
2348,TOA S lea1 leg1 h,TOA_S_lea1_leg1_h.tga,0,17,0,0,,
2349,TOA S lea1 helm,TOA_S_lea1_helm.tga,0,17,0,0,,
2350,TOA S std1 arm1,TOA_S_std1_arm1.tga,0,22,0,0,,
2351,TOA S std1 body1f a,TOA_S_std1_body1f_a.tga,0,22,0,0,,
2352,TOA S std1 body1f h,TOA_S_std1_body1f_h.tga,0,22,0,0,,
2353,TOA S std1 body1f m,TOA_S_std1_body1f_m.tga,0,22,0,0,,
2354,TOA S std1 body1m a,TOA_S_std1_body1m_a.tga,0,22,0,0,,
2355,TOA S std1 body1m h,TOA_S_std1_body1m_h.tga,0,22,0,0,,
2356,TOA S std1 body1m m,TOA_S_std1_body1m_m.tga,0,22,0,0,,
2357,TOA S std1 boot1 a,TOA_S_std1_boot1_a.tga,0,22,0,0,,
2358,TOA S std1 boot1 mh,TOA_S_std1_boot1_mh.tga,0,22,0,0,,
2359,TOA S std1 glov1,TOA_S_std1_glov1.tga,0,22,0,0,,
2360,TOA S std1 lbody1,TOA_S_std1_lbody1.tga,0,22,0,0,,
2361,TOA S std1 leg1 am,TOA_S_std1_leg1_am.tga,0,22,0,0,,
2362,TOA S std1 leg1 h,TOA_S_std1_leg1_h.tga,0,22,0,0,,
2363,TOA S std1 helm,TOA_S_std1_helm.tga,0,22,0,0,,
2364,TOA S chn1 arm1,TOA_S_chn1_arm1.tga,0,18,0,0,,
2365,TOA S chn1 body1f a,TOA_S_chn1_body1f_a.tga,0,18,0,0,,
2366,TOA S chn1 body1f h,TOA_S_chn1_body1f_h.tga,0,18,0,0,,
2367,TOA S chn1 body1f m,TOA_S_chn1_body1f_m.tga,0,18,0,0,,
2368,TOA S chn1 body1m a,TOA_S_chn1_body1m_a.tga,0,18,0,0,,
2369,TOA S chn1 body1m h,TOA_S_chn1_body1m_h.tga,0,18,0,0,,
2370,TOA S chn1 body1m m,TOA_S_chn1_body1m_m.tga,0,18,0,0,,
2371,TOA S chn1 boot1 a,TOA_S_chn1_boot1_a.tga,0,18,0,0,,
2372,TOA S chn1 boot1 mh,TOA_S_chn1_boot1_mh.tga,0,18,0,0,,
2373,TOA S chn1 glov1,TOA_S_chn1_glov1.tga,0,18,0,0,,
2374,TOA S chn1 lbody1,TOA_S_chn1_lbody1.tga,0,18,0,0,,
2375,TOA S chn1 leg1 am,TOA_S_chn1_leg1_am.tga,0,18,0,0,,
2376,TOA S chn1 leg1 h,TOA_S_chn1_leg1_h.tga,0,18,0,0,,
2377,TOA S chn1 helm,TOA_S_chn1_helm.tga,0,18,0,0,,
2378,TOA S scl1 arm1,TOA_S_scl1_arm1.tga,0,23,0,0,,
2379,TOA S scl1 body1f a,TOA_S_scl1_body1f_a.tga,0,23,0,0,,
2380,TOA S scl1 body1f h,TOA_S_scl1_body1f_h.tga,0,23,0,0,,
2381,TOA S scl1 body1f m,TOA_S_scl1_body1f_m.tga,0,23,0,0,,
2382,TOA S scl1 body1m a,TOA_S_scl1_body1m_a.tga,0,23,0,0,,
2383,TOA S scl1 body1m h,TOA_S_scl1_body1m_h.tga,0,23,0,0,,
2384,TOA S scl1 body1m m,TOA_S_scl1_body1m_m.tga,0,23,0,0,,
2385,TOA S scl1 boot1 a,TOA_S_scl1_boot1_a.tga,0,23,0,0,,
2386,TOA S scl1 boot1 mh,TOA_S_scl1_boot1_mh.tga,0,23,0,0,,
2387,TOA S scl1 glov1,TOA_S_scl1_glov1.tga,0,23,0,0,,
2388,TOA S scl1 lbody1,TOA_S_scl1_lbody1.tga,0,23,0,0,,
2389,TOA S scl1 leg1 am,TOA_S_scl1_leg1_am.tga,0,23,0,0,,
2390,TOA S scl1 leg1 h,TOA_S_scl1_leg1_h.tga,0,23,0,0,,
2391,TOA S plt1 arm1,TOA_S_plt1_arm1.tga,0,17,0,0,,
2392,TOA S plt1 body1f a,TOA_S_plt1_body1f_a.tga,0,17,0,0,,
2393,TOA S plt1 body1f h,TOA_S_plt1_body1f_h.tga,0,17,0,0,,
2394,TOA S plt1 body1f m,TOA_S_plt1_body1f_m.tga,0,17,0,0,,
2395,TOA S plt1 body1m a,TOA_S_plt1_body1m_a.tga,0,17,0,0,,
2396,TOA S plt1 body1m h,TOA_S_plt1_body1m_h.tga,0,17,0,0,,
2397,TOA S plt1 body1m m,TOA_S_plt1_body1m_m.tga,0,17,0,0,,
2398,TOA S plt1 boot1 a,TOA_S_plt1_boot1_a.tga,0,17,0,0,,
2399,TOA S plt1 boot1 mh,TOA_S_plt1_boot1_mh.tga,0,17,0,0,,
2400,TOA S plt1 glov1,TOA_S_plt1_glov1.tga,0,17,0,0,,
2401,TOA S plt1 lbody1,TOA_S_plt1_lbody1.tga,0,17,0,0,,
2402,TOA S plt1 leg1 am,TOA_S_plt1_leg1_am.tga,0,17,0,0,,
2403,TOA S plt1 leg1 h,TOA_S_plt1_leg1_h.tga,0,17,0,0,,
2404,TOA V cth1 arm1,TOA_V_cth1_arm1.tga,0,18,0,0,,
2405,TOA V cth1 arm3,TOA_V_cth1_arm3.tga,0,18,0,0,,
2406,TOA V cth1 body1f a,TOA_V_cth1_body1f_a.tga,0,18,0,0,,
2407,TOA V cth1 body1f h,TOA_V_cth1_body1f_h.tga,0,18,0,0,,
2408,TOA V cth1 body1f m,TOA_V_cth1_body1f_m.tga,0,18,0,0,,
2409,TOA V cth1 body1m a,TOA_V_cth1_body1m_a.tga,0,18,0,0,,
2410,TOA V cth1 body1m h,TOA_V_cth1_body1m_h.tga,0,18,0,0,,
2411,TOA V cth1 body1m m,TOA_V_cth1_body1m_m.tga,0,18,0,0,,
2412,TOA V cth1 boot1 a,TOA_V_cth1_boot1_a.tga,0,18,0,0,,
2413,TOA V cth1 boot1 mh,TOA_V_cth1_boot1_hm.tga,0,18,0,0,,
2414,TOA V cth1 glov1,TOA_V_cth1_glov1.tga,0,18,0,0,,
2415,TOA V cth1 lbody1,TOA_V_cth1_lbody1.tga,0,18,0,0,,
2416,TOA V cth1 lbody3,TOA_V_cth1_lbody3.tga,0,18,0,0,,
2417,TOA V cth1 leg1 am,TOA_V_cth1_leg1_am.tga,0,18,0,0,,
2418,TOA V cth1 leg1 h,TOA_V_cth1_leg1_h.tga,0,18,0,0,,
2419,TOA V cth1 helm,TOA_V_cth1_helm.tga,0,18,0,0,,
2420,TOA V lea1 arm1,TOA_V_lea1_arm1.tga,0,19,0,0,,
2421,TOA V lea1 body1f a,TOA_V_lea1_body1f_a.tga,0,19,0,0,,
2422,TOA V lea1 body1f h,TOA_V_lea1_body1f_h.tga,0,19,0,0,,
2423,TOA V lea1 body1f m,TOA_V_lea1_body1f_m.tga,0,19,0,0,,
2424,TOA V lea1 body1m a,TOA_V_lea1_body1m_a.tga,0,19,0,0,,
2425,TOA V lea1 body1m h,TOA_V_lea1_body1m_h.tga,0,19,0,0,,
2426,TOA V lea1 body1m m,TOA_V_lea1_body1m_m.tga,0,19,0,0,,
2427,TOA V lea1 boot1 a,TOA_V_lea1_boot1_a.tga,0,19,0,0,,
2428,TOA V lea1 boot1 mh,TOA_V_lea1_boot1_hm.tga,0,19,0,0,,
2429,TOA V lea1 glov1,TOA_V_lea1_glov1.tga,0,19,0,0,,
2430,TOA V lea1 lbody1,TOA_V_lea1_lbody1.tga,0,19,0,0,,
2431,TOA V lea1 leg1 am,TOA_V_lea1_leg1_am.tga,0,19,0,0,,
2432,TOA V lea1 leg1 h,TOA_V_lea1_leg1_h.tga,0,19,0,0,,
2433,TOA V lea1 helm,TOA_V_lea1_helm.tga,0,17,0,0,,
2434,TOA V std1 arm1,TOA_V_std1_arm1.tga,0,23,0,0,,
2435,TOA V std1 body1f a,TOA_V_std1_body1f_a.tga,0,23,0,0,,
2436,TOA V std1 body1f h,TOA_V_std1_body1f_h.tga,0,23,0,0,,
2437,TOA V std1 body1f m,TOA_V_std1_body1f_m.tga,0,23,0,0,,
2438,TOA V std1 body1m a,TOA_V_std1_body1m_a.tga,0,23,0,0,,
2439,TOA V std1 body1m h,TOA_V_std1_body1m_h.tga,0,23,0,0,,
2440,TOA V std1 body1m m,TOA_V_std1_body1m_m.tga,0,23,0,0,,
2441,TOA V std1 boot1 a,TOA_V_std1_boot1_a.tga,0,23,0,0,,
2442,TOA V std1 boot1 mh,TOA_V_std1_boot1_hm.tga,0,23,0,0,,
2443,TOA V std1 glov1,TOA_V_std1_glov1.tga,0,23,0,0,,
2444,TOA V std1 lbody1,TOA_V_std1_lbody1.tga,0,23,0,0,,
2445,TOA V std1 leg1 am,TOA_V_std1_leg1_am.tga,0,23,0,0,,
2446,TOA V std1 leg1 h,TOA_V_std1_leg1_h.tga,0,23,0,0,,
2447,TOA V std1 helm,TOA_V_std1_helm.tga,0,23,0,0,,
2448,TOA V chn1 arm1,TOA_V_chn1_arm1.tga,0,16,0,0,,
2449,TOA V chn1 body1f a,TOA_V_chn1_body1f_a.tga,0,16,0,0,,
2450,TOA V chn1 body1f h,TOA_V_chn1_body1f_h.tga,0,16,0,0,,
2451,TOA V chn1 body1f m,TOA_V_chn1_body1f_m.tga,0,16,0,0,,
2452,TOA V chn1 body1m a,TOA_V_chn1_body1m_a.tga,0,16,0,0,,
2453,TOA V chn1 body1m h,TOA_V_chn1_body1m_h.tga,0,16,0,0,,
2454,TOA V chn1 body1m m,TOA_V_chn1_body1m_m.tga,0,16,0,0,,
2455,TOA V chn1 boot1 a,TOA_V_chn1_boot1_a.tga,0,16,0,0,,
2456,TOA V chn1 boot1 mh,TOA_V_chn1_boot1_hm.tga,0,16,0,0,,
2457,TOA V chn1 glov1,TOA_V_chn1_glov1.tga,0,16,0,0,,
2458,TOA V chn1 lbody1,TOA_V_chn1_lbody1.tga,0,16,0,0,,
2459,TOA V chn1 leg1 am,TOA_V_chn1_leg1_am.tga,0,16,0,0,,
2460,TOA V chn1 leg1 h,TOA_V_chn1_leg1_h.tga,0,16,0,0,,
2461,TOA V chn1 helm,TOA_V_chn1_helm.tga,0,16,0,0,,
2462,TOA V scl1 arm1,TOA_V_scl1_arm1.tga,0,16,0,0,,
2463,TOA V scl1 body1f a,TOA_V_scl1_body1f_a.tga,0,16,0,0,,
2464,TOA V scl1 body1f h,TOA_V_scl1_body1f_h.tga,0,16,0,0,,
2465,TOA V scl1 body1f m,TOA_V_scl1_body1f_m.tga,0,16,0,0,,
2466,TOA V scl1 body1m a,TOA_V_scl1_body1m_a.tga,0,16,0,0,,
2467,TOA V scl1 body1m h,TOA_V_scl1_body1m_h.tga,0,16,0,0,,
2468,TOA V scl1 body1m m,TOA_V_scl1_body1m_m.tga,0,16,0,0,,
2469,TOA V scl1 boot1 a,TOA_V_scl1_boot1_a.tga,0,16,0,0,,
2470,TOA V scl1 boot1 mh,TOA_V_scl1_boot1_hm.tga,0,16,0,0,,
2471,TOA V scl1 glov1,TOA_V_scl1_glov1.tga,0,16,0,0,,
2472,TOA V scl1 lbody1,TOA_V_scl1_lbody1.tga,0,16,0,0,,
2473,TOA V scl1 leg1 am,TOA_V_scl1_leg1_am.tga,0,16,0,0,,
2474,TOA V scl1 leg1 h,TOA_V_scl1_leg1_h.tga,0,16,0,0,,
2475,TOA V plt1 arm1,TOA_V_plt1_arm1.tga,0,16,0,0,,
2476,TOA V plt1 body1f a,TOA_V_plt1_body1f_a.tga,0,16,0,0,,
2477,TOA V plt1 body1f h,TOA_V_plt1_body1f_h.tga,0,16,0,0,,
2478,TOA V plt1 body1f m,TOA_V_plt1_body1f_m.tga,0,16,0,0,,
2479,TOA V plt1 body1m a,TOA_V_plt1_body1m_a.tga,0,16,0,0,,
2480,TOA V plt1 body1m h,TOA_V_plt1_body1m_h.tga,0,16,0,0,,
2481,TOA V plt1 body1m m,TOA_V_plt1_body1m_m.tga,0,16,0,0,,
2482,TOA V plt1 boot1 a,TOA_V_plt1_boot1_a.tga,0,16,0,0,,
2483,TOA V plt1 boot1 mh,TOA_V_plt1_boot1_hm.tga,0,16,0,0,,
2484,TOA V plt1 glov1,TOA_V_plt1_glov1.tga,0,16,0,0,,
2485,TOA V plt1 lbody1,TOA_V_plt1_lbody1.tga,0,16,0,0,,
2486,TOA V plt1 leg1 am,TOA_V_plt1_leg1_am.tga,0,16,0,0,,
2487,TOA V plt1 leg1 h,TOA_V_plt1_leg1_h.tga,0,16,0,0,,
2488,TOA A cth1 arm1,TOA_A_cth1_arm1.tga,0,18,0,0,,
2489,TOA A cth1 arm3,TOA_A_cth1_arm3.tga,0,18,0,0,,
2490,TOA A cth1 body1f a,TOA_A_cth1_body1f_a.tga,0,18,0,0,,
2491,TOA A cth1 body1f h,TOA_A_cth1_body1f_h.tga,0,18,0,0,,
2492,TOA A cth1 body1f m,TOA_A_cth1_body1f_m.tga,0,18,0,0,,
2493,TOA A cth1 body1m a,TOA_A_cth1_body1m_a.tga,0,18,0,0,,
2494,TOA A cth1 body1m h,TOA_A_cth1_body1m_h.tga,0,18,0,0,,
2495,TOA A cth1 body1m m,TOA_A_cth1_body1m_m.tga,0,18,0,0,,
2496,TOA A cth1 boot1 a,TOA_A_cth1_boot1_a.tga,0,18,0,0,,
2497,TOA A cth1 boot1 mh,TOA_A_cth1_boot1_hm.tga,0,18,0,0,,
2498,TOA A cth1 glov1,TOA_A_cth1_glov1.tga,0,18,0,0,,
2499,TOA A cth1 lbody1,TOA_A_cth1_lbody1.tga,0,18,0,0,,
2500,TOA A cth1 lbody3,TOA_A_cth1_lbody3.tga,0,18,0,0,,
2501,TOA A cth1 leg1 am,TOA_A_cth1_leg1_am.tga,0,18,0,0,,
2502,TOA A cth1 leg1 h,TOA_A_cth1_leg1_h.tga,0,18,0,0,,
2503,TOA A cth1 helm,TOA_A_cth1_helm.tga,0,18,0,0,,
2504,TOA A lea1 arm1,TOA_A_lea1_arm1.tga,0,18,0,0,,
2505,TOA A lea1 body1f a,TOA_A_lea1_body1f_a.tga,0,18,0,0,,
2506,TOA A lea1 body1f h,TOA_A_lea1_body1f_h.tga,0,18,0,0,,
2507,TOA A lea1 body1f m,TOA_A_lea1_body1f_m.tga,0,18,0,0,,
2508,TOA A lea1 body1m a,TOA_A_lea1_body1m_a.tga,0,18,0,0,,
2509,TOA A lea1 body1m h,TOA_A_lea1_body1m_h.tga,0,18,0,0,,
2510,TOA A lea1 body1m m,TOA_A_lea1_body1m_m.tga,0,18,0,0,,
2511,TOA A lea1 boot1 a,TOA_A_lea1_boot1_a.tga,0,18,0,0,,
2512,TOA A lea1 boot1 mh,TOA_A_lea1_boot1_hm.tga,0,18,0,0,,
2513,TOA A lea1 glov1,TOA_A_lea1_glov1.tga,0,18,0,0,,
2514,TOA A lea1 lbody1,TOA_A_lea1_lbody1.tga,0,18,0,0,,
2515,TOA A lea1 leg1 am,TOA_A_lea1_leg1_am.tga,0,18,0,0,,
2516,TOA A lea1 leg1 h,TOA_A_lea1_leg1_h.tga,0,18,0,0,,
2517,TOA A lea1 helm,TOA_A_lea1_helm.tga,0,18,0,0,,
2518,TOA A std1 arm1,TOA_A_std1_arm1.tga,0,28,0,0,,
2519,TOA A std1 body1f a,TOA_A_std1_body1f_a.tga,0,28,0,0,,
2520,TOA A std1 body1f h,TOA_A_std1_body1f_h.tga,0,28,0,0,,
2521,TOA A std1 body1f m,TOA_A_std1_body1f_m.tga,0,28,0,0,,
2522,TOA A std1 body1m a,TOA_A_std1_body1m_a.tga,0,28,0,0,,
2523,TOA A std1 body1m h,TOA_A_std1_body1m_h.tga,0,28,0,0,,
2524,TOA A std1 body1m m,TOA_A_std1_body1m_m.tga,0,28,0,0,,
2525,TOA A std1 boot1 a,TOA_A_std1_boot1_a.tga,0,28,0,0,,
2526,TOA A std1 boot1 mh,TOA_A_std1_boot1_hm.tga,0,28,0,0,,
2527,TOA A std1 glov1,TOA_A_std1_glov1.tga,0,28,0,0,,
2528,TOA A std1 lbody1,TOA_A_std1_lbody1.tga,0,28,0,0,,
2529,TOA A std1 leg1 am,TOA_A_std1_leg1_am.tga,0,28,0,0,,
2530,TOA A std1 leg1 h,TOA_A_std1_leg1_h.tga,0,28,0,0,,
2531,TOA A std1 helm,TOA_A_std1_helm.tga,0,28,0,0,,
2532,TOA A chn1 arm1,TOA_A_chn1_arm1.tga,0,19,0,0,,
2533,TOA A chn1 body1f a,TOA_A_chn1_body1f_a.tga,0,19,0,0,,
2534,TOA A chn1 body1f h,TOA_A_chn1_body1f_h.tga,0,19,0,0,,
2535,TOA A chn1 body1f m,TOA_A_chn1_body1f_m.tga,0,19,0,0,,
2536,TOA A chn1 body1m a,TOA_A_chn1_body1m_a.tga,0,19,0,0,,
2537,TOA A chn1 body1m h,TOA_A_chn1_body1m_h.tga,0,19,0,0,,
2538,TOA A chn1 body1m m,TOA_A_chn1_body1m_m.tga,0,19,0,0,,
2539,TOA A chn1 boot1 a,TOA_A_chn1_boot1_a.tga,0,19,0,0,,
2540,TOA A chn1 boot1 mh,TOA_A_chn1_boot1_hm.tga,0,19,0,0,,
2541,TOA A chn1 glov1,TOA_A_chn1_glov1.tga,0,19,0,0,,
2542,TOA A chn1 lbody1,TOA_A_chn1_lbody1.tga,0,19,0,0,,
2543,TOA A chn1 leg1 am,TOA_A_chn1_leg1_am.tga,0,19,0,0,,
2544,TOA A chn1 leg1 h,TOA_A_chn1_leg1_h.tga,0,19,0,0,,
2545,TOA A chn1 helm,TOA_A_chn1_helm.tga,0,19,0,0,,
2546,TOA A scl1 arm1,TOA_A_scl1_arm1.tga,0,22,0,0,,
2547,TOA A scl1 body1f a,TOA_A_scl1_body1f_a.tga,0,22,0,0,,
2548,TOA A scl1 body1f h,TOA_A_scl1_body1f_h.tga,0,22,0,0,,
2549,TOA A scl1 body1f m,TOA_A_scl1_body1f_m.tga,0,22,0,0,,
2550,TOA A scl1 body1m a,TOA_A_scl1_body1m_a.tga,0,22,0,0,,
2551,TOA A scl1 body1m h,TOA_A_scl1_body1m_h.tga,0,22,0,0,,
2552,TOA A scl1 body1m m,TOA_A_scl1_body1m_m.tga,0,22,0,0,,
2553,TOA A scl1 boot1 a,TOA_A_scl1_boot1_a.tga,0,22,0,0,,
2554,TOA A scl1 boot1 mh,TOA_A_scl1_boot1_hm.tga,0,22,0,0,,
2555,TOA A scl1 glov1,TOA_A_scl1_glov1.tga,0,22,0,0,,
2556,TOA A scl1 lbody1,TOA_A_scl1_lbody1.tga,0,22,0,0,,
2557,TOA A scl1 leg1 am,TOA_A_scl1_leg1_am.tga,0,22,0,0,,
2558,TOA A scl1 leg1 h,TOA_A_scl1_leg1_h.tga,0,22,0,0,,
2559,TOA A plt1 arm1,TOA_A_plt1_arm1.tga,0,16,0,0,,
2560,TOA A plt1 body1f a,TOA_A_plt1_body1f_a.tga,0,16,0,0,,
2561,TOA A plt1 body1f h,TOA_A_plt1_body1f_h.tga,0,16,0,0,,
2562,TOA A plt1 body1f m,TOA_A_plt1_body1f_m.tga,0,16,0,0,,
2563,TOA A plt1 body1m a,TOA_A_plt1_body1m_a.tga,0,16,0,0,,
2564,TOA A plt1 body1m h,TOA_A_plt1_body1m_h.tga,0,16,0,0,,
2565,TOA A plt1 body1m m,TOA_A_plt1_body1m_m.tga,0,16,0,0,,
2566,TOA A plt1 boot1 a,TOA_A_plt1_boot1_a.tga,0,16,0,0,,
2567,TOA A plt1 boot1 mh,TOA_A_plt1_boot1_hm.tga,0,16,0,0,,
2568,TOA A plt1 glov1,TOA_A_plt1_glov1.tga,0,16,0,0,,
2569,TOA A plt1 lbody1,TOA_A_plt1_lbody1.tga,0,16,0,0,,
2570,TOA A plt1 leg1 am,TOA_A_plt1_leg1_am.tga,0,16,0,0,,
2571,TOA A plt1 leg1 h,TOA_A_plt1_leg1_h.tga,0,16,0,0,,
2572,envmap woods,envmap_woods.tga,5,15,1,0,,
2573,envmap gem,envmap_gem.tga,5,15,1,0,,
