Anim,,,,,base, ,,,Blend ,No ,No,,Flex,Swim,Horse,Horse Sock
1202,Slug Flinch,Slug_flinch.kfa,19,15,15,clamp,0,1,0,0,0,0,0,,,
1203,Slug Idle,Slug_idle.kfa,60,5,15,loop,0,1,0,0,0,0,0,,,
1204,Slug Run,Slug_run.kfa,14,15,15,loop,0,1,0,0,0,0,0,,,
1205,Slug Spell A,Slug_spellA.kfa,15,12,15,clamp,0,1,0,0,0,0,0,,,
1206,Slug Spell B,Slug_spellB.kfa,10,12,15,loop,0,1,0,0,0,0,0,,,
1207,Slug Spell C,Slug_spellC.kfa,23,12,15,clamp,0,1,0,0,0,0,0,,,
1208,Slug Walk,Slug_walk.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1209,Rencan Attach High,Rencan_attackH.kfa,16,15,15,clamp,0,1,0,0,0,0,0,,,
1210,Rencan Attach Low,Rencan_AttackL.kfa,8,15,15,clamp,0,1,0,0,0,0,0,,,
1211,Rencan Combat Idle,Rencan_cidle.kfa,16,15,15,loop,0,1,0,0,0,0,0,,,
1212,Rencan Death,Rencan_death.kfa,13,15,15,clamp,0,1,0,0,0,0,0,,,
1213,Rencan Flinch,Rencan_flinch.kfa,8,15,15,clamp,0,1,0,0,0,0,0,,,
1214,Rencan Idle,Rencan_idle.kfa,20,7,15,loop,0,1,0,0,0,0,0,,,
1215,Rencan Run,Rencan_run.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1216,Rencan Spell A,Rencan_spellA.kfa,15,12,15,clamp,0,1,0,0,0,0,0,,,
1217,Rencan Spell B,Rencan_spellB.kfa,10,12,15,loop,0,1,0,0,0,0,0,,,
1218,Rencan Spell C,Rencan_spellC.kfa,23,10,15,clamp,0,1,0,0,0,0,0,,,
1219,Rencan Walk,Rencan_walk.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1220,Rencan Swim,Rencan_swim.kfa,16,15,15,loop,0,1,0,0,0,0,0,,,
1221,Tree D Attack High,TreeD_attackH.kfa,18,15,15,clamp,0,1,0,0,0,0,0,,,
1222,Tree D Attack Low,TreeD_AttackL.kfa,21,15,15,clamp,0,1,0,0,0,0,0,,,
1223,Tree D Combat Idle,TreeD_cidle.kfa,16,15,15,loop,0,1,0,0,0,0,0,,,
1224,Tree D Death,TreeD_death.kfa,25,15,15,clamp,0,1,0,0,0,0,0,,,
1225,Tree D Flinch,TreeD_flinch.kfa,10,15,15,clamp,0,1,0,0,0,0,0,,,
1226,Tree D Idle,TreeD_idle.kfa,60,7,15,loop,0,1,0,0,0,0,0,,,
1227,Tree D Run,TreeD_run.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1228,Tree D Spell A,TreeD_spellA.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1229,Tree D Spell B,TreeD_spellB.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1230,Tree D Spell C,TreeD_spellC.kfa,23,15,15,clamp,0,1,0,0,0,0,0,,,
1231,Tree D Walk,TreeD_walk.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1232,Tree D Swim,TreeD_swim.kfa,28,15,15,loop,0,1,0,0,0,0,0,,,
1233,Larnvidur Attack High,Larnvidur_attackH.kfa,16,15,15,clamp,0,1,0,0,0,0,0,,,
1234,Larnvidur Attack Low,Larnvidur_AttackL.kfa,18,15,15,clamp,0,1,0,0,0,0,0,,,
1235,Larnvidur Combat Idle,Larnvidur_cidle.kfa,16,15,15,loop,0,1,0,0,0,0,0,,,
1236,Larnvidur Death,Larnvidur_death.kfa,17,15,15,clamp,0,1,0,0,0,0,0,,,
1237,Larnvidur Flinch,Larnvidur_flinch.kfa,17,15,15,clamp,0,1,0,0,0,0,0,,,
1238,Larnvidur Idle,Larnvidur_idle.kfa,20,9,15,loop,0,1,0,0,0,0,0,,,
1239,Larnvidur Run,Larnvidur_run.kfa,12,15,15,loop,0,1,0,0,0,0,0,,,
1240,Larnvidur Spell A,Larnvidur_spellA.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1241,Larnvidur Spell B,Larnvidur_spellB.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1242,Larnvidur Spell C,Larnvidur_spellC.kfa,23,15,15,clamp,0,1,0,0,0,0,0,,,
1243,Larnvidur Walk,Larnvidur_walk.kfa,18,15,15,loop,0,1,0,0,0,0,0,,,
1244,Terrorbird Attack,Terrorbird_attack.kfa,14,15,15,clamp,0,1,0,0,0,0,0,,,
1245,Terrorbird Combat Idle,Terrorbird_cidle.kfa,30,15,15,loop,0,1,0,0,0,0,0,,,
1246,Terrorbird Death,Terrorbird_death.kfa,13,15,15,clamp,0,1,0,0,0,0,0,,,
1247,Terrorbird Flinch,Terrorbird_flinch.kfa,11,15,15,clamp,0,1,0,0,0,0,0,,,
1248,Terrorbird Idle,Terrorbird_idle.kfa,30,15,15,loop,0,1,0,0,0,0,0,,,
1249,Terrorbird Run,Terrorbird_run.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1250,Terrorbird Spell A,Terrorbird_spellA.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1251,Terrorbird Spell B,Terrorbird_spellB.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1252,Terrorbird Spell C,Terrorbird_spellC.kfa,23,15,15,clamp,0,1,0,0,0,0,0,,,
1253,Terrorbird Walk,Terrorbird_walk.kfa,16,15,15,loop,0,1,0,0,0,0,0,,,
1254,Terrorbird Swim,Terrorbird_swim.kfa,12,15,15,loop,0,1,0,0,0,0,0,,,
1255,Clock Work Human Attack 1,CWHuman_attackW.kfa,11,15,15,clamp,0,1,0,0,0,0,0,,,
1256,Clock Work Human Attack 2,CWHuman_attackH.kfa,13,15,15,clamp,0,1,0,0,0,0,0,,,
1257,Clock Work Human Combat Idle,CWHuman_cidle.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1258,Clock Work Human Death,CWHuman_death.kfa,16,15,15,clamp,0,1,0,0,0,0,0,,,
1259,Clock Work Human Flinch,CWHuman_flinch.kfa,11,15,15,clamp,0,1,0,0,0,0,0,,,
1260,Clock Work Human Idle,CWHuman_idle.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1261,Clock Work Human Run,CWHuman_run.kfa,12,15,15,loop,0,1,0,0,0,0,0,,,
1262,Clock Work Human Spell A,CWHuman_spellA.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1263,Clock Work Human Spell B,CWHuman_spellB.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1264,Clock Work Human Spell C,CWHuman_spellC.kfa,23,15,15,clamp,0,1,0,0,0,0,0,,,
1265,Clock Work Human Walk,CWHuman_walk.kfa,18,15,15,loop,0,1,0,0,0,0,0,,,
1266,Clock Work Human Swim,CWHuman_swim.kfa,28,15,15,loop,0,1,0,0,0,0,0,,,
1267,Clock Work Human Bow A,CWHuman_bowA.kfa,37,15,15,clamp,0,1,0,0,0,0,0,,,
1268,Clock Work Human Bow B,CWHuman_bowB.kfa,7,15,15,loop,0,1,0,0,0,0,0,,,
1269,Clock Work Human Bow C,CWHuman_bowC.kfa,23,15,15,clamp,0,1,0,0,0,0,0,,,
1270,Arbordon Attack Low,Arbordon_attackL.kfa,24,15,15,clamp,0,1,0,0,0,0,0,,,
1271,Arbordon Attack High,Arbordon_attackH.kfa,24,15,15,clamp,0,1,0,0,0,0,0,,,
1272,Arbordon Combat Idle,Arbordon_cidle.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1273,Arbordon Death,Arbordon_death.kfa,8,15,15,clamp,0,1,0,0,0,0,0,,,
1274,Arbordon Flinch,Arbordon_flinch.kfa,8,15,15,clamp,0,1,0,0,0,0,0,,,
1275,Arbordon Idle,Arbordon_idle.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1276,Arbordon Run,Arbordon_run.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1277,Arbordon Spell A,Arbordon_spellA.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1278,Arbordon Spell B,Arbordon_spellB.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1279,Arbordon Spell C,Arbordon_spellC.kfa,23,15,15,clamp,0,1,0,0,0,0,0,,,
1280,Arbordon Walk,Arbordon_walk.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1281,Arbordon Swim,Arbordon_swim.kfa,28,15,15,loop,0,1,0,0,0,0,0,,,
1282,Arbordon Bow A,Arbordon_bowA.kfa,37,15,15,clamp,0,1,0,0,0,0,0,,,
1283,Arbordon Bow B,Arbordon_bowB.kfa,7,15,15,loop,0,1,0,0,0,0,0,,,
1284,Arbordon Bow C,Arbordon_bowC.kfa,23,15,15,clamp,0,1,0,0,0,0,0,,,
1285,Cicada Attack Low,Cicada_attackL.kfa,16,15,15,loop,0,1,0,0,0,0,0,,,
1286,Hand to Hand Combat Idle,CI_H_H2H.kfa,15,15,15,loop,0,0,0,0,0,0,0,1659,3249,
1287,Hand to Hand Attack High,A_H_H2H_high.kfa,13,15,15,clamp,0,0,0,0,0,0,0,1636,3364,
1288,Hand to Hand Attack Med,A_H_H2H_Med.kfa,13,15,15,clamp,0,0,0,0,0,0,0,1638,3364,
1289,Hand to Hand Attack Low,A_H_H2H_Low.kfa,15,15,15,clamp,0,0,0,0,0,0,0,1637,3364,
1290,Hand to Hand Attack Piercing,A_H_H2H_CS01.kfa,21,15,15,clamp,0,0,0,0,0,0,0,1722,3364,
1291,Hand to Hand Attack Slash,A_H_H2H_CS02.kfa,15,15,15,clamp,0,0,0,0,0,0,0,1723,3364,
1292,Hand to HandAttack Pierce to Slash,A_H_H2H_CS03.kfa,26,15,15,clamp,0,0,0,0,0,0,0,1724,3364,
1293,Hand to Hand Attack Double Slash 1,A_H_H2H_CS04.kfa,27,15,15,clamp,0,0,0,0,0,0,0,1725,3364,
1294,Hand to Hand Attack Double Slash 2,A_H_H2H_CS05.kfa,25,15,15,clamp,0,0,0,0,0,0,0,1726,3364,
1295,Anglich Attack,Anglich_attack.kfa,26,15,15,clamp,0,1,0,0,0,0,0,,,
1296,Anglich Run,Anglich_run.kfa,13,15,15,loop,0,1,0,0,0,0,0,,,
1297,Anglich Idle,Anglich_idle.kfa,16,7,15,loop,0,1,0,0,0,0,0,,,
1298,Anglich Walk,Anglich_walk.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1299,Anglich Combat Idle,Anglich_cidle.kfa,13,15,15,loop,0,1,0,0,0,0,0,,,
1300,Anglich Flinch,Anglich_flinch.kfa,13,15,15,clamp,0,1,0,0,0,0,0,,,
1301,Anglich Death,Anglich_death.kfa,17,15,15,clamp,0,1,0,0,0,0,0,,,
1302,Anglich Spell A,Anglich_spellA.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1303,Anglich Spell B,Anglich_spellb.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1304,Anglich Spell C,Anglich_spellC.kfa,23,15,15,clamp,0,1,0,0,0,0,0,,,
1305,2 Headed Dragon Walk,2HDragon_walk.kfa,18,15,15,loop,0,1,0,0,0,0,0,,,
1306,2 Headed Dragon Run,2HDragon_run.kfa,13,15,15,loop,0,1,0,0,0,0,0,,,
1307,2 Headed Dragon Idle,2HDragon_idle.kfa,18,4,15,loop,0,1,0,0,0,0,0,,,
1308,2 Headed Dragon Combat Idle,2HDragon_cidle.kfa,18,15,15,loop,0,1,0,0,0,0,0,,,
1309,2 Headed Dragon Attack,2HDragon_attack.kfa,23,15,15,clamp,0,1,0,0,0,0,0,,,
1310,2 Headed Dragon Flinch,2HDragon_flinch.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1311,2 Headed Dragon Death,2HDragon_death.kfa,41,15,15,clamp,0,1,0,0,0,0,0,,,
1312,2 Headed Dragon Spell A,2HDragon_spellA.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1313,2 Headed Dragon Spell B,2HDragon_spellB.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1314,2 Headed Dragon Spell C,2HDragon_spellc.kfa,45,15,15,clamp,0,1,0,0,0,0,0,,,
1315,Korean Emote 1,KEM_HEADS.kfa,73,15,15,clamp,0,1,0,0,0,0,0,1739,3249,
1316,Korean Emote 2,KEM_DBOW.kfa,70,15,15,clamp,0,1,0,0,0,0,0,1739,3249,
1317,Korean Emote 3,KEM_Msalute.kfa,30,15,15,clamp,0,1,0,0,0,0,0,1739,3249,
1318,Korean Emote 4,KEM_CourtS.kfa,38,15,15,clamp,0,1,0,0,0,0,0,1739,3249,
1319,Korean Emote 5,KEM_OKorea.kfa,60,15,15,clamp,0,1,0,0,0,0,0,1739,3249,
1320,Korean Emote 6,KEM_WonsanPQ,71,15,15,clamp,0,1,0,0,0,0,0,1739,3249,
1321,Emote Crotch Grab,EM_CG.kfa,25,15,15,clamp,0,1,0,0,0,0,0,1739,3249,
1322,Emote Rude Gesture,EM_FU.kfa,20,15,15,clamp,0,1,0,0,0,0,0,1739,3249,
1323,Short Flex Weapon Idle,I_1FW_S.kfa,1,15,15,loop,0,0,0,0,0,0,0,,,
1324,Short Flex Weapon Combat Idle,CI_1FW_S.kfa,10,15,15,loop,0,0,0,0,0,0,0,,,
1325,Short Flex Weapon High Attack,FW_HIGH_S.kfa,18,15,15,clamp,0,0,0,0,0,0,0,,,
1326,Short Flex Weapon Low Attack,FW_LOW_S.kfa,16,15,15,clamp,0,0,0,0,0,0,0,,,
1327,Short Handle FW Style 1,A_1FW_CS01_S.kfa,30,15,15,clamp,0,0,0,0,0,0,0,,,
1328,Short Handle FW Style 1,A_1FW_CS03_S.kfa,17,15,15,clamp,0,0,0,0,0,0,0,,,
1329,Short Handle FW Style 4,A_1FW_CS04_S.kfa,22,15,15,clamp,0,0,0,0,0,0,0,,,
1330,Short Handle FW Style 6,A_1FW_CS06_S.kfa,16,15,15,clamp,0,0,0,0,0,0,0,,,
1331,Short Handle FW Style 7,A_1FW_CS07_S.kfa,23,15,15,clamp,0,0,0,0,0,0,0,,,
1332,Medium Flex Weapon Idle,I_1FW_M.kfa,1,15,15,loop,0,0,0,0,0,0,0,,,
1333,Medium Flex Weapon Combat Idle,CI_1FW_M.kfa,10,15,15,loop,0,0,0,0,0,0,0,,,
1334,Medium Flex Weapon High Attack,FW_HIGH_M.kfa,18,15,15,clamp,0,0,0,0,0,0,0,,,
1335,Medium Flex Weapon Low Attack,FW_LOW_M.kfa,18,15,15,clamp,0,0,0,0,0,0,0,,,
1336,Medium Handle FW Style 1,A_1FW_CS01_M.kfa,30,15,15,clamp,0,0,0,0,0,0,0,,,
1337,Medium Handle FW Style 3,A_1FW_CS03_M.kfa,17,15,15,clamp,0,0,0,0,0,0,0,,,
1338,Medium Handle FW Style 4,A_1FW_CS04_M.kfa,22,15,15,clamp,0,0,0,0,0,0,0,,,
1339,Medium Handle FW Style 6,A_1FW_CS06_M.kfa,16,15,15,clamp,0,0,0,0,0,0,0,,,
1340,Medium Handle FW Style 7,A_1FW_CS07_M.kfa,23,15,15,clamp,0,0,0,0,0,0,0,,,
1341,Long Flex Weapon Idle,I_1FW_L.kfa,1,15,15,loop,0,0,0,0,0,0,0,,,
1342,Long Flex Weapon Combat Idle,CI_1FW_L.kfa,10,15,15,loop,0,0,0,0,0,0,0,,,
1343,Long Flex Weapon High Attack,FW_HIGH_L.kfa,18,15,15,clamp,0,0,0,0,0,0,0,,,
1344,Long Flex Weapon Low Attack,FW_LOW_L.kfa,14,15,15,clamp,0,0,0,0,0,0,0,,,
1345,Long Handle FW Style 1,A_1FW_CS01_L.kfa,30,15,15,clamp,0,0,0,0,0,0,0,,,
1346,Long Handle FW Style 3,A_1FW_CS03_L.kfa,17,15,15,clamp,0,0,0,0,0,0,0,,,
1347,Long Handle FW Style 4,A_1FW_CS04_L.kfa,22,15,15,clamp,0,0,0,0,0,0,0,,,
1348,Long Handle FW Style 6,A_1FW_CS06_L.kfa,16,15,15,clamp,0,0,0,0,0,0,0,,,
1349,Long Handle FW Style 7,A_1FW_CS07_L.kfa,23,15,15,clamp,0,0,0,0,0,0,0,,,
1350,Human Short FW Attack High,A_1FW_HIGH_S.kfa,18,15,15,clamp,0,0,0,0,0,0,2,,,
1351,Human Short FW Attack Low,A_1FW_LOW_S.kfa,16,15,15,clamp,0,0,0,0,0,0,3,,,
1352,Human Medium FW Attack High,A_1FW_HIGH_M.kfa,18,15,15,clamp,0,0,0,0,0,0,2,,,
1353,Human Medium FW Attack Low,A_1FW_LOW_M.kfa,18,15,15,clamp,0,0,0,0,0,0,3,,,
1354,Human Long FW Attack High,A_1FW_HIGH_L.kfa,18,15,15,clamp,0,0,0,0,0,0,2,,,
1355,Human Long FW Attack Low,A_1FW_LOW_L.kfa,14,15,15,clamp,0,0,0,0,0,0,3,,,
1356,Ogress Walk,Ogress_walk.kfa,18,15,15,loop,0,1,0,0,0,0,0,,,
1357,Ogress Run,Ogress_run.kfa,12,15,15,loop,0,1,0,0,0,0,0,,,
1358,Ogress Idle,Ogress_idle.kfa,18,7,15,loop,0,1,0,0,0,0,0,,,
1359,Ogress Combat Idle,Ogress_cidle.kfa,16,15,15,loop,0,1,0,0,0,0,0,,,
1360,Ogress Attack High,Ogress_attackH.kfa,22,15,15,clamp,0,1,0,0,0,0,0,,,
1361,Ogress Attack Low,Ogress_attackL.kfa,22,15,15,clamp,0,1,0,0,0,0,0,,,
1362,Ogress Flinch,Ogress_flinch.kfa,17,15,15,clamp,0,1,0,0,0,0,0,,,
1363,Ogress Death,Ogress_death.kfa,17,15,15,clamp,0,1,0,0,0,0,0,,,
1364,Ogress Spell A,Ogress_spellA.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1365,Ogress Spell B,Ogress_spellB.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1366,Ogress Spell C,Ogress_spellC.kfa,23,15,15,clamp,0,1,0,0,0,0,0,,,
1367,Root Idle,Root_idle.kfa,1,15,15,loop,0,1,0,0,0,0,0,,,
1368,Root Combat Idle ,Root_cidle.kfa,30,15,15,loop,0,1,0,0,0,0,0,,,
1369,Root Attack,Root_attack.kfa,35,15,15,clamp,0,1,0,0,0,0,0,,,
1370,Root Flinch,Root_flinch.kfa,16,15,15,clamp,0,1,0,0,0,0,0,,,
1371,Root Death,Root_death.kfa,17,15,15,clamp,0,1,0,0,0,0,0,,,
1372,Flail Flex Weapon Combat Idle,CI_1FW_Flail.kfa,10,15,15,loop,0,0,0,0,0,0,0,,,
1373,Hydra Idle,Hydra_idle.kfa,50,10,15,loop,0,1,0,0,0,0,0,,,
1374,Hydra Combat Idle,Hydra_cidle.kfa,30,15,15,loop,0,1,0,0,0,0,0,,,
1375,Hydra Attack High,Hydra_attackh.kfa,30,15,15,clamp,0,1,0,0,0,0,0,,,
1376,Hydra Attack Low,Hydra_attackL.kfa,30,15,15,clamp,0,1,0,0,0,0,0,,,
1377,Hydra Flinch,Hydra_flinch.kfa,12,15,15,clamp,0,1,0,0,0,0,0,,,
1378,Hydra Death,Hydra_death.kfa,22,15,15,clamp,0,1,0,0,0,0,0,,,
1379,Human Flex Small Parry,P_H_1FW_S.KFA,15,15,15,clamp,0,0,0,0,0,0,9,,,
1380,Human Flex Med Parry,P_H_1FW_M.KFA,16,15,15,clamp,0,0,0,0,0,0,9,,,
1381,Human Flex Large Parry,P_H_1FW_L.KFA,17,15,15,clamp,0,0,0,0,0,0,9,,,
1382,Flex Weapon Parry Small,P_1FW_S.kfa,15,15,15,clamp,0,0,0,0,0,0,0,,,
1383,Flex Weapon Parry Med,P_1FW_M.KFA,16,15,15,clamp,0,0,0,0,0,0,0,,,
1384,Flex Weapon Parry Lg,P_1FW_L.kfa,17,15,15,clamp,0,0,0,0,0,0,0,,,
1385,Human Flex FLAIL,P_H_1FW_M.KFA,16,15,15,clamp,0,0,0,0,0,0,9,,,
1386,Flex Weapon FLAIL,P_1FW_M.KFA,16,15,15,clamp,0,0,0,0,0,0,0,,,
1387,Drak Attack,Drak_attack.kfa,12,15,15,clamp,0,1,0,0,0,0,0,,,
1388,Drak Run,Drak_run.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1389,Drak Idle,Drak_idle.kfa,60,8,15,loop,0,1,0,0,0,0,0,,,
1390,Drak Walk,Drak_walk.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1391,Drak Combat Idle,Drak_cidle.kfa,21,15,15,loop,0,1,0,0,0,0,0,,,
1392,Drak Flinch,Drak_flinch.kfa,13,15,15,clamp,0,1,0,0,0,0,0,,,
1393,Drak Death,Drak_death.kfa,18,15,15,clamp,0,1,0,0,0,0,0,,,
1394,Drak Spell A,Drak_spellA.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1395,Drak Spell B,Drak_spellb.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1396,Drak Spell C,Drak_spellC.kfa,23,15,15,clamp,0,1,0,0,0,0,0,,,
1397,Drak Bow A,Drak_bowA.kfa,37,15,15,clamp,0,1,0,0,0,0,0,,,
1398,Drak Bow B,Drak_bowB.kfa,7,15,15,loop,0,1,0,0,0,0,0,,,
1399,Drak Bow C,Drak_bowC.kfa,13,15,15,clamp,0,1,0,0,0,0,0,,,
1400,Drak Swim,Drak_swim.kfa,28,15,15,loop,0,1,0,0,0,0,0,,,
1401,Dilo Attack,Dilo_attack.kfa,18,15,15,clamp,0,1,0,0,0,0,0,,,
1402,Dilo Run,Dilo_run.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1403,Dilo Idle,Dilo_idle.kfa,20,10,15,loop,0,1,0,0,0,0,0,,,
1404,Dilo Walk,Dilo_walk.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1405,Dilo Combat Idle,Dilo_cidle.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1406,Dilo Flinch,Dilo_flinch.kfa,8,15,15,clamp,0,1,0,0,0,0,0,,,
1407,Dilo Death,Dilo_death.kfa,12,15,15,clamp,0,1,0,0,0,0,0,,,
1408,Dilo Spell A,Dilo_spellA.kfa,20,15,15,clamp,0,1,0,0,0,0,0,,,
1409,Dilo Spell B,Dilo_spellb.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1410,Dilo Spell C,Dilo_spellC.kfa,20,15,15,clamp,0,1,0,0,0,0,0,,,
1411,Ghost Attack High,Ghost_attackH.kfa,24,15,15,clamp,0,1,0,0,0,0,0,,,
1412,Ghost Attack Low,Ghost_attackl.kfa,24,15,15,clamp,0,1,0,0,0,0,0,,,
1413,Ghost Combat Idle,Ghost_cidle.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1414,Ghost Death,Ghost_death.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1415,Ghost Flinch,Ghost_flinch.kfa,8,15,15,clamp,0,1,0,0,0,0,0,,,
1416,Ghost Idle,Ghost_idle.kfa,20,10,15,loop,0,1,0,0,0,0,0,,,
1417,Ghost Walk,Ghost_walk.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1418,Ghost Run,Ghost_run.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1419,Ghost Spell A,Ghost_spellA.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1420,Ghost Spell B,Ghost_spellB.kfa,10,15,15,loop,0,1,0,0,0,0,0,,,
1421,Ghost Spell C,Ghost_spellC.kfa,23,15,15,clamp,0,1,0,0,0,0,0,,,
1422,Sporite Walk,Sporite_walk.kfa,24,15,15,loop,0,1,0,0,0,0,0,,,
1423,Sporite Run,Sporite_run.kfa,12,15,15,loop,0,1,0,0,0,0,0,,,
1424,Sporite Idle,Sporite_idle.kfa,24,10,15,loop,0,1,0,0,0,0,0,,,
1425,Sporite Combat Idle,Sporite_cidle.kfa,18,15,15,loop,0,1,0,0,0,0,0,,,
1426,Sporite Attack,Sporite_attack.kfa,18,15,15,clamp,0,1,0,0,0,0,0,,,
1427,Sporite Flinch,Sporite_flinch.kfa,12,15,15,clamp,0,1,0,0,0,0,0,,,
1428,Sporite Death,Sporite_death.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1429,Sporite Spell A,Sporite_spellA.kfa,24,15,15,clamp,0,1,0,0,0,0,0,,,
1430,Sporite Spell B,Sporite_spellB.kfa,24,15,15,loop,0,1,0,0,0,0,0,,,
1431,Sporite Spell C,Sporite_spellc.kfa,24,15,15,clamp,0,1,0,0,0,0,0,,,
1432,Vinemass Walk,Vinemass_walk.kfa,15,15,15,loop,0,1,0,0,0,0,0,,,
1433,Vinemass Run,Vinemass_run.kfa,11,15,15,loop,0,1,0,0,0,0,0,,,
1434,Vinemass Idle,Vinemass_idle.kfa,15,15,15,loop,0,1,0,0,0,0,0,,,
1435,Vinemass Combat Idle,Vinemass_cidle.kfa,15,15,15,loop,0,1,0,0,0,0,0,,,
1436,Vinemass Attack,Vinemass_attack.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1437,Vinemass Flinch,Vinemass_flinch.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1438,Vinemass Death,Vinemass_death.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1439,Vinemass Spell A,Vinemass_spellA.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1440,Vinemass Spell B,Vinemass_spellB.kfa,15,15,15,loop,0,1,0,0,0,0,0,,,
1441,Vinemass Spell C,Vinemass_spellc.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1442,Octonid Walk,Octonid_walk.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1443,Octonid Run,Octonid_run.kfa,14,15,15,loop,0,1,0,0,0,0,0,,,
1444,Octonid Idle,Octonid_idle.kfa,20,10,15,loop,0,1,0,0,0,0,0,,,
1445,Octonid Combat Idle,Octonid_cidle.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1446,Octonid Attack,Octonid_attack.kfa,20,15,15,clamp,0,1,0,0,0,0,0,,,
1447,Octonid Flinch,Octonid_flinch.kfa,20,15,15,clamp,0,1,0,0,0,0,0,,,
1448,Octonid Death,Octonid_death.kfa,14,15,15,clamp,0,1,0,0,0,0,0,,,
1449,Octonid Spell A,Octonid_spellA.kfa,20,15,15,clamp,0,1,0,0,0,0,0,,,
1450,Octonid Spell B,Octonid_spellB.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1451,Octonid Spell C,Octonid_spellc.kfa,20,15,15,clamp,0,1,0,0,0,0,0,,,
1452,Stilter Walk,Stilter_walk.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1453,Stilter Run,Stilter_run.kfa,14,15,15,loop,0,1,0,0,0,0,0,,,
1454,Stilter Idle,Stilter_idle.kfa,20,10,15,loop,0,1,0,0,0,0,0,,,
1455,Stilter Combat Idle,Stilter_cidle.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1456,Stilter Attack,Stilter_attack.kfa,20,15,15,clamp,0,1,0,0,0,0,0,,,
1457,Stilter Flinch,Stilter_flinch.kfa,20,15,15,clamp,0,1,0,0,0,0,0,,,
1458,Stilter Death,Stilter_death.kfa,15,15,15,clamp,0,1,0,0,0,0,0,,,
1459,Stilter Spell A,Stilter_spellA.kfa,20,15,15,clamp,0,1,0,0,0,0,0,,,
1460,Stilter Spell B,Stilter_spellB.kfa,20,15,15,loop,0,1,0,0,0,0,0,,,
1461,Stilter Spell C,Stilter_spellc.kfa,20,15,15,clamp,0,1,0,0,0,0,0,,,
1462,Frost Giant Walk,FrostGiant_Walk.kfa,24,15,15,loop,0,1,0,0,0,0,0,,,
1463,Frost Giant Run,FrostGiant_Run.kfa,15,15,15,loop,0,1,0,0,0,0,0,,,
1464,Frost Giant Idle,FrostGiant_Idle.kfa,60,5,15,loop,0,1,0,0,0,0,0,,,
