2500 Limit,,NIF,,Expansion,[0] Flex,[1] Flex,[2] Flex,[3] Flex,[4] Flex,[5] Flex,[6] Flex,[7] Flex,[8] Flex,[9] Flex,Back,Housing,Frontiers,New,Cata Morph,Cata Morph,Cata Morph,Cata Morph,Cata,Cata %,Helm
758,int floor chair 03 red,int_floor_chair_03_red,0,0,,,,,,,,,,,,1,,,,,,,,,
759,int floor chair 03 yel,int_floor_chair_03_yel,0,0,,,,,,,,,,,,1,,,,,,,,,
760,int floor chair 04 blk,int_floor_chair_04_blk,0,0,,,,,,,,,,,,1,,,,,,,,,
761,int floor chair 04 green,int_floor_chair_04_green,0,0,,,,,,,,,,,,1,,,,,,,,,
762,int floor chair 04 purp,int_floor_chair_04_purp,0,0,,,,,,,,,,,,1,,,,,,,,,
763,int floor chair 04 red,int_floor_chair_04_red,0,0,,,,,,,,,,,,1,,,,,,,,,
764,int floor chair 04 yel,int_floor_chair_04_yel,0,0,,,,,,,,,,,,1,,,,,,,,,
765,int floor chair 07,int_floor_chair_07,0,0,,,,,,,,,,,,1,,,,,,,,,
766,int wall bookshelf 01,int_wall_bookshelf_01,0,0,,,,,,,,,,,,1,,,,,,,,,
767,int wall bookshelf 02,int_wall_bookshelf_02,0,0,,,,,,,,,,,,1,,,,,,,,,
768,int floor bookshelf 03,int_floor_bookshelf_03,0,0,,,,,,,,,,,,1,,,,,,,,,
769,ext archery target,ext_archery_target,0,0,,,,,,,,,,,,1,,,,,,,,,
770,int wall dartboard,int_wall_dartboard,0,0,,,,,,,,,,,,1,,,,,,,,,
771,ext barrel 03,ext_barrel_03,0,0,,,,,,,,,,,,1,,,,,,,,,
772,ext barrel 01,ext_barrel_01,0,0,,,,,,,,,,,,1,,,,,,,,,
773,ext barrel 02,ext_barrel_02,0,0,,,,,,,,,,,,1,,,,,,,,,
774,ext garden 04,ext_garden_04,0,0,,,,,,,,,,,,1,,,,,,,,,
775,Dartboard 2,int_wall_dartboard2,0,0,,,,,,,,,,,,1,,,,,,,,,
776,ext outhouse alb,ext_outhouse_alb,0,0,,,,,,,,,,,,1,,,,,,,,,
777,ext outhouse hib,ext_outhouse_hib,0,0,,,,,,,,,,,,1,,,,,,,,,
778,ext outhouse mid,ext_outhouse_mid,0,0,,,,,,,,,,,,1,,,,,,,,,
779,Trellis,ext_bench_trellis,0,0,,,,,,,,,,,,1,,,,,,,,,
780,int floor foot stool,int_floor_foot_stool,0,0,,,,,,,,,,,,1,,,,,,,,,
781,int floor table round 02,int_floor_table_round_02,0,0,,,,,,,,,,,,1,,,,,,,,,
782,ext picnic bench,ext_picnic_bench,0,0,,,,,,,,,,,,1,,,,,,,,,
783,ext chess table,ext_chess_table,0,0,,,,,,,,,,,,1,,,,,,,,,
784,int floor keg stack,int_floor_keg_stack,0,0,,,,,,,,,,,,1,,,,,,,,,
785,int floor keg,int_floor_keg,0,0,,,,,,,,,,,,1,,,,,,,,,
786,ext tiki tourch,ext_tiki_tourch,0,0,,,,,,,,,,,,1,,,,,,,,,
787,int chess table,int_chess_table,0,0,,,,,,,,,,,,1,,,,,,,,,
788,int floor fur rug 01,int_floor_fur_rug_01,0,0,,,,,,,,,,,,1,,,,,,,,,
789,int floor fur rug 02,int_floor_fur_rug_02,0,0,,,,,,,,,,,,1,,,,,,,,,
790,int floor fur rug 03,int_floor_fur_rug_03,0,0,,,,,,,,,,,,1,,,,,,,,,
791,int floor fur rug 04,int_floor_fur_rug_04,0,0,,,,,,,,,,,,1,,,,,,,,,
792,int floor fur rug 05,int_floor_fur_rug_05,0,0,,,,,,,,,,,,1,,,,,,,,,
793,ext hitching post,ext_hitching_post,0,0,,,,,,,,,,,,1,,,,,,,,,
794,int fish tank,int_floor_fishtank,0,0,,,,,,,,,,,,1,,,,,,,,,
795,ext_lion_statue,ext_lion_statue,0,0,,,,,,,,,,,,1,,,,,,,,,
796,Int Floor Card table,int_floor_card_table,0,0,,,,,,,,,,,,1,,,,,,,,,
797,int wall tapestry 01,int_wall_tapestry_01,0,0,,,,,,,,,,,,1,,,,,,,,,
798,int wall tapestry 02,int_wall_tapestry_02,0,0,,,,,,,,,,,,1,,,,,,,,,
799,int wall tapestry 03,int_wall_tapestry_03,0,0,,,,,,,,,,,,1,,,,,,,,,
800,ext_rose_trellis,ext_rose_trellis,0,0,,,,,,,,,,,,1,,,,,,,,,
801,int_wall_tapestry_01a,int_wall_tapestry_01a,0,0,,,,,,,,,,,,1,,,,,,,,,
802,int_wall_tapestry_01b,int_wall_tapestry_01b,0,0,,,,,,,,,,,,1,,,,,,,,,
803,int_floor_chamber_pot,int_floor_chamber_pot,0,0,,,,,,,,,,,,1,,,,,,,,,
804,Sidewalk 01 6x1,ext_tile_01_6x1,0,0,,,,,,,,,,,,1,,,,,,,,,
805,Sidewalk 01 14x1,ext_tile_01_14x1,0,0,,,,,,,,,,,,1,,,,,,,,,
806,Sidewalk 01 2x2,ext_tile_01_2x2,0,0,,,,,,,,,,,,1,,,,,,,,,
807,Sidewalk 01 3x1,ext_tile_01_3x1,0,0,,,,,,,,,,,,1,,,,,,,,,
808,Sidewalk 02 14x1,ext_tile_02_14x1,0,0,,,,,,,,,,,,1,,,,,,,,,
809,Sidewalk 02 2x2,ext_tile_02_2x2,0,0,,,,,,,,,,,,1,,,,,,,,,
810,Sidewalk 02 3x1,ext_tile_02_3x1,0,0,,,,,,,,,,,,1,,,,,,,,,
811,Sidewalk 02 6x1,ext_tile_02_6x1,0,0,,,,,,,,,,,,1,,,,,,,,,
812,Wagon Wheel,ext_wagon_wheel,0,0,,,,,,,,,,,,1,,,,,,,,,
813,Gazebo,ext_Gazebo,0,0,,,,,,,,,,,,1,,,,,,,,,
814,Corn Field,ext_corn_field1,0,0,,,,,,,,,,,,1,,,,,,,,,
815,Corn Field 2,ext_corn_field2,0,0,,,,,,,,,,,,1,,,,,,,,,
816,Pumpkin Patch,ext_pumpkin_patch,0,0,,,,,,,,,,,,1,,,,,,,,,
817,int wall tapestry 02a,int_wall_tapestry_02a,0,0,,,,,,,,,,,,1,,,,,,,,,
818,int wall tapestry 02b,int_wall_tapestry_02b,0,0,,,,,,,,,,,,1,,,,,,,,,
819,int floor bar,int_floor_bar,0,0,,,,,,,,,,,,1,,,,,,,,,
820,PS Long Ship,PSlongship_run,0,2,,,,,,,,,,,,,,,,,,,,,
821,Treasure Chest,treasure_chest,0,1,,,,,,,,,,,,,,,,,,,,,
822,ext For Sale Sign,4sale_sign,0,0,,,,,,,,,,,,1,,,,,,,,,
823,ext Monster Loot sign,sign_monster_loot,0,0,,,,,,,,,,,,1,,,,,,,,,
824,Ext Message Board,message_brd,0,1,,,,,,,,,,,,1,,,,,,,,,
825,Mau Tent,STMauTentTravel,0,2,,,,,,,,,,,,,,,,,,,,,
826,belt bejeweled 01,belt_bejeweled_01,0,0,,,,,,,,,,,,,,,,,,,,,
827,Plant Eternal,plant_eternal_01,0,2,,,,,,,,,,,,,,,,,,,,,
828,Trident of the Gods,trident_of_gods_01,0,2,,,,,,,,,,,,,,,,,,,,,
829,Harpy fallen,harpy_fallen,0,2,,,,,,,,,,,,,,,,,,,,,
830,Harpy nest,harpy_nest,0,2,,,,,,,,,,,,,,,,,,,,,
831,Jeweled egg,jeweled_egg,0,2,,,,,,,,,,,,,,,,,,,,,
832,Stygian Boat,PSStygianboat,0,2,,,,,,,,,,,,,,,,,,,,,
833,Atlantean Boat 01,PSAtlantean_01,0,1,,,,,,,,,,,,,,,,,,,,,
834,Cogship,PScogship,0,2,,,,,,,,,,,,,,,,,,,,,
835,Longship,PSlongship,0,2,,,,,,,,,,,,,,,,,,,,,
836,8 Man,PSboat_8man_01,0,2,,,,,,,,,,,,,,,,,,,,,
837,Bowsprit alb 01,bowsprit_alb_01,0,2,,,,,,,,,,,,,,,,,,,,,
838,Bowsprit mid 01,bowsprit_mid_01,0,2,,,,,,,,,,,,,,,,,,,,,
839,Bowsprit hib 01,bowsprit_hib_01,0,2,,,,,,,,,,,,,,,,,,,,,
840,Bowsprit alb 02,bowsprit_alb_02,0,2,,,,,,,,,,,,,,,,,,,,,
841,Bowsprit mid 02,bowsprit_mid_02,0,2,,,,,,,,,,,,,,,,,,,,,
842,Bowsprit hib 02,bowsprit_hib_02,0,2,,,,,,,,,,,,,,,,,,,,,
843,Bowsprit alb 03,bowsprit_alb_03,0,2,,,,,,,,,,,,,,,,,,,,,
844,Bowsprit mid 03,bowsprit_mid_03,0,2,,,,,,,,,,,,,,,,,,,,,
845,Bowsprit hib 03,bowsprit_hib_03,0,2,,,,,,,,,,,,,,,,,,,,,
846,Caravel,PSCaravel,0,2,,,,,,,,,,,,,,,,,,,,,
847,StaffoftheOracle01,TOA_O_st_Afct_StaffoftheOracle01,1,0,,,,,,,,,,,,,,,,,,,,,
848,TartarosGift01,TOA_V_st_Afct_TartarosGift01,1,0,,,,,,,,,,,,,,,,,,,,,
849,TridentoftheGods01,TOA_O_po_Afct_TridentoftheGods01,1,0,,,,,,,,,,,,,,,,,,,,,
850,SpearofKings01,TOA_O_po_Afct_SpearofKings01,1,0,,,,,,,,,,,,,,,,,,,,,
851,GoldenSpear01,TOA_O_po_Afct_GoldenSpear01,1,0,,,,,,,,,,,,,,,,,,,,,
852,AtenSheild01,TOA_O_Shield_Afct_AtenSheild01,1,0,,,,,,,,,,,,,,,,,,,,,
853,CyclopsEye01,TOA_A_Shield_Afct_CyclopsEye01,1,0,,,,,,,,,,,,,,,,,,,,,
854,ShieldofKhaos01,TOA_A_Shield_Afct_ShieldofKhaos01,1,0,,,,,,,,,,,,,,,,,,,,,
855,FoolsBow01,TOA_O_2h_Afct_FoolsBow01,1,0,,,,,,,,,,,,,,,,,,,,,
856,BraggartsBow01,TOA_O_2h_Afct_BraggartsBow01,1,0,,,,,,,,,,,,,,,,,,,,,
857,TraitorsDagger01,TOA_S_th_Afct_TraitorsDagger01,1,0,,,,,,,,,,,,,,,,,,,,,
858,CrocodilesTooth01,TOA_S_th_Afct_CrocodilesTooth01,1,0,,,,,,,,,,,,,,,,,,,,,
859,BattlerSword01,TOA_V_2h_Afct_BattlerSword01,1,0,,,,,,,,,,,,,,,,,,,,,
860,BruiserHammer01,TOA_V_bl_Afct_BruiserHammer01,1,0,,,,,,,,,,,,,,,,,,,,,
861,ScepterMeritorious01,TOA_S_bl_Afct_ScepterMeritorious01,1,0,,,,,,,,,,,,,,,,,,,,,
862,trebuchet,trebuchet,0,0,,,,,,,,,,,,,,,,,,,,,
863,Ballista Low,Ballista_Low,0,0,,,,,,,,,,,,,,,,,,,,,
864,Ballista High,Ballista_High,0,0,,,,,,,,,,,,,,,,,,,,,
865,Catapult W,Catapult_W,0,0,,,,,,,,,,,,,,,,,,,,,
866,Catapult G,Catapult_G,0,0,,,,,,,,,,,,,,,,,,,,,
867,Ram High,Ram_High,0,0,,,,,,,,,,,,,,,,,,,,,
868,Ram Mid,Ram_Mid,0,0,,,,,,,,,,,,,,,,,,,,,
869,Ram Low,Ram_Low,0,0,,,,,,,,,,,,,,,,,,,,,
870,Siege rock,siege_rock,0,0,,,,,,,,,,,,,,,,,,,,,
871,Ballista Low bolt,Ballista_Low_bolt,0,0,,,,,,,,,,,,,,,,,,,,,
872,pouch item,pouch_item,0,2,,,,,,,,,,,,,,,,,,,,,
873,Ring item,Ring_item,0,2,,,,,,,,,,,,,,,,,,,,,
874,forgehammer_item,forgehammer_item,0,2,,,,,,,,,,,,,,,,,,,,,
875,ToA Alb 2H Blunt,B_2h_CoffinHammer01,1,0,,,,,,,,,,,,,,,,,,,,,
876,Alb 2H Thrust,B_2h_InquisitorsPick01,1,0,,,,,,,,,,,,,,,,,,,,,
877,Alb 2H Slash,B_2h_RoyalScimitar01,1,0,,,,,,,,,,,,,,,,,,,,,
878,Alb Saracen Short Bow,B_bo_SaracenShortbow01,1,0,,,,,,,,,,,,,,,,,,,,,
879,Alb Thorn Bow,B_bo_ThornBow01,1,0,,,,,,,,,,,,,,,,,,,,,
880,Alb BishopsMace,B_cr_BishopsMace01,1,0,,,,,,,,,,,,,,,,,,,,,
881,Alb Coffin Mace Mace,B_cr_CoffinMace01,1,0,,,,,,,,,,,,,,,,,,,,,
882,Alb Flex Spiked Flail,B_flx_SpikedFlail01_M,1,0,1332,1372,1334,1335,1336,1337,1338,1339,1340,1386,0,,,,,,,,,,
883,Alb Flex Spiked Whip,B_flx_SpikeWhip01_L,1,0,1341,1342,1343,1344,1345,1346,1347,1348,1349,1384,0,,,,,,,,,,
884,Alb Military Fork,B_po_MilitaryFork01,1,0,,,,,,,,,,,,,,,,,,,,,
885,Alb Saracen Glaive,B_po_SaracenGlaive01,1,0,,,,,,,,,,,,,,,,,,,,,
886,Alb Tall Hammer,B_po_TallHammer01,1,0,,,,,,,,,,,,,,,,,,,,,
887,Alb Cinquedea,B_sl_Cinquedea01,1,0,,,,,,,,,,,,,,,,,,,,,
888,Alb Falchion,B_sl_Falchion01,1,0,,,,,,,,,,,,,,,,,,,,,
889,Alb Spiked Staff Mace,B_st_SpikedStaffMace01,1,0,,,,,,,,,,,,,,,,,,,,,
890,Alb Duelists Dagger,B_th_DuelistsDagger01,1,0,,,,,,,,,,,,,,,,,,,,,
891,Alb Duelists Rapier,B_th_DuelistsRapier01,1,0,,,,,,,,,,,,,,,,,,,,,
892,Alb Xbo Skinners Crossbow,B_xbo_SkinnersCrossbow01,1,0,,,,,,,,,,,,,,,,,,,,,
893,Albion Mage Staff 01,b_st_magestaff01,1,0,,,,,,,,,,,,,,,,,,,,,
894,Hib Elven Firbolg L Sword,H_1h_FirbolgLongSword01,1,0,,,,,,,,,,,-10,,,,,,,,,,
895,Hib Elven Firbolg S Sword,H_1h_FirbolgShortSword01,1,0,,,,,,,,,,,-10,,,,,,,,,,
896,Hib 2H Firbolg Hammer,H_2h_FirbolgHammer01,1,0,,,,,,,,,,,0,,,,,,,,,,
897,Hib 2H Firbolg Troll Splitter,H_2h_FirbolgTrollSplitter01,1,0,,,,,,,,,,,-10,,,,,,,,,,
898,Hib Celtic Hammer,H_bl_CelticHammer01,1,0,,,,,,,,,,,0,,,,,,,,,,
899,Hib Firbolg Hammer,H_bl_FirbolgHammer01,1,0,,,,,,,,,,,0,,,,,,,,,,
900,Hib Elven Long Bow,H_bo_ElvenLongBow01,1,0,,,,,,,,,,,0,,,,,,,,,,
901,Hib Elven Short Bow,H_bo_ElvenShortBow01,1,0,,,,,,,,,,,0,,,,,,,,,,
902,Hib Firbolg Scythe,H_sc_FirbolgScythe01,1,0,,,,,,,,,,,0,,,,,,,,,,
903,Hib Firbolg Spear,H_sp_FirbolgSpear01,1,0,,,,,,,,,,,-10,,,,,,,,,,
904,Hib Firbolg Adze,H_th_FirbolgAdze01,1,0,,,,,,,,,,,0,,,,,,,,,,
905,Hib War Adze,H_th_WarAdze01,1,0,,,,,,,,,,,0,,,,,,,,,,
906,Hib Staff 06,h_st_staff09,1,0,,,,,,,,,,,,,,,,,,,,,
907,GreatBladedClawGreave,N_hth_GreatBladedClawGreave01,1,0,,,,,,,,,,,,,,,,,,,,,
908,GreatBladedFangGreave,N_hth_GreatBladedFangGreave01,1,0,,,,,,,,,,,,,,,,,,,,,
909,Dwarven 1H War Axe,N_1h_dwarvenwaraxe01,1,0,,,,,,,,,,,,,,,,,,,,,
910,Troll 1H Broad Sword,N_1h_TrollBroadSword01,1,0,,,,,,,,,,,,,,,,,,,,,
911,Troll 1H War Axe,N_1h_TrollWarAxe01,1,0,,,,,,,,,,,,,,,,,,,,,
912,Troll 1H War Hammer,N_1h_TrollWarHammer01,1,0,,,,,,,,,,,,,,,,,,,,,
913,Dwarven Spear,N_2h_dwarvenSpear01,1,0,,,,,,,,,,,,,,,,,,,,,
914,Kobold Great Axe,N_2h_KoboldGreatAxe01,1,0,,,,,,,,,,,,,,,,,,,,,
915,Kobold 2H Great Club,N_2h_KoboldGreatClub01,1,0,,,,,,,,,,,,,,,,,,,,,
916,Kobold Great Sword,N_2h_KoboldGreatSword01,1,0,,,,,,,,,,,,,,,,,,,,,
917,Viking Beared Bow,N_bo_VikingBeardedBow01,1,0,,,,,,,,,,,,,,,,,,,,,
918,Hib Staff 04,h_st_staff07,1,0,,,,,,,,,,,,,,,,,,,,,
919,neg blackmarker,neg_blackmarker,0,0,,,,,,,,,,,,,,,,,,,,,
920,neg blackmarker area,neg_blackmarker_area,0,0,,,,,,,,,,,,,,,,,,,,,
921,neg blackmarker bound,neg_blackmarker_bound,0,0,,,,,,,,,,,,,,,,,,,,,
922,neg goldmarker,neg_goldmarker,0,0,,,,,,,,,,,,,,,,,,,,,
923,neg goldmarker area,neg_goldmarker_area,0,0,,,,,,,,,,,,,,,,,,,,,
924,neg goldmarker bound,neg_goldmarker_bound,0,0,,,,,,,,,,,,,,,,,,,,,
925,neg redmarker,neg_redmarker,0,0,,,,,,,,,,,,,,,,,,,,,
926,neg redmarker area,neg_redmarker_area,0,0,,,,,,,,,,,,,,,,,,,,,
927,neg redmarker bound,neg_redmarker_bound,0,0,,,,,,,,,,,,,,,,,,,,,
928,pos bluemarker,pos_bluemarker,0,0,,,,,,,,,,,,,,,,,,,,,
929,pos bluemarker area,pos_bluemarker_area,0,0,,,,,,,,,,,,,,,,,,,,,
930,pos bluemarker bound,pos_bluemarker_bound,0,0,,,,,,,,,,,,,,,,,,,,,
931,pos greenmarker,pos_greenmarker,0,0,,,,,,,,,,,,,,,,,,,,,
932,pos greenmarker area,pos_greenmarker_area,0,0,,,,,,,,,,,,,,,,,,,,,
933,pos greenmarker bound,pos_greenmarker_bound,0,0,,,,,,,,,,,,,,,,,,,,,
934,pos whitemarker,pos_whitemarker,0,0,,,,,,,,,,,,,,,,,,,,,
935,pos whitemarker area,pos_whitemarker_area,0,0,,,,,,,,,,,,,,,,,,,,,
936,pos whitemarker bound,pos_whitemarker_bound,0,0,,,,,,,,,,,,,,,,,,,,,
937,rune fatdrain,rune_fatdrain,0,0,,,,,,,,,,,,,,,,,,,,,
938,rune poison,rune_poison,0,0,,,,,,,,,,,,,,,,,,,,,
939,rune pwrdrain,rune_pwrdrain,0,0,,,,,,,,,,,,,,,,,,,,,
940,rune snare,rune_snare,0,0,,,,,,,,,,,,,,,,,,,,,
941,MaliceAxe 1H,TOA_V_1h_Afct_MaliceAxe01,1,0,,,,,,,,,,,,,,,,,,,,,
942,MaliceAxe 2H,TOA_V_2h_Afct_MaliceAxe01,1,0,,,,,,,,,,,10,,,,,,,,,,
943,Serpent Scythe,TOA_S_sc_Afct_SerpentScythe01,1,0,,,,,,,,,,,,,,,,,,,,,
944,TOA In Drum,TOA_In_Drum,1,0,,,,,,,,,,,,,,,,,,,,,
945,TOA In Flute,TOA_In_Flute,1,0,,,,,,,,,,,,,,,,,,,,,
946,TOA In Harp,TOA_In_Harp,1,0,,,,,,,,,,,,,,,,,,,,,
947,TOA In Lute,TOA_In_Lute,1,0,,,,,,,,,,,,,,,,,,,,,
948,Scorpion Flex Mace,TOA_S_flx_ScorpionMace01,1,0,1332,1333,1334,1335,1336,1337,1338,1339,1340,1383,0,,,,,,,,,,
949,Serpent Whip,TOA_S_flx_Afct_SerpentWhip01,1,0,1341,1342,1343,1344,1345,1346,1347,1348,1349,1384,0,,,,,,,,,,
950,TOA O po 1hTrident01,TOA_O_po_1hTrident01,1,0,,,,,,,,,,,,,,,,,,,,,
951,TOA O po 2hTrident01,TOA_O_po_2hTrident01,1,0,,,,,,,,,,,,,,,,,,,,,
952,TOA O Shield SmallNautilus01,TOA_O_Shield_SmallNautilus01,1,0,,,,,,,,,,,,,,,,,,,,,
953,TOA O Shield SmallNautilus01,TOA_O_Shield_MediumNautilus01,1,0,,,,,,,,,,,,,,,,,,,,,
954,TOA O Shield SmallNautilus01,TOA_O_Shield_LargeNautilus01,1,0,,,,,,,,,,,,,,,,,,,,,
955,1h_Kopesh01,TOA_S_1h_Kopesh01,1,0,,,,,,,,,,,,,,,,,,,,,
956,2h_Kopesh01,TOA_S_2h_Kopesh01,1,0,,,,,,,,,,,,,,,,,,,,,
957,hth_ScorpionGreaves01,TOA_S_hth_ScorpionGreaves01,1,0,,,,,,,,,,,,,,,,,,,,,
958,Cr_SymbolScepter01,TOA_S_Cr_SymbolScepter01,1,0,,,,,,,,,,,,,,,,,,,,,
959,bl_SymbolStaff01,TOA_S_bl_SymbolStaff01,1,0,,,,,,,,,,,,,,,,,,,,,
960,SmallSymbolShield01,TOA_S_Shield_SmallSymbolShield01,1,0,,,,,,,,,,,,,,,,,,,,,
961,MediumSymbolShield01,TOA_S_Shield_MediumSymbolShield01,1,0,,,,,,,,,,,,,,,,,,,,,
962,LargeSymbolShield01,TOA_S_Shield_LargeSymbolShield01,1,0,,,,,,,,,,,,,,,,,,,,,
963,1h_AerusSword01,TOA_A_1h_AerusSword01,1,0,,,,,,,,,,,-8,,,,,,,,,,
964,2h_AerusSword01,TOA_A_2h_AerusSword01,1,0,,,,,,,,,,,,,,,,,,,,,
965,Cr_AerusMace01,TOA_A_Cr_AerusMace01,1,0,,,,,,,,,,,,,,,,,,,,,
966,2h_AerusMace01,TOA_A_2h_AerusMace01,1,0,,,,,,,,,,,,,,,,,,,,,
967,2h_AerusBow01,TOA_A_2h_AerusBow01,1,0,,,,,,,,,,,,,,,,,,,,,
968,2h_Katana01,TOA_A_2h_Katana01,1,0,,,,,,,,,,,,,,,,,,,,,
969,1h_Wakazashi01,TOA_A_1h_Wakazashi01,1,0,,,,,,,,,,,,,,,,,,,,,
970,SmallAerusShield01,TOA_A_Shield_SmallAerusShield01,1,0,,,,,,,,,,,,,,,,,,,,,
971,MediumAerusShield01,TOA_A_Shield_MediumAerusShield01,1,0,,,,,,,,,,,,,,,,,,,,,
972,LargeAerusShield01,TOA_A_Shield_LargeAerusShield01,1,0,,,,,,,,,,,,,,,,,,,,,
973,sc_MagmaScythe01,TOA_V_sc_MagmaScythe01,1,0,,,,,,,,,,,,,,,,,,,,,
974,1h_MagmaHammer01,TOA_V_1h_MagmaHammer01,1,0,,,,,,,,,,,,,,,,,,,,,
975,2h_MagmaHammer01,TOA_V_2h_MagmaHammer01,1,0,,,,,,,,,,,,,,,,,,,,,
976,1h_MagmaAxe01,TOA_V_1h_MagmaAxe01,1,0,,,,,,,,,,,,,,,,,,,,,
977,2h_MagmaAxe01,TOA_V_2h_MagmaAxe01,1,0,,,,,,,,,,,,,,,,,,,,,
978,SmallMagma01,TOA_V_Shield_SmallMagma01,1,0,,,,,,,,,,,,,,,,,,,,,
979,MediumMagma01,TOA_V_Shield_MediumMagma01,1,0,,,,,,,,,,,,,,,,,,,,,
980,LargeMagma01,TOA_V_Shield_LargeMagma01,1,0,,,,,,,,,,,,,,,,,,,,,
981,1H Battler Sword,TOA_V_1h_Afct_BattlerSword01,1,0,,,,,,,,,,,,,,,,,,,,,
982,2H Bruiser Hammer,TOA_V_2h_Afct_BruiserHammer01,1,0,,,,,,,,,,,,,,,,,,,,,
983,Scarab Vest,TOA_S_Scarab_Vest,1,0,,,,,,,,,,,,,,,,,,,,,
984,Volcanus_orb_grn,Volcanus_orb_grn,0,0,,,,,,,,,,,,,,,,,,,,,
985,Volcanus_orb_red,Volcanus_orb_red,0,0,,,,,,,,,,,,,,,,,,,,,
986,toa A Helm1,toa_A_Helm1,1,0,,,,,,,,,,,,,,,,,,,2,,
987,toa A Helm2,toa_A_Helm2,1,0,,,,,,,,,,,,,,,,,,,2,,
988,toa A Helm3,toa_A_Helm3,1,0,,,,,,,,,,,,,,,,,,,2,,
989,toa H Helm1,toa_H_Helm1,1,0,,,,,,,,,,,,,,,,,,,2,,
990,toa H Helm2,toa_H_Helm2,1,0,,,,,,,,,,,,,,,,,,,2,,
991,toa H Helm3,toa_H_Helm3,1,0,,,,,,,,,,,,,,,,,,,2,,
992,toa H sylHelm1,toa_H_sylHelm1,1,0,,,,,,,,,,,,,,,,,,,2,,
993,toa H sylHelm2,toa_H_sylHelm2,1,0,,,,,,,,,,,,,,,,,,,2,,
994,toa H sylHelm3,toa_H_sylHelm3,1,0,,,,,,,,,,,,,,,,,,,2,,
995,toa HF Helm1,toa_HF_Helm1,1,0,,,,,,,,,,,,,,,,,,,2,,
996,toa HF Helm2,toa_HF_Helm2,1,0,,,,,,,,,,,,,,,,,,,2,,
997,toa HF Helm3,toa_HF_Helm3,1,0,,,,,,,,,,,,,,,,,,,2,,
998,toa N TRLHelm1,toa_N_TRLHelm1,1,0,,,,,,,,,,,,,,,,,,,2,,
999,toa N TRLHelm2,toa_N_TRLHelm2,1,0,,,,,,,,,,,,,,,,,,,2,,
1000,toa N TRLHelm3,toa_N_TRLHelm3,1,0,,,,,,,,,,,,,,,,,,,2,,
1001,toa N ValHelm1,toa_N_ValHelm1,1,0,,,,,,,,,,,,,,,,,,,2,,
1002,toa N ValHelm2,toa_N_ValHelm2,1,0,,,,,,,,,,,,,,,,,,,2,,
1003,toa N ValHelm3,toa_N_ValHelm3,1,0,,,,,,,,,,,,,,,,,,,2,,
1004,toa N Helm1,toa_N_Helm1,1,0,,,,,,,,,,,,,,,,,,,2,,
1005,toa N Helm2,toa_N_Helm2,1,0,,,,,,,,,,,,,,,,,,,2,,
1006,toa N Helm3,toa_N_Helm3,1,0,,,,,,,,,,,,,,,,,,,2,,
1007,toa A Zahur,toa_A_Zahur,1,0,,,,,,,,,,,,,,,,,,,2,,
1008,toa H Zahur,toa_H_Zahur,1,0,,,,,,,,,,,,,,,,,,,2,,
1009,toa H sylZahur,toa_H_zylZahur,1,0,,,,,,,,,,,,,,,,,,,2,,
1010,toa HF Zahur,toa_HF_Zahur,1,0,,,,,,,,,,,,,,,,,,,2,,
1011,toa N Zahur,toa_N_Zahur,1,0,,,,,,,,,,,,,,,,,,,2,,
1012,toa N TRLZahur,toa_N_TRLZahur,1,0,,,,,,,,,,,,,,,,,,,2,,
1013,toa N ValZahur,toa_N_ValZahur,1,0,,,,,,,,,,,,,,,,,,,2,,
1014,toa_A_wingedhelm,toa_A_wingedhelm,1,0,,,,,,,,,,,,,,,,,,,2,,
1015,toa_H_sylwingedhelm,toa_H_sylwingedhelm,1,0,,,,,,,,,,,,,,,,,,,2,,
1016,toa_H_wingedhelm,toa_H_wingedhelm,1,0,,,,,,,,,,,,,,,,,,,2,,
1017,toa_HF_wingedhelm,toa_HF_wingedhelm,1,0,,,,,,,,,,,,,,,,,,,2,,
1018,toa_N_TRLwingedhelm,toa_N_TRLwingedhelm,1,0,,,,,,,,,,,,,,,,,,,2,,
1019,toa_N_Valwingedhelm,toa_N_Valwingedhelm,1,0,,,,,,,,,,,,,,,,,,,2,,
1020,toa_N_wingedhelm,toa_N_wingedhelm,1,0,,,,,,,,,,,,,,,,,,,2,,
1021,Serpent Greaves,TOA_S_hth_Afct_SerpentGreaves01,1,0,,,,,,,,,,,,,,,,,,,,,
1022,Atlantis Teleporter,Atl_teleporter,0,0,,,,,,,,,,,,,,,,,,,,,
1023,Alb Flex Pick Flail,B_flx_PickFlail01_M,1,0,1332,1333,1334,1335,1336,1337,1338,1339,1340,1383,0,,,,,,,,,,
1024,Transient Rune,visible_rune,0,0,,,,,,,,,,,,,,,,,,,,,
1025,trophy cetus,int_wall_trophy_cetus,0,0,,,,,,,,,,,,1,,,,,,,,,
1026,trophy manticor,int_floor_trophy_manticor,0,0,,,,,,,,,,,,1,,,,,,,,,
1027,trophy talos,int_floor_trophy_talos,0,0,,,,,,,,,,,,1,,,,,,,,,
1028,trophy typhon,int_wall_trophy_typhon,0,0,,,,,,,,,,,,1,,,,,,,,,
1029,trophy ammut,int_wall_trophy_ammut,0,0,,,,,,,,,,,,1,,,,,,,,,
1030,trophy barracuda,int_wall_trophy_barracuda,0,0,,,,,,,,,,,,1,,,,,,,,,
