Information,,Skin,,Archive,Expansion,,Housing,Material,Material,Material
1643,Eel 2,Eel02.tga,0,123,1,0,,0,,
1644,Frostalf cth0 arm1.tga,SV_cth0_arm1.tga,0,125,0,0,,0,,
1645,Frostalf cth0 body1f.tga,SV_cth0_body1f.tga,0,125,0,0,,0,,
1646,Frostalf cth0 body1m.tga,SV_cth0_body1m.tga,0,125,0,0,,0,,
1647,Frostalf cth0 boot1.tga,SV_cth0_boot1.tga,0,125,0,0,,0,,
1648,Frostalf cth0 glov1.tga,SV_cth0_glov1.tga,0,125,0,0,,0,,
1649,Frostalf cth0 lbody1.tga,SV_cth0_lbody1.tga,0,125,0,0,,0,,
1650,Frostalf cth0 leg1.tga,SV_cth0_leg1.tga,0,125,0,0,,0,,
1651,Frostalf FHed1.tga,SV_FHed1.tga,1,125,0,0,,0,,
1652,Frostalf FHed2.tga,SV_FHed2.tga,1,125,0,0,,0,,
1653,Frostalf FHed3.tga,SV_FHed3.tga,1,125,0,0,,0,,
1654,Frostalf FHed4.tga,SV_FHed4.tga,1,125,0,0,,0,,
1655,Frostalf FHed5.tga,SV_FHed5.tga,1,125,0,0,,0,,
1656,Frostalf FHed6.tga,SV_FHed6.tga,1,125,0,0,,0,,
1657,Frostalf MHed1.tga,SV_MHed1.tga,1,125,0,0,,0,,
1658,Frostalf MHed2.tga,SV_MHed2.tga,1,125,0,0,,0,,
1659,Frostalf MHed3.tga,SV_MHed3.tga,1,125,0,0,,0,,
1660,Frostalf MHed4.tga,SV_MHed4.tga,1,125,0,0,,0,,
1661,Frostalf MHed5.tga,SV_MHed5.tga,1,125,0,0,,0,,
1662,Frostalf MHed6.tga,SV_MHed6.tga,1,125,0,0,,0,,
1663,Hoplite lt gold gloss.tga,Hoplite_lt_gold_gloss.tga,4,123,2,0,,0,,
1664,Hoplite bronze gloss.tga,Hoplite_bronze_gloss.tga,4,123,2,0,,0,,
1665,Hoplite gold gloss.tga,Hoplite_gold_gloss.tga,4,123,2,0,,0,,
1666,androsphinx,androsphinx.tga,0,127,2,0,,0,,
1667,androsphinx head1,androsphinx_head.tga,0,127,2,0,,0,,
1668,androsphinx head2,androsphinx_head2.tga,0,127,2,0,,0,,
1669,androsphinx head3,androsphinx_head3.tga,0,127,2,0,,0,,
1670,androsphinx head4,androsphinx_head4.tga,0,127,2,0,,0,,
1671,andro bump,andro_bump.tga,6,127,2,0,,0,,
1672,andro gloss,andro_gloss.tga,4,127,2,0,,0,,
1673,hieracosphinx,hieracosphinx.tga,0,127,2,0,,0,,
1674,hieracosphinx head,hieracosphinx_head.tga,0,127,2,0,,0,,
1675,hieracosphinx head2,hieracosphinx_head2.tga,0,127,2,0,,0,,
1676,hieracosphinx bump,hieracosphinx_bump.tga,6,127,2,0,,0,,
1677,hieracosphinx gloss,hieracosphinx_gloss.tga,4,127,2,0,,0,,
1678,hieracosphinx head bump,hieracosphinx_head_bump.tga,6,127,2,0,,0,,
1679,hieracosphinx head gloss,hieracosphinx_head_gloss.tga,4,127,2,0,,0,,
1680,criosphinx,criosphinx.tga,0,127,2,0,,0,,
1681,criosphinx head,criosphinx_head.tga,0,127,2,0,,0,,
1682,criosphinx head2,criosphinx_head2.tga,0,127,2,0,,0,,
1683,criosphinx bump,criosphinx_bump.tga,6,127,2,0,,0,,
1684,criosphinx gloss,criosphinx_gloss.tga,4,127,2,0,,0,,
1685,criosphinx head bump,criosphinx_head_bump.tga,6,127,2,0,,0,,
1686,criosphinx head gloss,criosphinx_head_gloss.tga,4,127,2,0,,0,,
1687,gynosphinx,gynosphinx.tga,0,127,2,0,,0,,
1688,gynosphinx head,gynosphinx_head.tga,0,127,2,0,,0,,
1689,gynosphinx bump,gynosphinx_bump.tga,6,127,2,0,,0,,
1690,gynosphinx gloss,gynosphinx_gloss.tga,4,127,2,0,,0,,
1691,gynosphinx head bump,gynosphinx_head_bump.tga,6,127,2,0,,0,,
1692,gynosphinx head gloss,gynosphinx_head_gloss.tga,4,127,2,0,,0,,
1693,Chimera Body,Chimera_Body.tga,0,127,2,0,,0,,
1694,Chimera Head,Chimera_Head.tga,0,127,2,0,,0,,
1695,Chimera detail,Chimera_detail.tga,7,127,2,0,,0,,
1696,Talos arm,Talos_arm.tga,0,127,2,0,,0,,
1697,Talos arm bump,Talos_arm_bump.tga,6,127,2,0,,0,,
1698,Talos arm gloss,Talos_arm_gloss.tga,4,127,2,0,,0,,
1699,Talos chest,Talos_chest.tga,0,127,2,0,,0,,
1700,Talos chest bump,Talos_chest_bump.tga,6,127,2,0,,0,,
1701,Talos chest gloss,Talos_chest_gloss.tga,4,127,2,0,,0,,
1702,Talos head,Talos_head.tga,0,127,2,0,,0,,
1703,Talos head bump,Talos_head_bump.tga,6,127,2,0,,0,,
1704,Talos head gloss,Talos_head_gloss.tga,4,127,2,0,,0,,
1705,Talos leg,Talos_leg.tga,0,127,2,0,,0,,
1706,Talos leg bump,Talos_leg_bump.tga,6,127,2,0,,0,,
1707,Talos leg gloss,Talos_leg_gloss.tga,4,127,2,0,,0,,
1708,Gorgon body,Gorgon_body.tga,0,127,2,0,,0,,
1709,Gorgon body Volc,Gorgon_body_Volc.tga,0,127,2,0,,0,,
1710,Gorgon CalmFace,Gorgon_CalmFace.tga,0,127,2,0,,0,,
1711,Gorgon CalmFace Volc,Gorgon_CalmFace_Volc.tga,0,127,2,0,,0,,
1712,Gorgon ScaryFace,Gorgon_ScaryFace.tga,0,127,2,0,,0,,
1713,Gorgon ScaryFace Glow,Gorgon_ScaryFace_Glow.tga,6,127,2,0,,0,,
1714,Gorgon ScaryFace Volc,Gorgon_ScaryFace_Volc.tga,0,127,2,0,,0,,
1715,Medusa body,Medusa_body.tga,0,127,2,0,,0,,
1716,Medusa head,Medusa_head.tga,0,127,2,0,,0,,
1717,Minotaur,Minotaur.tga,0,128,2,0,,0,,
1718,Minotaur Lt,Minotaur_lt.tga,0,128,2,0,,0,,
1719,Minotaur Alt,Minotaur_alt.tga,0,128,2,0,,0,,
1720,Medusa Head Volc,Medusa_Head_Volc.tga,0,128,2,0,,0,,
1721,Medusa Body Volc,Medusa_Body_Volc.tga,0,128,2,0,,0,,
1722,Gorgon CalmFace2,Gorgon_CalmFace2.tga,0,128,2,0,,0,,
1723,Gorgon CalmFace2 Volc,Gorgon_CalmFace2_Volc.tga,0,128,2,0,,0,,
1724,Gorgon CalmFace3,Gorgon_CalmFace3.tga,0,128,2,0,,0,,
1725,Gorgon CalmFace3 Volc,Gorgon_CalmFace3_Volc.tga,0,128,2,0,,0,,
1726,Stygian Lion,stygian_lion.tga,0,128,2,0,,0,,
1727,Djinn,djinn.tga,0,128,0,0,,0,,
1728,Djinn_flame000,djinn_flame000.tga,0,128,0,0,,0,,
1729,Djinn_gloss,djinn_gloss.tga,4,128,0,0,,0,,
1730,Djinn_hotglow,djinn_hotglow.tga,3,128,0,0,,0,,
1731,Djinn Lt,djinn_lt.tga,0,128,0,0,,0,,
1732,Djinnlt gloss,djinnlt_gloss.tga,4,128,0,0,,0,,
1733,Silver envmapligh,silver_envmapligh.tga,0,128,0,0,,0,,
1734,Dao,dao.tga,0,128,0,0,,0,,
1735,Marid,marid.tga,0,128,0,0,,0,,
1736,Jinni,jinni.tga,0,128,0,0,,0,,
1737,Jinni gloss,jinni_gloss.tga,4,128,0,0,,0,,
1738,Efreet,efreet.tga,0,128,0,0,,0,,
1739,Efreet gloss,efreet_gloss.tga,4,128,0,0,,0,,
1740,winged scarab,winged_scarab.tga,0,128,2,0,,0,,
1741,winged scarab bump,winged_scarab_bump.tga,6,128,2,0,,0,,
1742,winged scarab gloss,winged_scarab_gloss.tga,4,128,2,0,,0,,
1743,winged scarab 01,winged_scarab_01.tga,0,128,2,0,,0,,
1744,winged scarab 01  bump,winged_scarab_01__bump.tga,6,128,2,0,,0,,
1745,winged scarab 01 gloss,winged_scarab_01_gloss.tga,4,128,2,0,,0,,
1746,scarab,scarab.tga,0,128,2,0,,0,,
1747,scarab bump,scarab_bump.tga,6,128,2,0,,0,,
1748,scarab envmapligh,scarab_envmapligh.tga,5,128,2,0,,0,,
1749,scarab gloss,scarab_gloss.tga,4,128,2,0,,0,,
1750,extrastatue1,extrastatue1.tga,0,128,2,0,,0,,
1751,extrastatue2,extrastatue2.tga,0,128,2,0,,0,,
1752,hair sharauburn,hair_sharauburn.tga,0,125,0,0,,0,,
1753,hair sharblack,hair_sharblack.tga,0,125,0,0,,0,,
1754,hair sharblonde,hair_sharblonde.tga,0,125,0,0,,0,,
1755,hair sharbrightred,hair_sharbrightred.tga,0,125,0,0,,0,,
1756,hair sharbrown,hair_sharbrown.tga,0,125,0,0,,0,,
1757,hair shardirtblonde,hair_shardirtblonde.tga,0,125,0,0,,0,,
1758,hair sharplat,hair_sharplat.tga,0,125,0,0,,0,,
1759,hair sharred,hair_sharred.tga,0,125,0,0,,0,,
1760,Sh cth0 arm1,Sh_cth0_arm1.tga,0,125,0,0,,0,,
1761,Sh cth0 body1f,Sh_cth0_body1f.tga,0,125,0,0,,0,,
1762,Sh cth0 body1m,Sh_cth0_body1m.tga,0,125,0,0,,0,,
1763,Sh cth0 boot1,Sh_cth0_boot1.tga,0,125,0,0,,0,,
1764,Sh cth0 glov1,Sh_cth0_glov1.tga,0,125,0,0,,0,,
1765,Sh cth0 lbody1,Sh_cth0_lbody1.tga,0,125,0,0,,0,,
1766,Sh cth0 leg1,Sh_cth0_leg1.tga,0,125,0,0,,0,,
1767,Sh Fhed1,Sh_Fhed1.tga,1,125,0,0,,0,,
1768,Sh Fhed2,Sh_Fhed2.tga,1,125,0,0,,0,,
1769,Sh Fhed3,Sh_Fhed3.tga,1,125,0,0,,0,,
1770,Sh Fhed4,Sh_Fhed4.tga,1,125,0,0,,0,,
1771,Sh Fhed5,Sh_Fhed5.tga,1,125,0,0,,0,,
1772,Sh Fhed6,Sh_Fhed6.tga,1,125,0,0,,0,,
1773,Sh Mhed1,Sh_Mhed1.tga,1,125,0,0,,0,,
1774,Sh Mhed2,Sh_Mhed2.tga,1,125,0,0,,0,,
1775,Sh Mhed3,Sh_Mhed3.tga,1,125,0,0,,0,,
1776,Sh Mhed4,Sh_Mhed4.tga,1,125,0,0,,0,,
1777,Sh Mhed5,Sh_Mhed5.tga,1,125,0,0,,0,,
1778,Sh Mhed6,Sh_Mhed6.tga,1,125,0,0,,0,,
1779,Mammoth undead,Mammoth_undead.tga,0,110,1,0,,0,,
1780,lamia alt01,lamia_alt01.tga,0,110,1,0,,0,,
1781,Morvalt Basic Male undead,Morvalt_Basic_Male_undead.tga,0,110,1,0,,0,,
1782,Alternate Sylvan arm,HSylShade_arm_alt.tga,0,110,1,0,,0,,
1783,Alternate Sylvan bodym,HSylShade_body_alt.tga,0,110,1,0,,0,,
1784,Alternate Sylvan boot,HSylShade_boot_alt.tga,0,110,1,0,,0,,
1785,Alternate Sylvan glov,HSylShade_glov_alt.tga,0,110,1,0,,0,,
1786,Alternate Sylvan lbody,HSylShade_lbody_alt.tga,0,110,1,0,,0,,
1787,Alternate Sylvan leg,HSylShade_leg_alt.tga,0,110,1,0,,0,,
1788,Alternate Sylvan hair leaf,HSylShade_hair_alt.tga,0,110,1,0,,0,,
1789,Octonid alt01,Octonid_alt01.tga,0,110,1,0,,0,,
1790,centaur01,centaur01.tga,0,126,2,0,,0,,
1791,centaur02,centaur02.tga,0,126,2,0,,0,,
1792,centaur lt,centaur_lt.tga,0,126,2,0,,0,,
1793,centaur wing01,centaur_wing01.tga,0,126,2,0,,0,,
1794,centaur wing02,centaur_wing02.tga,0,126,2,0,,0,,
1795,centaur winglt,centaur_winglt.tga,0,126,2,0,,0,,
1796,centaur winglt gloss,centaur_winglt_gloss.tga,4,126,2,0,,0,,
1797,Hoplite envmapligh,Hoplite_envmapligh.tga,0,126,2,0,,0,,
1798,Phoenix body,phoenix_body.tga,0,124,2,0,,0,,
1799,Phoenix head,phoenix_head.tga,0,124,2,0,,0,,
1800,Phoenix leg,phoenix_leg.tga,0,124,2,0,,0,,
1801,Phoenix wing,phoenix_wing.tga,0,124,2,0,,0,,
1802,CyClops1,cyclops1.tga,0,126,2,0,,0,,
1803,CyClops2,cyclops2.tga,0,126,2,0,,0,,
1804,CyClops3,cyclops3.tga,0,126,2,0,,0,,
1805,CyClops4,cyclops4.tga,0,126,2,0,,0,,
1806,CyClops head1,cyclops_head1.tga,0,126,2,0,,0,,
1807,CyClops head2,cyclops_head2.tga,0,126,2,0,,0,,
1808,CyClops head3,cyclops_head3.tga,0,126,2,0,,0,,
1809,CyClops Lt,cyclops_lt.tga,0,126,2,0,,0,,
1810,CyClops Lt head,cyclops_lt_head.tga,0,126,2,0,,0,,
1811,Iaculi,Iaculi.tga,0,130,2,0,,0,,
1812,Uraeus,Uraeus.tga,0,130,2,0,,0,,
1813,stygian lion starry,stygian_lion_starry.tga,0,130,2,0,,0,,
1814,scorp starry,scorp_starry.tga,0,130,2,0,,0,,
1815,centaur starry,centaur_starry.tga,0,130,2,0,,0,,
1816,Crocodile 01,croc_01.tga,0,132,0,0,,0,,
1817,Crocodile 02,croc_02.tga,0,130,1,0,,0,,
1818,Crocodile 03,croc_03.tga,0,130,1,0,,0,,
1819,salamander,salamander.tga,0,130,0,0,,0,,
1820,scorp2_01,scorp2_01.tga,0,130,2,0,,0,,
1821,scorp2_02,scorp2_02.tga,0,130,2,0,,0,,
1822,manticore body,manticore_body.tga,0,130,2,0,,0,,
1823,manticore head,manticore_head.tga,0,130,2,0,,0,,
1824,manticore leg,manticore_leg.tga,0,130,2,0,,0,,
1825,manticore Mane,manticore_Mane.tga,0,130,2,0,,0,,
1826,Albion Relic Guard 01,B_Knight_Body1M.tga,0,111,0,0,,0,,
1827,draco arms,draco_arms.tga,0,124,2,0,,0,,
1828,draco body,draco_body.tga,0,124,2,0,,0,,
1829,draco head,draco_head.tga,0,124,2,0,,0,,
1830,draco legs,draco_legs.tga,0,124,2,0,,0,,
1831,minotaur alt2,minotaur_alt2.tga,0,130,2,0,,0,,
1832,minotaur Lt2,minotaur_Lt2.tga,0,130,2,0,,0,,
1833,B Scout Body1M,B_Scout_Body1M.tga,0,111,0,0,,0,,
1834,H Guardian Body1M,H_Guardian_Body1M.tga,0,111,0,0,,0,,
1835,H Ranger Body1M,H_Ranger_Body1M.tga,0,111,0,0,,0,,
1836,M Archer Body1M,M_Archer_Body1M.tga,0,111,0,0,,0,,
1837,M Jarl Body1M,M_Jarl_Body1M.tga,0,111,0,0,,0,,
1838,caustics1,caustics1.tga,6,129,2,0,,0,,
1839,efreet_decal,efreet_decal.tga,1,129,2,0,,0,,
1840,emap2,emap2.tga,5,129,2,0,,0,,
1841,fireshell4a,fireshell4a.tga,7,129,2,0,,0,,
1842,jinni_decal,jinni_decal.tga,1,129,2,0,,0,,
1843,marbclouds,marbclouds.tga,2,129,2,0,,0,,
1844,marid_gloss,marid_gloss.tga,4,129,2,0,,0,,
1845,TOA mummy arm1,TOA_mummy_arm1.tga,0,129,2,0,,0,,
1846,TOA mummy body1f a,TOA_mummy_body1f_a.tga,0,129,2,0,,0,,
1847,TOA mummy body1f h,TOA_mummy_body1f_h.tga,0,129,2,0,,0,,
1848,TOA mummy body1f m,TOA_mummy_body1f_m.tga,0,129,2,0,,0,,
1849,TOA mummy body1m a,TOA_mummy_body1m_a.tga,0,129,2,0,,0,,
1850,TOA mummy body1m h,TOA_mummy_body1m_h.tga,0,129,2,0,,0,,
1851,TOA mummy body1m m,TOA_mummy_body1m_m.tga,0,129,2,0,,0,,
1852,TOA mummy boot1 a,TOA_mummy_boot1_a.tga,0,129,2,0,,0,,
1853,TOA mummy boot1 hm,TOA_mummy_boot1_hm.tga,0,129,2,0,,0,,
1854,TOA mummy C Fhed1,TOA_mummy_C_Fhed1.tga,1,129,2,0,,0,,
1855,TOA mummy D Mhed1,TOA_mummy_D_Mhed1.tga,1,129,2,0,,0,,
1856,TOA mummy E mhed1,TOA_mummy_E_mhed1.tga,1,129,2,0,,0,,
1857,TOA mummy F Mhed1,TOA_mummy_F_Mhed1.tga,1,129,2,0,,0,,
1858,TOA mummy glove1,TOA_mummy_glov1.tga,0,129,2,0,,0,,
1859,TOA mummy hair sarblackA,TOA_mummy_hair_sarblackA.tga,0,129,2,0,,0,,
1860,TOA mummy hair sarblackB,TOA_mummy_hair_sarblackB.tga,0,129,2,0,,0,,
1861,TOA mummy HO fhed1,TOA_mummy_HO_fhed1.tga,1,129,2,0,,0,,
1862,TOA mummy K Mhed1,TOA_mummy_K_Mhed1.tga,1,129,2,0,,0,,
1863,TOA mummy lbody1,TOA_mummy_lbody1.tga,0,129,2,0,,0,,
1864,TOA mummy leg1 am,TOA_mummy_leg1_am.tga,0,129,2,0,,0,,
1865,TOA mummy leg1 h,TOA_mummy_leg1_h.tga,0,129,2,0,,0,,
1866,TOA mummy Sh Fhed1,TOA_mummy_Sh_Fhed1.tga,1,129,2,0,,0,,
1867,TOA mummy SV MHed1,TOA_mummy_SV_MHed1.tga,1,129,2,0,,0,,
1868,TOA mummy Syl hair Grey,TOA_mummy_Syl_hair_Grey.tga,0,129,2,0,,0,,
1869,TOA mummy Syl Mhed1,TOA_mummy_Syl_Mhed1.tga,1,129,2,0,,0,,
1870,TOA mummy T Fhed1,TOA_mummy_T_Fhed1.tga,1,129,2,0,,0,,
1871,TOA mummy T hair1,TOA_mummy_T_hair1.tga,0,129,2,0,,0,,
1872,TOA mummy V Mhed1,TOA_mummy_V_Mhed1.tga,1,129,2,0,,0,,
1873,horseblanket,horseblanket.tga,1,129,2,0,,0,,
1874,Mid Horse Blanket,horseblanket_M.tga,1,129,2,0,,0,,
1875,horseblanket h,horseblanket_h.tga,1,129,2,0,,0,,
1876,horseblanket a,horseblanket_a.tga,1,129,2,0,,0,,
1877,Dapple,Horse_dapple.tga,0,129,2,0,,0,,
1878,TOA stone arm1,TOA_stone_arm1.tga,0,131,2,0,,0,,
1879,TOA stone body1f a,TOA_stone_body1f_a.tga,0,131,2,0,,0,,
1880,TOA stone body1f h,TOA_stone_body1f_h.tga,0,131,2,0,,0,,
1881,TOA stone body1f m,TOA_stone_body1f_m.tga,0,131,2,0,,0,,
1882,TOA stone body1m a,TOA_stone_body1m_a.tga,0,131,2,0,,0,,
1883,TOA stone body1m h,TOA_stone_body1m_h.tga,0,131,2,0,,0,,
1884,TOA stone body1m m,TOA_stone_body1m_m.tga,0,131,2,0,,0,,
1885,TOA stone boot1 a,TOA_stone_boot1_a.tga,0,131,2,0,,0,,
1886,TOA stone boot1 mh,TOA_stone_boot1_mh.tga,0,131,2,0,,0,,
1887,TOA stone glov1,TOA_stone_glov1.tga,0,131,2,0,,0,,
1888,TOA stone lbody1,TOA_stone_lbody1.tga,0,131,2,0,,0,,
1889,TOA stone leg1 am,TOA_stone_leg1_am.tga,0,131,2,0,,0,,
1890,TOA stone leg1 h,TOA_stone_leg1_h.tga,0,131,2,0,,0,,
1891,fireshell6,fireshell6.tga,7,130,0,0,,0,,
1892,extrastatue_FireElemental,extrastatue_FireElemental.tga,0,130,0,0,,0,,
1893,TOA stone Fhed1 A,TOA_stone_Fhed1_A.tga,1,131,2,0,,0,,
1894,TOA stone Fhed1 B,TOA_stone_Fhed1_B.tga,1,131,2,0,,0,,
1895,TOA stone Fhed1 C,TOA_stone_Fhed1_C.tga,1,131,2,0,,0,,
1896,TOA stone Fhed1 D,TOA_stone_Fhed1_D.tga,1,131,2,0,,0,,
1897,TOA stone Fhed1 E,TOA_stone_Fhed1_E.tga,1,131,2,0,,0,,
1898,TOA stone Fhed1 F,TOA_stone_Fhed1_F.tga,1,131,2,0,,0,,
1899,TOA stone Fhed1 H,TOA_stone_Fhed1_H.tga,1,131,2,0,,0,,
1900,TOA stone Fhed1 I,TOA_stone_Fhed1_I.tga,1,131,2,0,,0,,
1901,TOA stone Fhed1 K,TOA_stone_Fhed1_K.tga,1,131,2,0,,0,,
1902,TOA stone Fhed1 L,TOA_stone_Fhed1_L.tga,1,131,2,0,,0,,
1903,TOA stone Fhed1 S,TOA_stone_Fhed1_S.tga,1,131,2,0,,0,,
1904,TOA stone Fhed1 Syl,TOA_stone_Fhed1_Syl.tga,1,131,2,0,,0,,
1905,TOA stone Fhed1 T,TOA_stone_Fhed1_T.tga,1,131,2,0,,0,,
1906,TOA stone Fhed1 V,TOA_stone_Fhed1_V.tga,1,131,2,0,,0,,
1907,TOA stone Fhed1 Va,TOA_stone_Fhed1_Va.tga,1,131,2,0,,0,,
1908,TOA stone hair1,TOA_stone_hair1.tga,0,131,2,0,,0,,
1909,TOA stone Mhed1 A,TOA_stone_Mhed1_A.tga,1,131,2,0,,0,,
1910,TOA stone Mhed1 B,TOA_stone_Mhed1_B.tga,1,131,2,0,,0,,
1911,TOA stone Mhed1 C,TOA_stone_Mhed1_C.tga,1,131,2,0,,0,,
1912,TOA stone Mhed1 D,TOA_stone_Mhed1_D.tga,1,131,2,0,,0,,
1913,TOA stone Mhed1 E,TOA_stone_Mhed1_E.tga,1,131,2,0,,0,,
1914,TOA stone Mhed1 F,TOA_stone_Mhed1_F.tga,1,131,2,0,,0,,
1915,TOA stone Mhed1 H,TOA_stone_Mhed1_H.tga,1,131,2,0,,0,,
1916,TOA stone Mhed1 I,TOA_stone_Mhed1_I.tga,1,131,2,0,,0,,
1917,TOA stone Mhed1 K,TOA_stone_Mhed1_K.tga,1,131,2,0,,0,,
1918,TOA stone Mhed1 L,TOA_stone_Mhed1_L.tga,1,131,2,0,,0,,
1919,TOA stone Mhed1 S,TOA_stone_Mhed1_S.tga,1,131,2,0,,0,,
1920,TOA stone Mhed1 Syl,TOA_stone_Mhed1_Syl.tga,1,131,2,0,,0,,
1921,TOA stone Mhed1 T,TOA_stone_Mhed1_T.tga,1,131,2,0,,0,,
1922,TOA stone Mhed1 V,TOA_stone_Mhed1_V.tga,1,131,2,0,,0,,
1923,TOA stone Mhed1 Va,TOA_stone_Mhed1_Va.tga,1,131,2,0,,0,,
1924,criosphinx_head_volc,criosphinx_head_volc.tga,0,131,2,0,,0,,
1925,criosphinx_volc,criosphinx_volc.tga,0,131,2,0,,0,,
1926,TOA stone cloak,TOA_stone_cloak.tga,0,131,2,0,,0,,
1927,TOA A rsch arm3 a,TOA_A_rsch_arm3_a.tga,0,131,2,0,,0,,
1928,TOA A rsch body1f a,TOA_A_rsch_body1f_a.tga,0,131,2,0,,0,,
1929,TOA A rsch body1m a,TOA_A_rsch_body1m_a.tga,0,131,2,0,,0,,
1930,TOA A rsch boot1 a,TOA_A_rsch_boot1_a.tga,0,131,2,0,,0,,
1931,TOA A rsch glov1 a,TOA_A_rsch_glov1_a.tga,0,131,2,0,,0,,
1932,TOA A rsch lbody3 a,TOA_A_rsch_lbody3_a.tga,0,131,2,0,,0,,
1933,TOA H rsch boot1 h,TOA_H_rsch_boot1_h.tga,0,131,2,0,,0,,
1934,TOA H rsch glov1 h,TOA_H_rsch_glov1_h.tga,0,131,2,0,,0,,
1935,TOA N rsch arm1 m,TOA_N_rsch_arm1_m.tga,0,131,2,0,,0,,
1936,TOA N rsch body1f m,TOA_N_rsch_body1f_m.tga,0,131,2,0,,0,,
1937,TOA N rsch body1m m,TOA_N_rsch_body1m_m.tga,0,131,2,0,,0,,
1938,TOA N rsch boot1 m,TOA_N_rsch_boot1_m.tga,0,131,2,0,,0,,
1939,TOA N rsch glov1 m,TOA_N_rsch_glov1_m.tga,0,131,2,0,,0,,
1940,TOA N rsch lbody3 m,TOA_N_rsch_lbody3_m.tga,0,131,2,0,,0,,
1941,TOA N rsch leg1 m,TOA_N_rsch_leg1_m.tga,0,131,2,0,,0,,
1942,TOA H rsch arm3 h,TOA_H_rsch_arm3_h.tga,0,131,2,0,,0,,
1943,TOA H rsch body1m h,TOA_H_rsch_body1m_h.tga,0,131,2,0,,0,,
1944,TOA H rsch lbody1 h,TOA_H_rsch_lbody1_h.tga,0,131,2,0,,0,,
1945,TOA H rsch body1f h,TOA_H_rsch_body1f_h.tga,0,131,2,0,,0,,
1946,TOA shade arm1,TOA_shade_arm1.tga,0,132,0,0,,0,,
1947,TOA shade body1f a,TOA_shade_body1f_a.tga,0,132,0,0,,0,,
1948,TOA shade body1f h,TOA_shade_body1f_h.tga,0,132,0,0,,0,,
1949,TOA shade body1f m,TOA_shade_body1f_m.tga,0,132,0,0,,0,,
1950,TOA shade body1m a,TOA_shade_body1m_a.tga,0,132,0,0,,0,,
1951,TOA shade body1m h,TOA_shade_body1m_h.tga,0,132,0,0,,0,,
1952,TOA shade body1m m,TOA_shade_body1m_m.tga,0,132,0,0,,0,,
1953,TOA shade boot1 a,TOA_shade_boot1_a.tga,0,132,0,0,,0,,
1954,TOA shade boot1 mh,TOA_shade_boot1_mh.tga,0,132,0,0,,0,,
1955,TOA shade cloak,TOA_shade_cloak.tga,0,132,0,0,,0,,
1956,TOA shade glov1,TOA_shade_glov1.tga,0,132,0,0,,0,,
1957,TOA shade lbody1,TOA_shade_lbody1.tga,0,132,0,0,,0,,
1958,TOA shade leg1 am,TOA_shade_leg1_am.tga,0,132,0,0,,0,,
1959,TOA shade mhed1 A,TOA_shade_mhed1_A.tga,1,132,0,0,,0,,
1960,TOA shade Mhed1 B,TOA_shade_Mhed1_B.tga,1,132,0,0,,0,,
1961,TOA shade Mhed1 C,TOA_shade_Mhed1_C.tga,1,132,0,0,,0,,
1962,TOA shade Mhed1 D,TOA_shade_Mhed1_D.tga,1,132,0,0,,0,,
1963,TOA shade mhed1 E,TOA_shade_mhed1_E.tga,1,132,0,0,,0,,
1964,TOA shade Mhed1 F,TOA_shade_Mhed1_F.tga,1,132,0,0,,0,,
1965,TOA shade Mhed1 H,TOA_shade_Mhed1_H.tga,1,132,0,0,,0,,
1966,TOA shade Mhed1 HO,TOA_shade_Mhed1_HO.tga,1,132,0,0,,0,,
1967,TOA shade Mhed1 I,TOA_shade_Mhed1_I.tga,1,132,0,0,,0,,
1968,TOA shade Mhed1 K,TOA_shade_Mhed1_K.tga,1,132,0,0,,0,,
1969,TOA shade Mhed1 L,TOA_shade_Mhed1_L.tga,1,132,0,0,,0,,
1970,TOA shade Mhed1 S,TOA_shade_Mhed1_S.tga,1,132,0,0,,0,,
1971,TOA shade Mhed1 Sh,TOA_shade_Mhed1_Sh.tga,1,132,0,0,,0,,
1972,TOA shade MHed1 SV,TOA_shade_MHed1_SV.tga,1,132,0,0,,0,,
1973,TOA shade Mhed1 Syl,TOA_shade_Mhed1_Syl.tga,1,132,0,0,,0,,
1974,TOA shade Mhed1 T,TOA_shade_Mhed1_T.tga,1,132,0,0,,0,,
1975,TOA shade Mhed1 V,TOA_shade_Mhed1_V.tga,1,132,0,0,,0,,
1976,TOA shade Mhed1 Va,TOA_shade_Mhed1_Va.tga,1,132,0,0,,0,,
1977,TOA shade hair,TOA_shade_hair.tga,0,132,0,0,,0,,
1978,TOA shade Fhed1 A,TOA_shade_Fhed1_A.tga,1,132,0,0,,0,,
1979,TOA shade Fhed1 B,TOA_shade_Fhed1_B.tga,1,132,0,0,,0,,
1980,TOA shade Fhed1 C,TOA_shade_Fhed1_C.tga,1,132,0,0,,0,,
1981,TOA shade Fhed1 D,TOA_shade_Fhed1_D.tga,1,132,0,0,,0,,
1982,TOA shade Fhed1 E,TOA_shade_Fhed1_E.tga,1,132,0,0,,0,,
1983,TOA shade Fhed1 F,TOA_shade_Fhed1_F.tga,1,132,0,0,,0,,
1984,TOA shade Fhed1 H,TOA_shade_Fhed1_H.tga,1,132,0,0,,0,,
1985,TOA shade Fhed1 HO,TOA_shade_Fhed1_HO.tga,1,132,0,0,,0,,
1986,TOA shade Fhed1 I,TOA_shade_Fhed1_I.tga,1,132,0,0,,0,,
