1000 limit,,,Use File
548,H_2h_FirbolgTrollSplitter01_VFX_Energy,1107,1
549,H_bl_CelticHammer01_VFX_Energy,1108,1
550,H_bl_FirbolgHammer01_VFX_Energy,1109,1
551,H_bo_ElvenLongbow01_VFX_Energy,1110,1
552,H_bo_ElvenShortBow01_VFX_Energy,1111,1
553,H_sc_FirbolgScythe01_VFX_Energy,1112,1
554,H_Sp_FirbolgSpear01_VFX_Energy,1113,1
555,h_st_staff07_VFX_Energy,1114,1
556,h_st_staff09_VFX_Energy,1115,1
557,H_th_FirbolgAdze01_VFX_Energy,1116,1
558,H_th_WarAdze01_VFX_Energy,1117,1
559,N_1h_DwarvenWarAxe01_VFX_Energy,1118,1
560,N_1h_TrollBroadSword01_VFX_Energy,1119,1
561,N_1h_TrollWarAxe01_VFX_Energy,1120,1
562,N_1h_TrollWarHammer01_VFX_Energy,1121,1
563,N_2h_DwarvenSpear01_VFX_Energy,1122,1
564,N_2h_KoboldGreatAxe01_VFX_Energy,1123,1
565,N_2h_KoboldGreatClub01_VFX_Energy,1124,1
566,N_2h_KoboldGreatSword01_VFX_Energy,1125,1
567,N_bo_VikingBeardedBow01_VFX_Energy,1126,1
568,N_hth_GreatBladedClawGreave01_VFX_Energy,1127,1
569,N_hth_GreatBladedFangGreave01_VFX_Energy,1128,1
570,B_2h_Coffinhammer01_VFX_Body,1129,1
571,B_2h_InquisitorsPick01_VFX_Body,1130,1
572,B_2h_RoyalScimitar01_VFX_Body,1131,1
573,B_bo_SaracenShortbow01_VFX_Body,1132,1
574,B_bo_ThornBow01_VFX_Body,1133,1
575,B_Cr_BishopsMace01_VFX_Body,1134,1
576,B_Cr_CoffinMace01_VFX_Body,1135,1
577,B_flx_PickFlail01_VFX_Body,1136,1
578,B_flx_SpikedFlail01_VFX_Body,1137,1
579,B_Po_MilitaryFork01_VFX_Body,1138,1
580,B_Po_SaracenGlaive01_VFX_Body,1139,1
581,B_Po_TallHammer01_VFX_Body,1140,1
582,B_sl_Cinquedea01_VFX_Body,1141,1
583,B_sl_Falchion01_VFX_Body,1142,1
584,b_st_magestaff01_VFX_Body,1143,1
585,B_st_SpikedStaffMace01_VFX_Body,1144,1
586,B_th_DuelistsDagger01_VFX_Body,1145,1
587,B_th_DuelistsRapier01_VFX_Body,1146,1
588,B_xbo_SkinnersCrossbow01_VFX_Body,1147,1
589,H_1h_FirbolgLongSword01_VFX_Body,1148,1
590,H_1h_FirbolgShortSword01_VFX_Body,1149,1
591,H_2h_FirbolgHammer01_VFX_Body,1150,1
592,H_2h_FirbolgTrollSplitter01_VFX_Body,1151,1
593,H_bl_CelticHammer01_VFX_Body,1152,1
594,H_bl_FirbolgHammer01_VFX_Body,1153,1
595,H_bo_ElvenLongbow01_VFX_Body,1154,1
596,H_bo_ElvenShortBow01_VFX_Body,1155,1
597,H_sc_FirbolgScythe01_VFX_Body,1156,1
598,H_Sp_FirbolgSpear01_VFX_Body,1157,1
599,h_st_staff07_VFX_Body,1158,1
600,h_st_staff09_VFX_Body,1159,1
601,H_th_FirbolgAdze01_VFX_Body,1160,1
602,H_th_WarAdze01_VFX_Body,1161,1
603,N_1h_DwarvenWarAxe01_VFX_Body,1162,1
604,N_1h_TrollBroadSword01_VFX_Body,1163,1
605,N_1h_TrollWarAxe01_VFX_Body,1164,1
606,N_1h_TrollWarHammer01_VFX_Body,1165,1
607,N_2h_DwarvenSpear01_VFX_Body,1166,1
608,N_2h_KoboldGreatAxe01_VFX_Body,1167,1
609,N_2h_KoboldGreatClub01_VFX_Body,1168,1
610,N_2h_KoboldGreatSword01_VFX_Body,1169,1
611,N_bo_VikingBeardedBow01_VFX_Body,1170,1
612,N_hth_GreatBladedClawGreave01_VFX_Body,1171,1
613,N_hth_GreatBladedFangGreave01_VFX_Body,1172,1
614,B_2h_Coffinhammer01_VFX_Air,1173,1
615,B_2h_InquisitorsPick01_VFX_Air,1174,1
616,B_2h_RoyalScimitar01_VFX_Air,1175,1
617,B_bo_SaracenShortbow01_VFX_Air,1176,1
618,B_bo_ThornBow01_VFX_Air,1177,1
619,B_Cr_BishopsMace01_VFX_Air,1178,1
620,B_Cr_CoffinMace01_VFX_Air,1179,1
621,B_flx_PickFlail01_VFX_Air,1180,1
622,B_flx_SpikedFlail01_VFX_Air,1181,1
623,B_Po_MilitaryFork01_VFX_Air,1182,1
624,B_Po_SaracenGlaive01_VFX_Air,1183,1
625,B_Po_TallHammer01_VFX_Air,1184,1
626,B_sl_Cinquedea01_VFX_Air,1185,1
627,B_sl_Falchion01_VFX_Air,1186,1
628,b_st_magestaff01_VFX_Air,1187,1
629,B_st_SpikedStaffMace01_VFX_Air,1188,1
630,B_th_DuelistsDagger01_VFX_Air,1189,1
631,B_th_DuelistsRapier01_VFX_Air,1190,1
632,B_xbo_SkinnersCrossbow01_VFX_Air,1191,1
633,H_1h_FirbolgLongSword01_VFX_Air,1192,1
634,H_1h_FirbolgShortSword01_VFX_Air,1193,1
635,H_2h_FirbolgHammer01_VFX_Air,1194,1
636,H_2h_FirbolgTrollSplitter01_VFX_Air,1195,1
637,H_bl_CelticHammer01_VFX_Air,1196,1
638,H_bl_FirbolgHammer01_VFX_Air,1197,1
639,H_bo_ElvenLongbow01_VFX_Air,1198,1
640,H_bo_ElvenShortBow01_VFX_Air,1199,1
641,H_sc_FirbolgScythe01_VFX_Air,1200,1
642,H_Sp_FirbolgSpear01_VFX_Air,1201,1
643,h_st_staff07_VFX_Air,1202,1
644,h_st_staff09_VFX_Air,1203,1
645,H_th_FirbolgAdze01_VFX_Air,1204,1
646,H_th_WarAdze01_VFX_Air,1205,1
647,N_1h_DwarvenWarAxe01_VFX_Air,1206,1
648,N_1h_TrollBroadSword01_VFX_Air,1207,1
649,N_1h_TrollWarAxe01_VFX_Air,1208,1
650,N_1h_TrollWarHammer01_VFX_Air,1209,1
651,N_2h_DwarvenSpear01_VFX_Air,1210,1
652,N_2h_KoboldGreatAxe01_VFX_Air,1211,1
653,N_2h_KoboldGreatClub01_VFX_Air,1212,1
654,N_2h_KoboldGreatSword01_VFX_Air,1213,1
655,N_bo_VikingBeardedBow01_VFX_Air,1214,1
656,N_hth_GreatBladedClawGreave01_VFX_Air,1215,1
657,N_hth_GreatBladedFangGreave01_VFX_Air,1216,1
658,B_2h_Coffinhammer01_VFX_Earth,1217,1
659,B_2h_InquisitorsPick01_VFX_Earth,1218,1
660,B_2h_RoyalScimitar01_VFX_Earth,1219,1
661,B_bo_SaracenShortbow01_VFX_Earth,1220,1
662,B_bo_ThornBow01_VFX_Earth,1221,1
663,B_Cr_BishopsMace01_VFX_Earth,1222,1
664,B_Cr_CoffinMace01_VFX_Earth,1223,1
665,B_flx_PickFlail01_VFX_Earth,1224,1
666,B_flx_SpikedFlail01_VFX_Earth,1225,1
667,B_Po_MilitaryFork01_VFX_Earth,1226,1
668,B_Po_SaracenGlaive01_VFX_Earth,1227,1
669,B_Po_TallHammer01_VFX_Earth,1228,1
670,B_sl_Cinquedea01_VFX_Earth,1229,1
671,B_sl_Falchion01_VFX_Earth,1230,1
672,b_st_magestaff01_VFX_Earth,1231,1
673,B_st_SpikedStaffMace01_VFX_Earth,1232,1
674,B_th_DuelistsDagger01_VFX_Earth,1233,1
675,B_th_DuelistsRapier01_VFX_Earth,1234,1
676,B_xbo_SkinnersCrossbow01_VFX_Earth,1235,1
677,H_1h_FirbolgLongSword01_VFX_Earth,1236,1
678,H_1h_FirbolgShortSword01_VFX_Earth,1237,1
679,H_2h_FirbolgHammer01_VFX_Earth,1238,1
680,H_2h_FirbolgTrollSplitter01_VFX_Earth,1239,1
681,H_bl_CelticHammer01_VFX_Earth,1240,1
682,H_bl_FirbolgHammer01_VFX_Earth,1241,1
683,H_bo_ElvenLongbow01_VFX_Earth,1242,1
684,H_bo_ElvenShortBow01_VFX_Earth,1243,1
685,H_sc_FirbolgScythe01_VFX_Earth,1244,1
686,H_Sp_FirbolgSpear01_VFX_Earth,1245,1
687,h_st_staff07_VFX_Earth,1246,1
688,h_st_staff09_VFX_Earth,1247,1
689,H_th_FirbolgAdze01_VFX_Earth,1248,1
690,H_th_WarAdze01_VFX_Earth,1249,1
691,N_1h_DwarvenWarAxe01_VFX_Earth,1250,1
692,N_1h_TrollBroadSword01_VFX_Earth,1251,1
693,N_1h_TrollWarAxe01_VFX_Earth,1252,1
694,N_1h_TrollWarHammer01_VFX_Earth,1253,1
695,N_2h_DwarvenSpear01_VFX_Earth,1254,1
696,N_2h_KoboldGreatAxe01_VFX_Earth,1255,1
697,N_2h_KoboldGreatClub01_VFX_Earth,1256,1
698,N_2h_KoboldGreatSword01_VFX_Earth,1257,1
699,N_bo_VikingBeardedBow01_VFX_Earth,1258,1
700,N_hth_GreatBladedClawGreave01_VFX_Earth,1259,1
701,N_hth_GreatBladedFangGreave01_VFX_Earth,1260,1
702,B_2h_Coffinhammer01_VFX_Fire,1261,1
703,B_2h_InquisitorsPick01_VFX_Fire,1262,1
704,B_2h_RoyalScimitar01_VFX_Fire,1263,1
705,B_bo_SaracenShortbow01_VFX_Fire,1264,1
706,B_bo_ThornBow01_VFX_Fire,1265,1
707,B_Cr_BishopsMace01_VFX_Fire,1266,1
708,B_Cr_CoffinMace01_VFX_Fire,1267,1
709,B_flx_PickFlail01_VFX_Fire,1268,1
710,B_flx_SpikedFlail01_VFX_Fire,1269,1
711,B_Po_MilitaryFork01_VFX_Fire,1270,1
712,B_Po_SaracenGlaive01_VFX_Fire,1271,1
713,B_Po_TallHammer01_VFX_Fire,1272,1
714,B_sl_Cinquedea01_VFX_Fire,1273,1
715,B_sl_Falchion01_VFX_Fire,1274,1
716,b_st_magestaff01_VFX_Fire,1275,1
717,B_st_SpikedStaffMace01_VFX_Fire,1276,1
718,B_th_DuelistsDagger01_VFX_Fire,1277,1
719,B_th_DuelistsRapier01_VFX_Fire,1278,1
720,B_xbo_SkinnersCrossbow01_VFX_Fire,1279,1
721,H_1h_FirbolgLongSword01_VFX_Fire,1280,1
722,H_1h_FirbolgShortSword01_VFX_Fire,1281,1
723,H_2h_FirbolgHammer01_VFX_Fire,1282,1
724,H_2h_FirbolgTrollSplitter01_VFX_Fire,1283,1
725,H_bl_CelticHammer01_VFX_Fire,1284,1
726,H_bl_FirbolgHammer01_VFX_Fire,1285,1
727,H_bo_ElvenLongbow01_VFX_Fire,1286,1
728,H_bo_ElvenShortBow01_VFX_Fire,1287,1
729,H_sc_FirbolgScythe01_VFX_Fire,1288,1
730,H_Sp_FirbolgSpear01_VFX_Fire,1289,1
731,h_st_staff07_VFX_Fire,1290,1
732,h_st_staff09_VFX_Fire,1291,1
733,H_th_FirbolgAdze01_VFX_Fire,1292,1
734,H_th_WarAdze01_VFX_Fire,1293,1
735,N_1h_DwarvenWarAxe01_VFX_Fire,1294,1
736,N_1h_TrollBroadSword01_VFX_Fire,1295,1
737,N_1h_TrollWarAxe01_VFX_Fire,1296,1
738,N_1h_TrollWarHammer01_VFX_Fire,1297,1
739,N_2h_DwarvenSpear01_VFX_Fire,1298,1
740,N_2h_KoboldGreatAxe01_VFX_Fire,1299,1
741,N_2h_KoboldGreatClub01_VFX_Fire,1300,1
742,N_2h_KoboldGreatSword01_VFX_Fire,1301,1
743,N_bo_VikingBeardedBow01_VFX_Fire,1302,1
744,N_hth_GreatBladedClawGreave01_VFX_Fire,1303,1
745,N_hth_GreatBladedFangGreave01_VFX_Fire,1304,1
746,B_2h_Coffinhammer01_VFX_Water,1305,1
747,B_2h_InquisitorsPick01_VFX_Water,1306,1
748,B_2h_RoyalScimitar01_VFX_Water,1307,1
749,B_bo_SaracenShortbow01_VFX_Water,1308,1
750,B_bo_ThornBow01_VFX_Water,1309,1
751,B_Cr_BishopsMace01_VFX_Water,1310,1
752,B_Cr_CoffinMace01_VFX_Water,1311,1
753,B_flx_PickFlail01_VFX_Water,1312,1
754,B_flx_SpikedFlail01_VFX_Water,1313,1
755,B_Po_MilitaryFork01_VFX_Water,1314,1
756,B_Po_SaracenGlaive01_VFX_Water,1315,1
757,B_Po_TallHammer01_VFX_Water,1316,1
758,B_sl_Cinquedea01_VFX_Water,1317,1
759,B_sl_Falchion01_VFX_Water,1318,1
760,b_st_magestaff01_VFX_Water,1319,1
761,B_st_SpikedStaffMace01_VFX_Water,1320,1
762,B_th_DuelistsDagger01_VFX_Water,1321,1
763,B_th_DuelistsRapier01_VFX_Water,1322,1
764,B_xbo_SkinnersCrossbow01_VFX_Water,1323,1
765,H_1h_FirbolgLongSword01_VFX_Water,1324,1
766,H_1h_FirbolgShortSword01_VFX_Water,1325,1
767,H_2h_FirbolgHammer01_VFX_Water,1326,1
768,H_2h_FirbolgTrollSplitter01_VFX_Water,1327,1
769,H_bl_CelticHammer01_VFX_Water,1328,1
770,H_bl_FirbolgHammer01_VFX_Water,1329,1
771,H_bo_ElvenLongbow01_VFX_Water,1330,1
772,H_bo_ElvenShortBow01_VFX_Water,1331,1
773,H_sc_FirbolgScythe01_VFX_Water,1332,1
774,H_Sp_FirbolgSpear01_VFX_Water,1333,1
775,h_st_staff07_VFX_Water,1334,1
776,h_st_staff09_VFX_Water,1335,1
777,H_th_FirbolgAdze01_VFX_Water,1336,1
778,H_th_WarAdze01_VFX_Water,1337,1
779,N_1h_DwarvenWarAxe01_VFX_Water,1338,1
780,N_1h_TrollBroadSword01_VFX_Water,1339,1
781,N_1h_TrollWarAxe01_VFX_Water,1340,1
782,N_1h_TrollWarHammer01_VFX_Water,1341,1
783,N_2h_DwarvenSpear01_VFX_Water,1342,1
784,N_2h_KoboldGreatAxe01_VFX_Water,1343,1
785,N_2h_KoboldGreatClub01_VFX_Water,1344,1
786,N_2h_KoboldGreatSword01_VFX_Water,1345,1
787,N_bo_VikingBeardedBow01_VFX_Water,1346,1
788,N_hth_GreatBladedClawGreave01_VFX_Water,1347,1
789,N_hth_GreatBladedFangGreave01_VFX_Water,1348,1
790,Helmet VFX hothead,1349,1
791,Helmet VFX sunburst,1350,1
792,VFX_head_orbit01,1351,1
793,VFX_head_orbit02,1352,1
794,VFX_fire_eyes01,1353,1
795,VFX_fire_eyes01_blue,1354,1
796,VFX_fire_eyes01_green,1355,1
797,VFX_pumpkin works,1379,1
798,mask_Tentacled_VFX,1384,1
