Information,,Skin,,Archive,Expansion,
359,cthLegs01_Epic_Hero.dds,cthLegs01_Epic_Hero.dds,0,14,4,
360,cthLegs01_Epic_Hunter.dds,cthLegs01_Epic_Hunter.dds,0,14,4,
361,cthLegs01_Epic_Infiltrator.dds,cthLegs01_Epic_Infiltrator.dds,0,14,4,
362,cthLegs01_Epic_merc.dds,cthLegs01_Epic_merc.dds,0,14,4,
363,cthLegs01_Epic_Minstrel.dds,cthLegs01_Epic_Minstrel.dds,0,14,4,
364,cthLegs01_Epic_nitshade.dds,cthLegs01_Epic_nitshade.dds,0,14,4,
365,cthLegs01_Epic_Paladin.dds,cthLegs01_Epic_Paladin.dds,0,14,4,
366,cthLegs01_Epic_Ranger.dds,cthLegs01_Epic_Ranger.dds,0,14,4,
367,cthLegs01_Epic_savage.dds,cthLegs01_Epic_savage.dds,0,14,4,
368,cthLegs01_Epic_SBlade.dds,cthLegs01_Epic_SBlade.dds,0,14,4,
369,cthLegs01_Epic_Scout.dds,cthLegs01_Epic_Scout.dds,0,14,4,
370,cthLegs01_Epic_Shaman.dds,cthLegs01_Epic_Shaman.dds,0,14,4,
371,cthLegs01_Epic_Skald.dds,cthLegs01_Epic_Skald.dds,0,14,4,
372,cthLegs01_Epic_Thane.dds,cthLegs01_Epic_Thane.dds,0,14,4,
373,cthLegs01_Epic_Warden.dds,cthLegs01_Epic_Warden.dds,0,14,4,
374,cthLegs01_Epic_Warrior.dds,cthLegs01_Epic_Warrior.dds,0,14,4,
375,cthLegs01_lea01.dds,cthLegs01_lea01.dds,0,14,4,
376,cthLegs01_lea01_TOA_O.dds,cthLegs01_lea01_TOA_O.dds,0,14,4,
377,cthLegs01_lea01_TOA_S.dds,cthLegs01_lea01_TOA_S.dds,0,14,4,
378,cthLegs01_lea01_TOA_V.dds,cthLegs01_lea01_TOA_V.dds,0,14,4,
379,cthLegs01_lea02.dds,cthLegs01_lea02.dds,0,14,4,
380,cthLegs01_lea03.dds,cthLegs01_lea03.dds,0,14,4,
381,cthLegs01_lea04.dds,cthLegs01_lea04.dds,0,14,4,
382,cthLegs01_lea05.dds,cthLegs01_lea05.dds,0,14,4,
383,cthLegs01_lea06.dds,cthLegs01_lea06.dds,0,14,4,
384,cthLegs01_lea07.dds,cthLegs01_lea07.dds,0,14,4,
385,cthLegs01_lea08.dds,cthLegs01_lea08.dds,0,14,4,
386,cthLegs01_lea09.dds,cthLegs01_lea09.dds,0,14,4,
387,cthLegs01_lea10.dds,cthLegs01_lea10.dds,0,14,4,
388,cthLegs01_lea11.dds,cthLegs01_lea11.dds,0,14,4,
389,cthLegs01_lea12.dds,cthLegs01_lea12.dds,0,14,4,
390,cthLegs01_plt01_TOA_A.dds,cthLegs01_plt01_TOA_A.dds,0,14,4,
391,cthLegs01_plt01_TOA_S.dds,cthLegs01_plt01_TOA_S.dds,0,14,4,
392,cthLegs01_plt01_TOA_V.dds,cthLegs01_plt01_TOA_V.dds,0,14,4,
393,cthLegs01_ren01.dds,cthLegs01_ren01.dds,0,14,4,
394,cthLegs01_ren02.dds,cthLegs01_ren02.dds,0,14,4,
395,cthLegs01_ren03.dds,cthLegs01_ren03.dds,0,14,4,
396,cthLegs01_ren04.dds,cthLegs01_ren04.dds,0,14,4,
397,cthLegs01_scl01.dds,cthLegs01_scl01.dds,0,14,4,
398,cthLegs01_scl01_TOA_A.dds,cthLegs01_scl01_TOA_A.dds,0,14,4,
399,cthLegs01_scl01_TOA_O.dds,cthLegs01_scl01_TOA_O.dds,0,14,4,
400,cthLegs01_scl01_TOA_S.dds,cthLegs01_scl01_TOA_S.dds,0,14,4,
401,cthLegs01_scl01_TOA_V.dds,cthLegs01_scl01_TOA_V.dds,0,14,4,
402,cthLegs01_scl02.dds,cthLegs01_scl02.dds,0,14,4,
403,cthLegs01_scl03.dds,cthLegs01_scl03.dds,0,14,4,
404,cthLegs01_scl04.dds,cthLegs01_scl04.dds,0,14,4,
405,cthLegs01_ss_Bri.dds,cthLegs01_ss_Bri.dds,0,14,4,
406,CthLegs01_SS_Dwa.dds,CthLegs01_SS_Dwa.dds,0,14,4,
407,cthLegs01_SS_Fro.dds,cthLegs01_SS_Fro.dds,0,14,4,
408,cthLegs01_SS_Kob.dds,cthLegs01_SS_Kob.dds,0,14,4,
409,cthLegs01_SS_Nor.dds,cthLegs01_SS_Nor.dds,0,14,4,
410,cthLegs01_ss_Tro.dds,cthLegs01_ss_Tro.dds,0,14,4,
411,CthLegs01_SS_Val.dds,CthLegs01_SS_Val.dds,0,14,4,
412,cthLegs01_std01.dds,cthLegs01_std01.dds,0,14,4,
413,cthLegs01_std01_TOA_A.dds,cthLegs01_std01_TOA_A.dds,0,14,4,
414,cthLegs01_std01_TOA_O.dds,cthLegs01_std01_TOA_O.dds,0,14,4,
415,cthLegs01_std01_TOA_S.dds,cthLegs01_std01_TOA_S.dds,0,14,4,
416,cthLegs01_std01_TOA_V.dds,cthLegs01_std01_TOA_V.dds,0,14,4,
417,cthLegs01_std02.dds,cthLegs01_std02.dds,0,14,4,
418,cthLegs01_std03.dds,cthLegs01_std03.dds,0,14,4,
419,cthLegs01_std04.dds,cthLegs01_std04.dds,0,14,4,
420,cthLegs01_std05.dds,cthLegs01_std05.dds,0,14,4,
421,cthLegs01_std06.dds,cthLegs01_std06.dds,0,14,4,
422,cthLegs01_TOA_mummy.dds,cthLegs01_TOA_mummy.dds,0,14,4,
423,cthLegs01_TOA_O.dds,cthLegs01_TOA_O.dds,0,14,4,
424,cthLegs01_TOA_S.dds,cthLegs01_TOA_S.dds,0,14,4,
425,cthLegs01_TOA_shade.dds,cthLegs01_TOA_shade.dds,0,53,4,
426,cthLegs01_TOA_V.dds,cthLegs01_TOA_V.dds,0,14,4,
427,cthlegs01_Wings_TOA_A.dds,cthlegs01_Wings_TOA_A.dds,0,14,4,
428,cthLegs_Epic_Reaver.dds,cthLegs_Epic_Reaver.dds,0,14,4,
429,Dwa_f_Hair01.dds,Dwa_f_Hair01.dds,0,2,4,
430,dwa_f_Hair02.dds,dwa_f_Hair02.dds,0,2,4,
431,Dwa_f_Head01.dds,Dwa_f_Head01.dds,0,2,4,
432,Dwa_f_Head02.dds,Dwa_f_Head02.dds,0,2,4,
433,Dwa_f_Head03.dds,Dwa_f_Head03.dds,0,2,4,
434,Dwa_f_Head04.dds,Dwa_f_Head04.dds,0,2,4,
435,Dwa_f_Head05.dds,Dwa_f_Head05.dds,0,2,4,
436,Dwa_f_Head06.dds,Dwa_f_Head06.dds,0,2,4,
437,Dwa_f_MummyHead01.dds,Dwa_f_MummyHead01.dds,0,2,4,
438,Dwa_f_stonehead.dds,Dwa_f_stonehead.dds,0,2,4,
439,Dwa_m_Hair01.dds,Dwa_m_Hair01.dds,0,2,4,
440,Dwa_m_hair02.dds,Dwa_m_hair02.dds,0,2,4,
441,Dwa_m_Head01.dds,Dwa_m_Head01.dds,0,2,4,
442,Dwa_m_Head02.dds,Dwa_m_Head02.dds,0,2,4,
443,Dwa_m_Head03.dds,Dwa_m_Head03.dds,0,2,4,
444,Dwa_m_Head04.dds,Dwa_m_Head04.dds,0,41,4,
445,Dwa_m_Head05.dds,Dwa_m_Head05.dds,0,2,4,
446,Dwa_m_Head06.dds,Dwa_m_Head06.dds,0,2,4,
447,Dwa_m_MummyHead01.dds,Dwa_m_MummyHead01.dds,0,2,4,
448,Dwa_m_stonehead.dds,Dwa_m_stonehead.dds,0,2,4,
449,dwf_f_ShadeHead.dds,dwf_f_ShadeHead.dds,0,2,4,
450,dwf_m_ShadeHead.dds,dwf_m_ShadeHead.dds,0,2,4,
451,Elf_F_MummyHead01.dds,Elf_F_MummyHead01.dds,0,3,4,
452,elf_f_ShadeHead.dds,elf_f_ShadeHead.dds,0,3,4,
453,Elf_f_stonehead.dds,Elf_f_stonehead.dds,0,3,4,
454,Elf_m_MummyHead01.dds,Elf_m_MummyHead01.dds,0,3,4,
455,elf_m_ShadeHead.dds,elf_m_ShadeHead.dds,0,3,4,
456,Elf_m_stonehead.dds,Elf_m_stonehead.dds,0,3,4,
457,epiArms01_champion.dds,epiArms01_champion.dds,0,15,4,
458,epiArms01_champion_bump.dds,epiArms01_champion_bump.dds,0,15,4,
459,epiArms01_champion_gloss.dds,epiArms01_champion_gloss.dds,0,15,4,
460,epiArms01_champion_tint.dds,epiArms01_champion_tint.dds,0,15,4,
461,epiArms01_paladin.dds,epiArms01_paladin.dds,0,15,4,
462,epiArms01_paladin_bump.dds,epiArms01_paladin_bump.dds,0,15,4,
463,epiArms01_paladin_gloss.dds,epiArms01_paladin_gloss.dds,0,15,4,
464,epiArms01_paladin_tint.dds,epiArms01_paladin_tint.dds,0,15,4,
465,epiArms01_warrior.dds,epiArms01_warrior.dds,0,15,4,
466,epiArms01_warrior_bump.dds,epiArms01_warrior_bump.dds,0,15,4,
467,epiArms01_warrior_gloss.dds,epiArms01_warrior_gloss.dds,0,15,4,
468,epiArms01_warrior_tint.dds,epiArms01_warrior_tint.dds,0,15,4,
469,epiBody01_paladin.dds,epiBody01_paladin.dds,0,15,4,
470,epiBody01_paladin_bump.dds,epiBody01_paladin_bump.dds,0,15,4,
471,epiBody01_paladin_gloss.dds,epiBody01_paladin_gloss.dds,0,15,4,
472,epiBody01_paladin_tint.dds,epiBody01_paladin_tint.dds,0,15,4,
473,epiBody02_champion.dds,epiBody02_champion.dds,0,15,4,
474,epiBody02_champion_bump.dds,epiBody02_champion_bump.dds,0,15,4,
475,epiBody02_champion_gloss.dds,epiBody02_champion_gloss.dds,0,15,4,
476,epiBody02_champion_tint.dds,epiBody02_champion_tint.dds,0,15,4,
477,epiBody03_warrior.dds,epiBody03_warrior.dds,0,15,4,
478,epiBody03_warrior_bump.dds,epiBody03_warrior_bump.dds,0,15,4,
479,epiBody03_warrior_gloss.dds,epiBody03_warrior_gloss.dds,0,15,4,
480,epiBody03_warrior_tint.dds,epiBody03_warrior_tint.dds,0,15,4,
481,epiBoots01_paladin.dds,epiBoots01_paladin.dds,0,15,4,
482,epiBoots01_paladin_gloss.dds,epiBoots01_paladin_gloss.dds,0,15,4,
483,epiBoots01_paladin_tint.dds,epiBoots01_paladin_tint.dds,0,15,4,
484,epiBoots02_champion.dds,epiBoots02_champion.dds,0,15,4,
485,epiBoots02_champion_bump.dds,epiBoots02_champion_bump.dds,0,15,4,
486,epiBoots02_champion_gloss.dds,epiBoots02_champion_gloss.dds,0,15,4,
487,epiBoots02_champion_tint.dds,epiBoots02_champion_tint.dds,0,15,4,
488,epiBoots03_warrior.dds,epiBoots03_warrior.dds,0,15,4,
489,epiBoots03_warrior_bump.dds,epiBoots03_warrior_bump.dds,0,15,4,
490,epiBoots03_warrior_gloss.dds,epiBoots03_warrior_gloss.dds,0,15,4,
491,epiBoots03_warrior_tint.dds,epiBoots03_warrior_tint.dds,0,15,4,
492,epiGloves01_paladin.dds,epiGloves01_paladin.dds,0,15,4,
493,epiGloves01_paladin_bump.dds,epiGloves01_paladin_bump.dds,0,15,4,
494,epiGloves01_paladin_gloss.dds,epiGloves01_paladin_gloss.dds,0,15,4,
495,epiGloves01_paladin_tint.dds,epiGloves01_paladin_tint.dds,0,15,4,
496,epiGloves01_warrior.dds,epiGloves01_warrior.dds,0,15,4,
497,epiGloves01_warrior_bump.dds,epiGloves01_warrior_bump.dds,0,15,4,
498,epiGloves01_warrior_gloss.dds,epiGloves01_warrior_gloss.dds,0,15,4,
499,epiGloves01_warrior_tint.dds,epiGloves01_warrior_tint.dds,0,15,4,
500,epiGloves02_champion.dds,epiGloves02_champion.dds,0,15,4,
501,epiGloves02_champion_bump.dds,epiGloves02_champion_bump.dds,0,15,4,
502,epiGloves02_champion_gloss.dds,epiGloves02_champion_gloss.dds,0,15,4,
503,epiGloves02_champion_tint.dds,epiGloves02_champion_tint.dds,0,15,4,
504,epiLegs01_champion.dds,epiLegs01_champion.dds,0,15,4,
505,epiLegs01_champion_bump.dds,epiLegs01_champion_bump.dds,0,15,4,
506,epiLegs01_champion_gloss.dds,epiLegs01_champion_gloss.dds,0,15,4,
507,epiLegs01_champion_tint.dds,epiLegs01_champion_tint.dds,0,15,4,
508,epiLegs01_paladin.dds,epiLegs01_paladin.dds,0,15,4,
509,epiLegs01_paladin_bump.dds,epiLegs01_paladin_bump.dds,0,15,4,
510,epiLegs01_paladin_gloss.dds,epiLegs01_paladin_gloss.dds,0,15,4,
511,epiLegs01_paladin_tint.dds,epiLegs01_paladin_tint.dds,0,15,4,
512,epiLegs01_warrior.dds,epiLegs01_warrior.dds,0,15,4,
513,epiLegs01_warrior_bump.dds,epiLegs01_warrior_bump.dds,0,15,4,
514,epiLegs01_warrior_gloss.dds,epiLegs01_warrior_gloss.dds,0,15,4,
515,epiLegs01_warrior_tint.dds,epiLegs01_warrior_tint.dds,0,15,4,
516,fro_f_hair02.dds,fro_f_hair02.dds,0,3,4,
517,fro_f_hair03.dds,fro_f_hair03.dds,0,3,4,
518,Fro_f_Head01.dds,Fro_f_Head01.dds,0,3,4,
519,Fro_f_Head02.dds,Fro_f_Head02.dds,0,3,4,
520,Fro_f_Head03.dds,Fro_f_Head03.dds,0,3,4,
521,Fro_f_Head04.dds,Fro_f_Head04.dds,0,3,4,
522,Fro_f_Head05.dds,Fro_f_Head05.dds,0,3,4,
523,Fro_f_Head06.dds,Fro_f_Head06.dds,0,3,4,
524,Fro_f_MummyHead01.dds,Fro_f_MummyHead01.dds,0,3,4,
525,Fro_m_Hair01.dds,Fro_m_Hair01.dds,0,3,4,
526,fro_m_hair02.dds,fro_m_hair02.dds,0,3,4,
527,Fro_m_Head01.dds,Fro_m_Head01.dds,0,3,4,
528,Fro_m_Head02.dds,Fro_m_Head02.dds,0,3,4,
529,Fro_m_Head03.dds,Fro_m_Head03.dds,0,3,4,
530,Fro_m_Head04.dds,Fro_m_Head04.dds,0,3,4,
531,Fro_m_Head05.dds,Fro_m_Head05.dds,0,3,4,
532,Fro_m_Head06.dds,Fro_m_Head06.dds,0,3,4,
533,Fro_m_MummyHead01.dds,Fro_m_MummyHead01.dds,0,3,4,
534,Hal_m_MummyHead01.dds,Hal_m_MummyHead01.dds,0,4,4,
535,Hig_F_MummyHead01.dds,Hig_F_MummyHead01.dds,0,4,4,
536,Hig_m_MummyHead01.dds,Hig_m_MummyHead01.dds,0,53,4,
537,Ico_f_MummyHead01.dds,Ico_f_MummyHead01.dds,0,5,4,
538,ico_f_ShadeHead.dds,ico_f_ShadeHead.dds,0,5,4,
539,Ico_f_stonehead.dds,Ico_f_stonehead.dds,0,5,4,
540,Ico_m_MummyHead01.dds,Ico_m_MummyHead01.dds,0,5,4,
541,ico_m_ShadeHead.dds,ico_m_ShadeHead.dds,0,5,4,
542,Ico_m_stonehead.dds,Ico_m_stonehead.dds,0,5,4,
543,Kob_f_Hair01.dds,Kob_f_Hair01.dds,0,6,4,
544,kob_f_hair02.dds,kob_f_hair02.dds,0,6,4,
545,Kob_f_Head01.dds,Kob_f_Head01.dds,0,6,4,
546,Kob_f_Head02.dds,Kob_f_Head02.dds,0,6,4,
547,Kob_f_Head03.dds,Kob_f_Head03.dds,0,6,4,
548,Kob_f_Head04.dds,Kob_f_Head04.dds,0,6,4,
549,Kob_f_Head05.dds,Kob_f_Head05.dds,0,6,4,
550,Kob_f_Head06.dds,Kob_f_Head06.dds,0,6,4,
551,Kob_f_MummyHead01.dds,Kob_f_MummyHead01.dds,0,6,4,
552,kob_f_ShadeHead.dds,kob_f_ShadeHead.dds,0,6,4,
553,kob_f_stonehead.dds,kob_f_stonehead.dds,0,6,4,
554,Kob_m_Hair01.dds,Kob_m_Hair01.dds,0,6,4,
555,Kob_m_Hair03.dds,Kob_m_Hair03.dds,0,6,4,
556,Kob_m_Head01.dds,Kob_m_Head01.dds,0,6,4,
557,Kob_m_Head02.dds,Kob_m_Head02.dds,0,6,4,
558,Kob_m_Head03.dds,Kob_m_Head03.dds,0,6,4,
559,Kob_m_Head04.dds,Kob_m_Head04.dds,0,6,4,
560,Kob_m_Head05.dds,Kob_m_Head05.dds,0,6,4,
561,Kob_m_Head06.dds,Kob_m_Head06.dds,0,6,4,
562,Kob_m_MummyHead01.dds,Kob_m_MummyHead01.dds,0,6,4,
563,kob_m_ShadeHead.dds,kob_m_ShadeHead.dds,0,53,4,
564,kob_m_stonehead.dds,kob_m_stonehead.dds,0,53,4,
565,leaArms01_02.dds,leaArms01_02.dds,0,15,4,
566,leaArms01_02_tint.dds,leaArms01_02_tint.dds,0,15,4,
567,leaArms01_11.dds,leaArms01_11.dds,0,15,4,
568,leaArms01_11_tint.dds,leaArms01_11_tint.dds,0,15,4,
569,leaBody01_01.dds,leaBody01_01.dds,0,16,4,
570,leaBody01_01_F.dds,leaBody01_01_F.dds,0,16,4,
571,leaBody01_01_M.dds,leaBody01_01_M.dds,0,16,4,
572,leaBody01_01_tint.dds,leaBody01_01_tint.dds,0,16,4,
573,leaBody01_02_F.dds,leaBody01_02_F.dds,0,16,4,
574,leaBody01_02_M.dds,leaBody01_02_M.dds,0,16,4,
575,leaBody01_Epic_Bard_f.dds,leaBody01_Epic_Bard_f.dds,0,16,4,
576,leaBody01_Epic_Bard_m.dds,leaBody01_Epic_Bard_m.dds,0,16,4,
577,leaBody01_Epic_Infiltrator_f.dds,leaBody01_Epic_Infiltrator_f.dds,0,16,4,
578,leaBody01_Epic_Infiltrator_m.dds,leaBody01_Epic_Infiltrator_m.dds,0,16,4,
579,leaBody01_Epic_nitshad_f.dds,leaBody01_Epic_nitshad_f.dds,0,16,4,
580,leaBody01_Epic_nitshad_m.dds,leaBody01_Epic_nitshad_m.dds,0,16,4,
581,leaBody01_Epic_savage_f.dds,leaBody01_Epic_savage_f.dds,0,16,4,
582,leaBody01_Epic_savage_m.dds,leaBody01_Epic_savage_m.dds,0,16,4,
583,leaBody01_Epic_SBlade_f.dds,leaBody01_Epic_SBlade_f.dds,0,16,4,
584,leaBody01_Epic_SBlade_m.dds,leaBody01_Epic_SBlade_m.dds,0,16,4,
585,leaBody02_01_F.dds,leaBody02_01_F.dds,0,16,4,
586,leaBody02_01_M.dds,leaBody02_01_M.dds,0,16,4,
587,leaBody02_Epic_Scout.dds,leaBody02_Epic_Scout.dds,0,16,4,
588,leaBody03_01_F.dds,leaBody03_01_F.dds,0,16,4,
589,leaBody03_01_M.dds,leaBody03_01_M.dds,0,16,4,
590,leaBody03_02_F.dds,leaBody03_02_F.dds,0,16,4,
591,leaBody03_02_M.dds,leaBody03_02_M.dds,0,16,4,
592,leaBody04_01_F.dds,leaBody04_01_F.dds,0,16,4,
593,leaBody04_01_M.dds,leaBody04_01_M.dds,0,16,4,
594,leaBody04_02_F.dds,leaBody04_02_F.dds,0,16,4,
595,leaBody04_02_M.dds,leaBody04_02_M.dds,0,16,4,
596,leaBody04_03.dds,leaBody04_03.dds,0,16,4,
597,leaBody04_03_F.dds,leaBody04_03_F.dds,0,16,4,
598,leaBody04_03_M.dds,leaBody04_03_M.dds,0,16,4,
599,leaBody04_03_tint.dds,leaBody04_03_tint.dds,0,16,4,
600,leaBody04_04_F.dds,leaBody04_04_F.dds,0,16,4,
601,leaBody04_04_M.dds,leaBody04_04_M.dds,0,16,4,
602,leaBody05_Epic_Bezerker_f.dds,leaBody05_Epic_Bezerker_f.dds,0,16,4,
603,leaBody05_Epic_Bezerker_m.dds,leaBody05_Epic_Bezerker_m.dds,0,16,4,
604,leaBody05_Epic_Hunter_f.dds,leaBody05_Epic_Hunter_f.dds,0,16,4,
605,leaBody05_Epic_Hunter_m.dds,leaBody05_Epic_Hunter_m.dds,0,16,4,
606,leaBody05_Epic_Ranger_f.dds,leaBody05_Epic_Ranger_f.dds,0,16,4,
607,leaBody05_Epic_Ranger_m.dds,leaBody05_Epic_Ranger_m.dds,0,16,4,
608,leaBody05_ren01_F.dds,leaBody05_ren01_F.dds,0,16,4,
609,leaBody05_ren01_M.dds,leaBody05_ren01_M.dds,0,16,4,
610,leaBody05_ren02_F.dds,leaBody05_ren02_F.dds,0,16,4,
611,leaBody05_std01_TOA_O_f.dds,leaBody05_std01_TOA_O_f.dds,0,16,4,
612,leaBody05_std01_TOA_O_m.dds,leaBody05_std01_TOA_O_m.dds,0,16,4,
613,leaBody05_std01_TOA_S_F.dds,leaBody05_std01_TOA_S_F.dds,0,27,4,
614,leaBody05_std01_TOA_S_m.dds,leaBody05_std01_TOA_S_m.dds,0,27,4,
615,leaBody05_std01_TOA_V_f.dds,leaBody05_std01_TOA_V_f.dds,0,27,4,
616,leaBody05_std01_TOA_V_m.dds,leaBody05_std01_TOA_V_m.dds,0,27,4,
617,leaBody05_TOA_O_f.dds,leaBody05_TOA_O_f.dds,0,16,4,
618,leaBody05_TOA_O_m.dds,leaBody05_TOA_O_m.dds,0,16,4,
619,leaBody05_TOA_S_F.dds,leaBody05_TOA_S_F.dds,0,16,4,
620,leaBody05_TOA_S_m.dds,leaBody05_TOA_S_m.dds,0,16,4,
621,leaBody05_TOA_V_f.dds,leaBody05_TOA_V_f.dds,0,27,4,
622,leaBody05_TOA_V_m.dds,leaBody05_TOA_V_m.dds,0,27,4,
623,leaboot01_Enyalio_TOA.dds,leaboots01_Enyalio_TOA.dds,0,29,4,
624,leaboot01_Flame_TOA.dds,leaboots01_Flame_TOA.dds,0,28,4,
625,leaBoot01_TOA_A.dds,leaBoots01_TOA_A.dds,0,29,4,
626,leaBoots01_01.dds,leaBoots01_01.dds,0,15,4,
627,leaBoots01_02.dds,leaBoots01_02.dds,0,15,4,
628,leaBoots01_02_tint.dds,leaBoots01_02_tint.dds,0,15,4,
629,leaBoots01_03.dds,leaBoots01_03.dds,0,15,4,
630,leaBoots01_03_tint.dds,leaBoots01_03_tint.dds,0,15,4,
631,leaBoots01_04.dds,leaBoots01_04.dds,0,15,4,
632,leaBoots01_05.dds,leaBoots01_06.dds,0,15,4,
633,leaBoots01_06.dds,leaBoots01_06.dds,0,15,4,
634,leaBoots01_07.dds,leaBoots01_07.dds,0,15,4,
635,leaBoots01_08.dds,leaBoots01_08.dds,0,15,4,
636,leaBoots01_09.dds,leaBoots01_09.dds,0,15,4,
637,leaBoots01_10.dds,leaBoots01_10.dds,0,15,4,
638,leaBoots01_11.dds,leaBoots01_11.dds,0,15,4,
639,leaBoots01_12.dds,leaBoots01_12.dds,0,15,4,
640,leaBoots01_13.dds,leaBoots01_13.dds,0,15,4,
641,leaBoots01_14.dds,leaBoots01_14.dds,0,15,4,
642,leaBoots01_15.dds,leaBoots01_15.dds,0,15,4,
643,leaBoots01_16.dds,leaBoots01_16.dds,0,15,4,
644,leaBoots01_Epic_Bard.dds,leaBoots01_Epic_Bard.dds,0,15,4,
645,leaBoots01_Epic_Bezerker.dds,leaBoots01_Epic_Bezerker.dds,0,15,4,
646,leaBoots01_Epic_Blademaster.dds,leaBoots01_Epic_Blademaster.dds,0,15,4,
647,leaBoots01_Epic_Infiltrator.dds,leaBoots01_Epic_Infiltrator.dds,0,15,4,
648,leaBoots01_Epic_nitshade.dds,leaBoots01_Epic_nitshade.dds,0,15,4,
649,leaBoots01_Epic_Ranger.dds,leaBoots01_Epic_Ranger.dds,0,15,4,
650,leaBoots01_Epic_savage.dds,leaBoots01_Epic_savage.dds,0,15,4,
651,leaBoots01_Epic_SBlade.dds,leaBoots01_Epic_SBlade.dds,0,15,4,
652,leaBoots01_Epic_Scou.dds,leaBoots01_Epic_Scou.dds,0,15,4,
653,leaBoots01_ren01.dds,leaBoots01_ren01.dds,0,15,4,
654,leaBoots01_ren02.dds,leaBoots01_ren02.dds,0,15,4,
655,leaBoots01_ren03.dds,leaBoots01_ren03.dds,0,15,4,
656,leaBoots01_ren04.dds,leaBoots01_ren04.dds,0,15,4,
657,leaBoots01_ren05.dds,leaBoots01_ren05.dds,0,15,4,
658,leaBoots01_std01.dds,leaBoots01_std01.dds,0,15,4,
659,leaBoots01_std01_TOA_A.dds,leaBoots01_std01_TOA_A.dds,0,29,4,
660,leaBoots01_std01_TOA_O.dds,leaBoots01_std01_TOA_O.dds,0,28,4,
661,leaBoots01_std01_TOA_S.dds,leaBoots01_std01_TOA_S.dds,0,28,4,
662,leaBoots01_std01_TOA_V.dds,leaBoots01_std01_TOA_V.dds,0,28,4,
663,leaBoots01_std02.dds,leaBoots01_std02.dds,0,15,4,
664,leaBoots01_std03.dds,leaBoots01_std03.dds,0,15,4,
665,leaBoots01_std04.dds,leaBoots01_std04.dds,0,15,4,
666,leaBoots01_std05.dds,leaBoots01_std05.dds,0,15,4,
667,leaBoots01_std06.dds,leaBoots01_std06.dds,0,15,4,
668,leaBoots01_std07.dds,leaBoots01_std07.dds,0,15,4,
669,leaBoots01_TOA_O.dds,leaBoots01_TOA_O.dds,0,28,4,
670,leaBoots01_TOA_S.dds,leaBoots01_TOA_S.dds,0,28,4,
671,leaBoots01_TOA_V.dds,leaBoots01_TOA_V.dds,0,28,4,
672,leaGlove01_TOA_A.dds,leaGlove01_TOA_A.dds,0,17,4,
673,leaGloves01_01.dds,leaGloves01_01.dds,0,17,4,
674,leaGloves01_02.dds,leaGloves01_02.dds,0,17,4,
675,leaGloves01_02_tint.dds,leaGloves01_02_tint.dds,0,17,4,
676,leaGloves01_03.dds,leaGloves01_03.dds,0,17,4,
677,leaGloves01_03_tint.dds,leaGloves01_03_tint.dds,0,17,4,
678,leaGloves01_04.dds,leaGloves01_04.dds,0,17,4,
679,leaGloves01_05.dds,leaGloves01_05.dds,0,17,4,
680,leaGloves01_06.dds,leaGloves01_06.dds,0,17,4,
681,leaGloves01_07.dds,leaGloves01_07.dds,0,17,4,
682,leaGloves01_08.dds,leaGloves01_08.dds,0,17,4,
683,leaGloves01_09.dds,leaGloves01_09.dds,0,17,4,
684,leaGloves01_10.dds,leaGloves01_10.dds,0,17,4,
685,leaGloves01_11.dds,leaGloves01_11.dds,0,17,4,
686,leaGloves01_12.dds,leaGloves01_12.dds,0,17,4,
687,leaGloves01_13.dds,leaGloves01_13.dds,0,17,4,
688,leaGloves01_14.dds,leaGloves01_14.dds,0,17,4,
689,leaGloves01_15.dds,leaGloves01_15.dds,0,17,4,
690,leaGloves01_16.dds,leaGloves01_16.dds,0,17,4,
691,leaGloves01_Epic_Bard.dds,leaGloves01_Epic_Bard.dds,0,17,4,
692,leaGloves01_Epic_Bezerker.dds,leaGloves01_Epic_Bezerker.dds,0,17,4,
693,leaGloves01_Epic_Blademaster.dds,leaGloves01_Epic_Blademaster.dds,0,17,4,
694,leaGloves01_Epic_Infiltrator.dds,leaGloves01_Epic_Infiltrator.dds,0,17,4,
695,leaGloves01_Epic_nitshade.dds,leaGloves01_Epic_nitshade.dds,0,17,4,
696,leaGloves01_Epic_Ranger.dds,leaGloves01_Epic_Ranger.dds,0,17,4,
697,leaGloves01_Epic_savage.dds,leaGloves01_Epic_savage.dds,0,17,4,
698,leaGloves01_Epic_SBlade.dds,leaGloves01_Epic_SBlade.dds,0,17,4,
699,leaGloves01_Epic_Scout.dds,leaGloves01_Epic_Scout.dds,0,17,4,
700,leaGloves01_ren01.dds,leaGloves01_ren01.dds,0,17,4,
701,leaGloves01_ren02.dds,leaGloves01_ren02.dds,0,17,4,
702,leaGloves01_ren03.dds,leaGloves01_ren03.dds,0,17,4,
703,leaGloves01_ren04.dds,leaGloves01_ren04.dds,0,17,4,
704,leaGloves01_ren05.dds,leaGloves01_ren05.dds,0,17,4,
705,leagloves01_Shark_TOA_O.dds,leagloves01_Shark_TOA_O.dds,0,28,4,
706,leaGloves01_std01.dds,leaGloves01_std01.dds,0,17,4,
707,leaGloves01_std01_TOA_A.dds,leaGloves01_std01_TOA_A.dds,0,29,4,
708,leaGloves01_std01_TOA_O.dds,leaGloves01_std01_TOA_O.dds,0,28,4,
