Information,,NIF,Skins,,,,,,,,,,,,Sound,,,,,Head,Hug,,Obj,,Helm,Alt,Body ,cloak,Emblem,No FX,alternate,min float,max float,Combat ,,Arms,Head,LOD,Body,Mon,Legs,Body,Head,Arms,Legs,Shield,Lbody,Gloves,Boots,Gloves,Boots,Lbody,Body,Head,Arms,Gloves,Lbody,Boots,Legs,Biped,No,ForceHeld,ForceHeld,No,Shape Change,No,Cata,CatSkin,Cata Skin,CatSkin,CatSkin,CatSkin,CatSkin,CatSkin,CatSkin,CatSkin,Cata,Cata,Cata,Cata,Cata,Cat No Armor,Cat No Armor,Cat No Armor,Cat No Armor,Cat No Armor,Cat No ,Cata Skinmode,Cata Eye Tint,Cata Skin Tint,Vampiir,Vampiir,Vampiir,Catac Alpha,Cata,Tutorial,Mount ,,
587,Ant,230,1166,0,0,0,0,0,0,0,0,100,85,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Cave Goblin King,246,1167,0,0,0,0,0,0,0,0,120,80,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Cave Goblin Shaman,246,1168,0,0,0,0,0,0,0,0,120,80,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,blue crab,286,1170,0,0,0,0,0,0,0,0,30,80,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,rock crab,286,1171,0,0,0,0,0,0,0,0,30,80,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,sand crab,286,1172,0,0,0,0,0,0,0,0,30,80,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Black Widow Crab,286,1173,0,0,0,0,0,0,0,0,30,80,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Rocky Frog,231,1174,0,0,0,0,0,0,0,0,100,50,1,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,frostbitten huldu,235,1175,0,0,0,0,0,0,0,0,100,50,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,frostbitten brownie,227,1175,0,0,0,0,0,0,0,0,100,50,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,Rock Lizard,223,1176,0,0,0,0,0,0,0,0,100,85,1,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,Forest Scorpion,287,1177,0,0,0,0,0,0,0,0,30,80,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,Rock Scoprion,287,1178,0,0,0,0,0,0,0,0,30,80,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Alternate Troglodyte,228,1179,0,0,0,0,0,0,0,0,150,75,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Stone Scrag,263,1182,0,0,0,0,0,0,0,0,120,70,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Ice Cyclops,232,1181,0,0,0,0,0,0,0,0,200,150,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Pixie,295,1183,0,0,0,0,0,0,0,0,25,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,62,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Ambient Diseased Rat,288,1147,0,0,0,0,0,0,0,0,100,65,-1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Winged Demon,297,1187,0,0,0,0,0,0,0,0,100,100,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,Imp,298,1188,0,0,0,0,0,0,0,0,50,60,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Afanc,299,1190,1189,0,0,0,0,0,0,0,100,200,1,48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,afanc baby,300,1191,0,0,0,0,0,0,0,0,100,200,1,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,Rock Ogre Boss,301,1192,0,0,0,0,0,0,0,0,200,140,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,mid level rock ogre,301,1193,0,0,0,0,0,0,0,0,200,140,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,Rock Ogre flunky,301,1194,0,0,0,0,0,0,0,0,200,140,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Midgard Wolf Dragon - Revamped,935,6988,6987,0,0,0,0,0,0,0,200,200,1,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Hibernian Glimmer Dragon - Revamped,937,6991,6993,0,0,0,0,0,0,0,200,200,1,51,0,0,0,0,0,1,0,0,0,0,0,6992,0,0,0,0,0,0,0,200,0,6990,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Albion Stone Dragon - Revamped,934,6984,6985,0,0,0,0,0,0,0,200,200,1,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,6986,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Rock Giant (Revamped),940,6997,0,0,0,0,6998,0,0,0,100,70,1,29,0,0,0,0,0,0,0,0,0,0,0,7012,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Alternate Rock Giant /w Armor (Revamp),940,6996,0,0,0,0,6998,0,0,0,100,70,1,29,0,0,0,0,0,0,0,0,0,0,0,7012,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Scaley werewolf leader - Revamped,249,1201,0,0,0,0,0,0,0,0,110,80,1,33,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Revamped Glimmer Caster 1,951,7000,7007,0,0,0,0,0,0,0,100,100,1,38,0,0,0,0,0,0,0,100,0,0,0,7001,0,0,0,0,0,0,0,0,0,7008,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Glimmer Ghoul,952,7009,0,0,0,0,0,0,0,0,115,80,1,16,0,0,0,0,0,0,0,0,0,0,0,7010,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Glimmer Knight 1(Revamped),943,7000,0,0,0,0,0,0,0,0,120,95,1,37,0,0,0,0,0,0,0,100,0,95,0,7001,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Svartalf Male,306,1208,0,0,0,0,0,0,0,0,108,85,1,22,0,0,0,0,0,0,0,100,0,95,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,Svartalf fe-Male,311,1223,0,0,0,0,0,0,0,0,108,85,1,23,0,0,0,0,0,0,0,100,0,95,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Bat (Player Illusion),970,7032,0,0,0,0,0,0,0,0,100,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Scaley Werewolf Shaman - Revamped,249,1202,0,0,0,0,0,0,0,0,110,80,1,33,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Scaley werewolf Soldier - Revamped,249,1203,0,0,0,0,0,0,0,0,110,80,1,33,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,Wolf with Lizard Tail,305,1207,0,0,0,0,0,0,0,0,100,65,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Revamped Glimmer Caster 2 (Same as GC 1),951,7000,7007,0,0,0,0,0,0,0,100,100,1,38,0,0,0,0,0,0,0,100,0,0,0,7001,0,0,0,0,0,0,0,0,0,7008,0,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,Glimmer Knight 2(Revamped) Same as Icon 618,943,7000,0,0,0,0,0,0,0,0,120,95,1,37,0,0,0,0,0,0,0,100,0,95,0,7001,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Ashmonger,227,1224,0,0,0,0,0,0,0,0,100,50,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Garden Pixie,295,1228,0,0,0,0,0,0,0,0,25,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,62,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Fair Pixie,295,1229,0,0,0,0,0,0,0,0,25,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,62,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Flower Pixie,295,1230,0,0,0,0,0,0,0,0,25,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,62,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Evil Pixie,295,1231,0,0,0,0,0,0,0,0,25,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,62,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Legion,312,1233,1233,1233,0,0,1234,0,0,0,100,200,1,53,0,0,0,0,0,0,0,0,0,0,0,1235,0,0,0,0,0,0,0,150,1237,1236,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Ash Demon,297,1238,0,0,0,0,0,0,0,0,100,100,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Fiery Demon,297,1239,0,0,0,0,0,0,0,0,100,100,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Demon Caster,308,1240,0,0,0,0,0,0,0,0,70,100,1,38,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Golden Imp,298,1241,0,0,0,0,0,0,0,0,50,60,1,46,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,75,0,0,0,1419,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Red Imp,298,1242,0,0,0,0,0,0,0,0,50,60,1,46,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,75,0,0,0,1419,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Fiery Scorpion,287,1243,0,0,0,0,0,0,0,0,30,80,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Fiery Spider,216,1244,0,0,0,0,0,0,0,0,100,65,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,3 Headed Demon,313,1246,1247,1245,0,0,1248,0,0,0,100,100,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Hag,314,1249,0,0,0,0,0,0,0,0,100,135,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Succubus,315,1250,0,0,0,0,0,0,0,0,100,130,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,62,140,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Demon Svartalf Male,306,1251,0,0,0,0,0,0,0,0,108,85,1,22,0,0,0,0,0,0,0,100,0,95,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,demon Svartalf fe-Male,311,1252,0,0,0,0,0,0,0,0,108,85,1,23,0,0,0,0,0,0,0,100,0,95,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Wolf 2 Base,316,1253,0,0,0,0,0,0,0,0,100,65,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,black wolf 2,316,1254,0,0,0,0,0,0,0,0,100,65,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,demon wolf 2,316,1255,0,0,0,0,0,0,0,0,100,65,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,white wolf 2,316,1256,0,0,0,0,0,0,0,0,100,65,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,zombie wolf 2,316,1257,0,0,0,0,0,0,0,0,100,65,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Dark Knight ,317,1259,1258,0,0,0,0,0,0,0,100,85,1,8,0,0,0,0,0,0,0,100,0,102,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Glowing Demon Knight,318,1260,0,0,0,0,0,0,0,0,120,95,1,44,0,0,0,0,0,0,0,100,0,95,0,1261,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,Huge Worm,233,151,0,0,0,0,0,0,0,0,300,70,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,Wraith,319,1262,0,0,0,0,0,0,0,0,100,170,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Demon Wraith,319,1263,0,0,0,0,0,0,0,0,100,170,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Standard Hulker,320,1264,0,0,0,0,0,0,0,0,100,70,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Locust Head,321,1266,1265,1268,0,0,1267,0,0,0,100,75,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Legless Zombie 1,342,1269,0,0,0,0,0,0,0,0,100,70,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Legless Zombie 2,342,1270,0,0,0,0,0,0,0,0,100,70,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Hulker Boss,320,1272,0,0,0,0,0,0,0,0,100,70,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,Hulker 2,320,1271,0,0,0,0,0,0,0,0,100,70,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Hulker 3,320,1273,0,0,0,0,0,0,0,0,100,70,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Demon Hag,314,1274,0,0,0,0,0,0,0,0,100,135,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Invisible Warrior (Part 2),322,1,0,0,0,0,0,0,0,0,100,80,1,0,0,0,0,0,0,0,0,100,0,102,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Invisible Warrior (Spell FX),322,1,0,0,0,0,0,0,0,0,100,80,-1,0,0,0,0,0,0,0,0,100,0,102,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,Invisible Warrior,322,1,0,0,0,0,0,0,0,0,100,80,1,0,0,0,0,0,0,0,0,100,0,102,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Beetle(Green),323,1275,0,0,0,0,0,0,0,0,40,80,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Beetle(Orange),323,1276,0,0,0,0,0,0,0,0,40,80,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,Beetle(Blue),323,1277,0,0,0,0,0,0,0,0,40,80,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Gnome(Standard),324,1278,0,0,0,0,0,0,0,0,100,50,1,22,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,60,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
