id,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,part,desc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
198,4,Highlander Male Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
199,0,Highlander Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
199,1,Highlander Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Hair 7,Hair 8,,,,,,,,,,,,,,,,,
199,2,Highlander Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
199,3,Highlander Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
199,4,Highlander Male Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
200,0,Highlander Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
200,1,Highlander Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Hair 7,Hair 8,,,,,,,,,,,,,,,,,
200,2,Highlander Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
200,3,Highlander Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
200,4,Highlander Male Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
