1500 limit,,,Expansion,Housing
523,constricting fire spiral,firegrasp1_hit,0,0
524, alternate constricting fire spiral,firegrasp2_hit,0,0
525, lava puddle cloudy 3s,lavapuddle_cloudy,0,0
526, lava puddle crusty 3s,lavapuddle_crusty,0,0
527, lava puddle lumpy 3s,lavapuddle_lumpy,0,0
528, lava puddle crackle 3s,lavapuddle_crackle,0,0
529, lava pool erupting cloudy 4s,lavapool_cloudy_erupt,0,0
530, lava pool erupting crusty 4s,lavapool_crusty_erupt,0,0
531, lava pool erupting lumpy 4s,lavapool_lumpy_erupt,0,0
532, lava pool erupting carckle 4s,lavapool_crackle_erupt,0,0
533,white pointsource soundripples,sonicwaves_white,0,0
534,red pointsource soundripples,sonicwaves_red,0,0
535,pointsource red black sound blast,sonicshock_redblack,0,0
536,pointsource purple black sound blast,sonicshock_purple,0,0
537,sound hit red shock,sonichit_redblare,0,0
538,sound hit black shock,sonichit_blackblare,0,0
539,flat ripple blast,blastripple_sound,0,0
540,moon rises behind caster,moon_rise,0,0
541,moon rise and eclipse 1,moon_eclipse1,0,0
542,moon rise and eclipse 2,moon_eclipse2,0,0
543,evil red streaks move downward,fallstreaks_evil1,0,0
544,evil red black streaks move downward,fallstreaks_evil2,0,0
545,evil red streaks move upward,risetreaks_evil1,0,0
546,evil red black streaks move upward,risetreaks_evil2,0,0
547,fire hit with flaming lifetap face,lifetap_fireface1,0,0
548,item decay head,itemdecay_head,0,0
549,item decay torso,itemdecay_torso,0,0
550,item decay legs,itemdecay_legs,0,0
551,evil red handglow,handglow_haze_red,0,0
552,clawslash in air red rip,clawslash_redrip,0,0
553,hit splash with red ring,ringhit_red,0,0
554,inward flowing red streams with red pulse,absorb_redpulse,0,0
555,sound spray 180 degrees purple vibration  ,soundhemi_vibe_purple,0,0
556,sound spray 180 degrees red vibration  ,soundhemi_vibe_red,0,0
557,sound spray 180 degrees white vibration  ,soundhemi_vibe_white,0,0
558,sound spray 180 degrees purple snare,soundhemi_snare_purple,0,0
559,sound ring red ping wave,soundring_ping_red,0,0
560,sound cone mouthblast ripples,cone_soundripples,0,0
561,sonic shield 1,shield_sonic1,0,0
562,sonic shield 2,shield_sonic2,0,0
563,sonic shield 3,shield_sonic3,0,0
564,ghostly greenish shield,shield_waves_ghost,0,0
565,vertical hitsplash red 1,hitsplash_waves_red,0,0
566,vertical hitsplash purple 1,hitsplash_waves_purple,0,0
567,vertical hitsplash red veins,hitsplash_veins_red,0,0
568,vertical hitsplash soft wavy red,hitsplash_softwaves_red,0,0
569,vertical hitsplash soft wavy purple,hitsplash_softwaves_purple,0,0
570,vertical hitsplash soft purple,hitsplash_soft_purple,0,0
571,vertical hitsplash green veins,hitsplash_leech_green,0,0
572,subtle green handglow,handglow_haze_green,0,0
573,subtle green ring handglow,handglow_hazering_green,0,0
574,groundsplash soft fire,groundsplash_soft_fire,0,0
575,groundsplash  heatwaves,groundsplash_heat_fire,0,0
576,red wavy projectile 1,ball_redwaves1_trv,0,0
577,red wavy projectile 2,ball_redwaves2_trv,0,0
578,red wavy projectile 3,ball_redwaves3_trv,0,0
579, green wavy projectile 1,ball_greenwaves1_trv,0,0
580, green wavy projectile 2,ball_greenwaves2_trv,0,0
581, green wavy projectile 3,ball_greenwaves3_trv,0,0
582,green absorb handglow 1,handglow_absorb_green,0,0
583,ripply distortion,burstaura_sonicshock,0,0
584,sonic pain hit 1,sonic_pain1_hit,0,0
585,sonic pain hit 2,sonic_pain2_hit,0,0
586,sonic pain hit 3,sonic_pain3_hit,0,0
587,sonic pain hit 4,sonic_pain4_hit,0,0
588,wind ripples on ground,groundsplash_ripple_wind,0,0
589,inhaling wind rushing in,air_inhale1,0,0
590,shock projectile 1,shock_bullet1_trv,0,0
591,shock projectile 2,shock_bullet2_trv,0,0
592,shock projectile 3,shock_bullet3_trv,0,0
593,dark purple negative headglow,headglow_darkness,0,0
594,tower razing,e_tower_crumbles,1,2
595,outpost_crumble_T1-2-3-4,outpost_crumble_T1-2-3-4,1,2
596,tower razing,outpost_crumble_t4_Toppers,1,2
597,tower razing,outpost_crumble_T3-4_buttresses,1,2
598,tower razing,outpost_crumble_T1_plugs,1,2
599,,,1,2
600,,,,
601,pally epic wpn effect,epic_wpn_palladin_2h_FX,4,0
602,Miasma,Miasma,4,0
603,sfx_Hero_Blunt,sfx_Hero_Blunt,4,0
604,sfx_epic_Warrior_Axe_1H,sfx_epic_Warrior_Axe_1H,4,0
605,sfx_epic_Hero_Piercing_2H,sfx_epic_Hero_Piercing_2H,4,0
606,sfx_epic_Hero_Spear_2H,sfx_epic_Hero_Spear_2H,4,0
607,sfx_epic_Hero_Spear_1H,sfx_epic_Hero_Spear_1H,4,0
608,sfx_epic_Hero_Piercing_1H,sfx_epic_Hero_Piercing_1H,4,0
609,sfx_epic_Hero_Blunt_2H,sfx_epic_Hero_Blunt_2H,4,0
610,sfx_epic_Hero_Blade_2H,sfx_epic_Hero_Blade_2H,4,0
611,sfx_epic_Hero_Blade_1H,sfx_epic_Hero_Blade_1H,4,0
612,sfx_epic_Reaver_Sword_1H,sfx_epic_Reaver_Sword_1H,4,0
613,sfx_epic_palladin_Slash_1h,sfx_epic_palladin_Slash_1h,4,0
614,sfx_epic_palladin_Thrust_2H,sfx_epic_palladin_Thrust_2H,4,0
615,sfx_epic_palladin_Thrust_1H,sfx_epic_palladin_Thrust_1H,4,0
616,sfx_epic_Reaver_Thrust_1H,sfx_epic_Reaver_Thrust_1H,4,0
617,sfx_epic_Reaver_Crush_1H,sfx_epic_Reaver_Crush_1H,4,0
618,sfx_epic_Warrior_Sword_1H,sfx_epic_Warrior_Sword_1H,4,0
619,sfx_epic_Warrior_Hammer_2H,sfx_epic_Warrior_Hammer_2H,4,0
620,sfx_epic_Warrior_Hammer_1H,sfx_epic_Warrior_Hammer_1H,4,0
621,sfx_epic_Warrior_Axe_2H,sfx_epic_Warrior_Axe_2H,4,0
622,sfx_epic_Warrior_Sword_2H,sfx_epic_Warrior_Sword_2H,4,0
623,sfx_epic_Reaver_Flex_1H,sfx_epic_Reaver_Flex_1H,4,0
624,sfx_epic_palladin_Crush_2H,sfx_epic_palladin_Crush_2H,4,0
625,sfx_epic_palladin_Crush_1H,sfx_epic_palladin_Crush_1H,4,0
626,sfx_epic_wpn_Armsman_Thrust_2H,sfx_epic_wpn_Armsman_Thrust_2H,4,0
627,sfx_epic_wpn_Armsman_Crush_1H,sfx_epic_wpn_Armsman_Crush_1H,4,0
628,sfx_epic_wpn_Armsman_Crush_2H,sfx_epic_wpn_Armsman_Crush_2H,4,0
629,sfx_epic_wpn_Armsman_Pole_S,sfx_epic_wpn_Armsman_Pole_S,4,0
630,sfx_epic_wpn_Armsman_Sword_1H,sfx_epic_wpn_Armsman_Sword_1H,4,0
631,sfx_epic_wpn_Armsman_Sword_2H,sfx_epic_wpn_Armsman_Sword_2H,4,0
632,sfx_epic_wpn_Armsman_Thrust_1H,sfx_epic_wpn_Armsman_Thrust_1H,4,0
633,sfx_epic_wpn_Mercenary_T,sfx_epic_wpn_Mercenary_T,4,0
634,sfx_epic_wpn_Mercenary_C,sfx_epic_wpn_Mercenary_C,4,0
635,sfx_epic_wpn_Mercenary_S,sfx_epic_wpn_Mercenary_S,4,0
636,sfx_epic_minstrel_T,sfx_epic_minstrel_T,4,0
637,sfx_epic_minstrel_S,sfx_epic_minstrel_S,4,0
638,sfx_epic_minstrel_H,sfx_epic_minstrel_H,4,0
639,sfx_epic_infiltrator_T,sfx_epic_infiltrator_T,4,0
640,sfx_epic_Infiltrator_S,sfx_epic_Infiltrator_S,4,0
641,sfx_epic_wpn_Armsman_Pole_C,sfx_epic_wpn_Armsman_Pole_C,4,0
642,sfx_epic_wpn_Heretic_flexS_1H,sfx_epic_wpn_Heretic_flexS_1H,4,0
643,sfx_epic_wpn_Heretic_crush_1H,sfx_epic_wpn_Heretic_crush_1H,4,0
644,sfx_epic_wpn_Heretic_flexC_1H,sfx_epic_wpn_Heretic_flexC_1H,4,0
645,sfx_epic_wpn_cleric_C,sfx_epic_wpn_cleric_C,4,0
646,sfx_epic_Scout_Bow,sfx_epic_Scout_Bow,4,0
647,sfx_epic_Scout_T,sfx_epic_Scout_T,4,0
648,sfx_epic_Scout_S,sfx_epic_Scout_S,4,0
649,sfx_epic_wpn_skald_axe_1h,sfx_epic_wpn_skald_axe_1h,4,0
650,sfx_epic_wpn_skald_hammer_1h,sfx_epic_wpn_skald_hammer_1h,4,0
651,sfx_epic_wpn_skald_sword_1h,sfx_epic_wpn_skald_sword_1h,4,0
652,sfx_epic_wpn_skald_hammer_2h,sfx_epic_wpn_skald_hammer_2h,4,0
653,sfx_epic_wpn_skald_axe_2h,sfx_epic_wpn_skald_axe_2h,4,0
654,sfx_epic_wpn_skald_sword_2h,sfx_epic_wpn_skald_sword_2h,4,0
655,sfx_epic_Druid_Crush_1H,sfx_epic_Druid_Crush_1H,4,0
656,sfx_epic_Druid_Blade_1H,sfx_epic_Druid_Blade_1H,4,0
657,sfx_epic_wpn_savage_sword_1h,sfx_epic_wpn_savage_sword_1h,4,0
658,sfx_epic_wpn_savage_sword_2h,sfx_epic_wpn_savage_sword_2h,4,0
659,sfx_epic_wpn_savage_axe_1h,sfx_epic_wpn_savage_axe_1h,4,0
660,sfx_epic_Warden_Blade_1H,sfx_epic_Warden_Blade_1H,4,0
661,sfx_epic_Warden_Crush_1H,sfx_epic_Warden_Crush_1H,4,0
662,sfx_epic_Friar_Staff&Crush,sfx_epic_Friar_Staff&Crush,4,0
663,sfx_epic_Necromancer_Staff,sfx_epic_Necromancer_Staff,4,0
664,sfx_epic_wpn_savage_axe_2h,sfx_epic_wpn_savage_axe_2h,4,0
665,sfx_epic_wpn_savage_hth,sfx_epic_wpn_savage_hth,4,0
666,sfx_epic_wpn_savage_hammer_1h,sfx_epic_wpn_savage_hammer_1h,4,0
667,sfx_epic_wpn_savage_hammer_2h,sfx_epic_wpn_savage_hammer_2h,4,0
668,sfx_epic_wpn_valkyrie_sword_1h,sfx_epic_wpn_valkyrie_sword_1h,4,0
669,sfx_epic_wpn_valkyrie_sword_2h,sfx_epic_wpn_valkyrie_sword_2h,4,0
670,sfx_epic_Ranger_Bow,sfx_epic_Ranger_Bow,4,0
671,sfx_epic_Ranger_Pierce_1H,sfx_epic_Ranger_Pierce_1H,4,0
672,sfx_epic_Ranger_Slash_1H,sfx_epic_Ranger_Slash_1H,4,0
673,sfx_epic_wpn_valkyrie_spear,sfx_epic_wpn_valkyrie_spear,4,0
674,sfx_epic_wpn_Sorcerer_St,sfx_epic_wpn_Sorcerer_St,4,0
675,sfx_epic_wpn_hunter_sword_2h,sfx_epic_wpn_hunter_sword_2h,4,0
676,sfx_epic_wpn_hunter_sword_1h,sfx_epic_wpn_hunter_sword_1h,4,0
677,sfx_epic_wpn_hunter_spear,sfx_epic_wpn_hunter_spear,4,0
678,sfx_epic_wpn_hunter_bow,sfx_epic_wpn_hunter_bow,4,0
679,sfx_epic_Blademaster_Pierce_1H,sfx_epic_Blademaster_Pierce_1H,4,0
680,sfx_epic_Blademaster_Slash_1H,sfx_epic_Blademaster_Slash_1H,4,0
681,sfx_epic_Blademaster_Crush_1H,sfx_epic_Blademaster_Crush_1H,4,0
682,sfx_epic_wpn_thane_sword_2h,sfx_epic_wpn_thane_sword_2h,4,0
683,sfx_epic_wpn_thane_sword_1h,sfx_epic_wpn_thane_sword_1h,4,0
684,sfx_epic_wpn_thane_axe_2h,sfx_epic_wpn_thane_axe_2h,4,0
685,sfx_epic_wpn_thane_axe_1h,sfx_epic_wpn_thane_axe_1h,4,0
686,sfx_epic_Bainshee_Staff,sfx_epic_Bainshee_Staff,4,0
687,sfx_epic_Animist_Staff,sfx_epic_Animist_Staff,4,0
688,sfx_epic_Eldritch_Staff,sfx_epic_Eldritch_Staff,4,0
689,sfx_epic_Enchanter_Staff,sfx_epic_Enchanter_Staff,4,0
690,sfx_epic_wpn_thane_hammer_2h,sfx_epic_wpn_thane_hammer_2h,4,0
691,sfx_epic_wpn_thane_hammer_1h,sfx_epic_wpn_thane_hammer_1h,4,0
692,sfx_epic_wpn_shadowblade_sword_2h,sfx_epic_wpn_shadowblade_sword_2h,4,0
693,sfx_epic_wpn_shadowblade_sword_1h,sfx_epic_wpn_shadowblade_sword_1h,4,0
694,sfx_epic_Mentalist_Staff,sfx_epic_Mentalist_Staff,4,0
695,sfx_epic_Valewalker_Sy,sfx_epic_Valewalker_Sy,4,0
696,sfx_epic_wpn_shadowblade_axe_1h,sfx_epic_wpn_shadowblade_axe_1h,4,0
697,sfx_epic_wpn_shadowblade_axe_2h,sfx_epic_wpn_shadowblade_axe_2h,4,0
698,sfx_epic_Healer_Crush_2H,sfx_epic_Healer_Crush_2H,4,0
699,sfx_epic_Healer_Crush_1H,sfx_epic_Healer_Crush_1H,4,0
700,sfx_epic_Spiritmaster_Staff,sfx_epic_Spiritmaster_Staff,4,0
701,sfx_epic_wpn_Cabalist_st,sfx_epic_wpn_Cabalist_st,4,0
702,sfx_epic_wpn_Theurgist_St,sfx_epic_wpn_Theurgist_St,4,0
703,sfx_epic_wpn_Vampiir_T,sfx_epic_wpn_Vampiir_T,4,0
704,sfx_epic_wpn_Wizard_St,sfx_epic_wpn_Wizard_St,4,0
705,fireworks_gold_blast,fireworks_gold_blast,0,0
706,fireworks_green_blast,fireworks_green_blast,0,0
707,fireworks_red_blast,fireworks_red_blast,0,0
708,fireworks_white_blast,fireworks_white_blast,0,0
709,fireworks_blue_blast,fireworks_blue_blast,0,0
710,sfx_epic_wpn_Runemaster_St,sfx_epic_wpn_Runemaster_St,4,0
711,sfx_epic_Shaman_Crush_1H,sfx_epic_Shaman_Crush_1H,4,0
712,sfx_epic_Bonedancer_Staff,sfx_epic_Bonedancer_Staff,4,0
713,sfx_epic_Warlock_Staff,sfx_epic_Warlock_Staff,4,0
714,sfx_epic_Shaman_Crush_2H,sfx_epic_Shaman_Crush_2H,4,0
715,sfx_epic_wpn_Champion_Slash_2h,sfx_epic_wpn_Champion_Slash_2h,4,0
716,sfx_epic_wpn_Champion_Slash_1h,sfx_epic_wpn_Champion_Slash_1h,4,0
717,sfx_epic_wpn_Champion_Pierce_1h,sfx_epic_wpn_Champion_Pierce_1h,4,0
718,sfx_epic_wpn_Champion_Crush_2h,sfx_epic_wpn_Champion_Crush_2h,4,0
719,sfx_epic_wpn_Champion_Crush_1h,sfx_epic_wpn_Champion_Crush_1h,4,0
720,sfx_epic_wpn_nightshade_T,sfx_epic_wpn_nightshade_T,4,0
721,sfx_epic_wpn_nightshade_S,sfx_epic_wpn_nightshade_S,4,0
722,sfx_epic_wpn_berserker_axe_2h,sfx_epic_wpn_berserker_axe_2h,4,0
723,sfx_epic_wpn_berserker_axe_1h,sfx_epic_wpn_berserker_axe_1h,4,0
724,sfx_epic_wpn_berserker_sword_2h,sfx_epic_wpn_berserker_sword_2h,4,0
725,sfx_epic_wpn_berserker_sword_1h,sfx_epic_wpn_berserker_sword_1h,4,0
726,sfx_epic_wpn_berserker_hammer_2h,sfx_epic_wpn_berserker_hammer_2h,4,0
727,sfx_epic_wpn_berserker_hammer_1h,sfx_epic_wpn_berserker_hammer_1h,4,0
728,sfx_epic_wpn_Bard_Blade_1H,sfx_epic_wpn_Bard_Blade_1H,4,0
729,sfx_epic_wpn_Bard_Crush_1H,sfx_epic_wpn_Bard_Crush_1H,4,0
730,sfx_epic_wpn_Bard_Harp,sfx_epic_wpn_Bard_Harp,4,0
731,sfx_Admorenth_staff,sfx_Admorenth_staff,5,0
732,Ballista Bolt 90 Degrees,bolt_ballista_90,0,0
733,Carcass 90 Degrees,carcass_90,0,0
734,Cold Ball 90 Degrees,coldball_90,0,0
735,Pitch Ball 90 Degrees,pitchball_90,0,0
736,Stone Shot 90 Degrees,stone_shot_90,0,0
737,Scorpion Bolt 90 Degress,bolt_scorpion_90,0,0
738,Grey Ground Splash Ripple Rings Large,groundsplash_ripple_rings,0,0
739,Grey Ground Splash Ripple Rings Small,groundsplash_ripple_rings_sm,0,0
740,Red Ground Ripple Waves,groundsplash_ripple_waves2,0,0
741,Blue Ground Ripple Waves,groundsplash_ripple_waves,0,0
742,Yellow Hit Leach,hitsplash_leech_yellow,0,0
743,Weapon Clash and Shatter,wpnclash1_shatter_hit,0,0
744,Black Fan Spray,fanspray_root,0,0
745,1 Sec Orange Aura Wave,aura_waves1s_orn,0,0
746,1 Sec Purple Aura Wave ,aura_waves1s_prp,0,0
747,1 Sec Red Aura Wave,aura_waves1s_red,0,0
748,1 Sec Blue Aura Wave,aura_waves1s_blu,0,0
749,1 Sec Green Aura Wave,aura_waves1s_grn,0,0
750,4 Sec Blue Aura Wave,aura_waves4s_blu,0,0
751,4 Sec Green Aura Wave,aura_waves4s_grn,0,0
752,4 Sec Orange Aura Wave,aura_waves4s_orn,0,0
753,4 Sec Purple Aura Wave,aura_waves4s_prp,0,0
754,4 Sec Red Aura Wave,aura_waves4s_red,0,0
755,1 Sec Blue Stream,aura_streams1s_blu,0,0
756,1 Sec Green Stream,aura_streams1s_grn,0,0
757,1 Sec Orange Stream,aura_streams1s_orn,0,0
758,1 Sec Purple Stream,aura_streams1s_prp,0,0
759,1 Sec Red Steam,aura_streams1s_red,0,0
760,4 Sec Blue Stream,aura_streams4s_blu,0,0
761,4 Sec Green Stream,aura_streams4s_grn,0,0
762,4 Sec Orange Stream,aura_streams4s_orn,0,0
763,4 Sec Purple Stream,aura_streams4s_prp,0,0
764,4 Sec Red Stream,aura_streams4s_red,0,0
765,Push Wave Effect,push_waves,0,0
766,Orange Rising Streaks,rise_streaks_orn,0,0
767,Purple Rising Streaks,rise_streaks_prp,0,0
768,Red Rising Streaks,rise_streaks_red,0,0
769,Green Rising Streaks,rise_streaks_grn,0,0
770,Blue Rising Streaks,rise_streaks_blu,0,0
771,Layrinth Fire Effect,fire_labyrinth_spell,0,0
772,Power Cold Hit,pow_sm_cold,0,0
773,Power Fire Hit,pow_sm_fire,0,0
774,Power Purple Hit,pow_sm_purp,0,0
775,Power Red Hit,pow_sm_red,0,0
776,Grey Fanspray,fanspray_shockwaves,0,0
777,Ice Fist 1,u_fist_ice1,0,0
778,Fire Fist 2,u_fist_fire2,0,0
779,Fire Fist 1,u_fist_fire1,0,0
780,Force/Ripple Fist,u_fist_force1,0,0
781,Smoke Fist,u_fist_smoke1,0,0
782,Energy Fist 1,u_fist_energy1,0,0
783,Hushing Face,hushface1_hit,0,0
784,Energy Fist 2,u_fist_energy2,0,0
785,sfx_AlbMauler_Staff01,sfx_AlbMauler_Staff01,4,0
786,sfx_HibMauler_Staff01,sfx_HibMauler_Staff01,4,0
787,sfx_MidMauler_Staff01,sfx_MidMauler_Staff01,4,0
788,black_wind_hit,black_wind_hit,6,0
789,Steamspray,Steamspray,6,0
790,sfx_MidMauler_Punch01,sfx_MidMauler_Punch01,4,0
791,sfx_HibMauler_Punch01,sfx_HibMauler_Punch01,4,0
792,sfx_AlbMauler_Punch01,sfx_AlbMauler_Punch01,4,0
793,dracolich_breath,dracolich_breath,6,0
794,dracolich_hit,dracolich_hit,6,0
795,Bind On Equip,aura_darkwavers2s_prp,0,0
796,pwrcylshld10s_hit,pwrcylshld10s_hit,0,0
797,green lightshaft with collapsing green rings,grnringbeam1_hit,0,0
798,red lightshaft with collapsing red rings,redringbeam1_hit,0,0
799,Logo_BlurIn_Alb,Logo_BlurIn_Alb,0,0
800,Logo_BlurIn_Hib,Logo_BlurIn_Hib,0,0
801,Logo_BlurIn_Mid,Logo_BlurIn_Mid,0,0
802,Revamp Dragon Breath Fire,DragonBreath_fire_cst,0,0
803,Revamp Dragon Breah Spirit,DragonBreath_evil_cst,0,0
804,Revamp Dragon Breah Cold,DragonBreath_cold_cst,0,0
805,arrow slash01 load,arrow_slash01_load,0,0
806,arrow slash01 travel,arrow_slash01_travel,0,0
807,arrow slash01 strike,arrow_slash01_strike,0,0
808,arrow thrust01 load,arrow_thrust01_load,0,0
809,arrow thrust01 travel,arrow_thrust01_travel,0,0
810,arrow thrust01strike,arrow_thrust01_strike,0,0
811,arrow crush01 load,arrow_crush01_load,0,0
812,arrow crush01 travel,arrow_crush01_travel,0,0
813,arrow crush01 strike,arrow_crush01_strike,0,0
814,arrow crit01 load,arrow_crit01_load,0,0
815,arrow crit01 travel,arrow_crit01_travel,0,0
816,arrow crit01 strike,arrow_crit01_strike,0,0
817,arrow poison01 load,arrow_poison01_load,0,0
818,arrow poison01 travel,arrow_poison01_travel,0,0
819,arrow poison01 strike,arrow_poison01_strike,0,0
820,arrow acid01 load,arrow_acid01_load,0,0
821,arrow acid01 travel,arrow_acid01_travel,0,0
822,arrow acid01 strike,arrow_acid01_strike,0,0
823,arrow fire01 load,arrow_fire01_load,0,0
824,arrow fire01 travel,arrow_fire01_travel,0,0
825,arrow fire01strike,arrow_fire01_strike,0,0
826,arrow cold01 load,arrow_cold01_load,0,0
827,arrow cold01 travel,arrow_cold01_travel,0,0
828,arrow cold01strike,arrow_cold01_strike,0,0
829,arrow siege01 load,arrow_siege01_load,0,0
830,arrow siege01 travel,arrow_siege01_travel,0,0
831,arrow siege01strike,arrow_siege01_strike,0,0
832,arrow volley01 load,arrow_volley01_load,0,0
833,arrow volley01 shoot,arrow_volley01_shoot,0,0
834,arrow volley01 strike,arrow_volley01_strike,0,0
835,Revamp Dragon Hit Effect Spirit,Dragonbreath_evil_hit,0,0
836,ADR_DSL_Hib_flex_thrust_sfx,ADR_DSL_Hib_flex_thrust_sfx,0,0
837,ADR_DSL_Hib_flex_slash_sfx,ADR_DSL_Hib_flex_slash_sfx,0,0
838,ADR_DSL_Hib_flex_blunt_sfx,ADR_DSL_Hib_flex_blunt_sfx,0,0
839,ADR_DSL_Hib_bow_short_sfx,ADR_DSL_Hib_bow_short_sfx,0,0
840,ADR_DSL_Hib_bow_long_sfx,ADR_DSL_Hib_bow_long_sfx,0,0
841,ADR_DSL_Hib_bow_cross_sfx,ADR_DSL_Hib_bow_cross_sfx,0,0
842,ADR_DSL_Hib_2h_sword_thrust_sfx,ADR_DSL_Hib_2h_sword_thrust_sfx,0,0
843,ADR_DSL_Hib_2h_sword_slash_sfx,ADR_DSL_Hib_2h_sword_slash_sfx,0,0
844,ADR_DSL_Hib_2h_hammer_blunt_sfx,ADR_DSL_Hib_2h_hammer_blunt_sfx,0,0
845,ADR_DSL_Hib_2h_axe_sfx,ADR_DSL_Hib_2h_axe_sfx,0,0
846,ADR_DSL_Hib_1h_sword_thrust_offhand_sfx,ADR_DSL_Hib_1h_sword_thrust_offhand_sfx,0,0
847,ADR_DSL_Hib_1h_sword_thrust_mainhand_sfx,ADR_DSL_Hib_1h_sword_thrust_mainhand_sfx,0,0
848,ADR_DSL_Hib_1h_sword_slash_offhand_sfx,ADR_DSL_Hib_1h_sword_slash_offhand_sfx,0,0
849,ADR_DSL_Hib_1h_sword_slash_mainhand_sfx,ADR_DSL_Hib_1h_sword_slash_mainhand_sfx,0,0
850,ADR_DSL_Hib_1h_hammer_blunt_offhand_sfx,ADR_DSL_Hib_1h_hammer_blunt_offhand_sfx,0,0
851,ADR_DSL_Hib_1h_hammer_blunt_mainhand_sfx,ADR_DSL_Hib_1h_hammer_blunt_mainhand_sfx,0,0
852,ADR_DSL_Hib_1h_axe_offhand_sfx,ADR_DSL_Hib_1h_axe_offhand_sfx,0,0
853,ADR_DSL_Hib_1h_axe_mainhand_sfx,ADR_DSL_Hib_1h_axe_mainhand_sfx,0,0
854,ADR_DSL_Hib_Shield_Small_sfx,ADR_DSL_Hib_Shield_Small_sfx,0,0
855,ADR_DSL_Hib_Shield_Medium_sfx,ADR_DSL_Hib_Shield_Medium_sfx,0,0
856,ADR_DSL_Hib_Shield_Large_sfx,ADR_DSL_Hib_Shield_Large_sfx,0,0
857,ADR_DSL_Hib_scythe_sfx,ADR_DSL_Hib_scythe_sfx,0,0
858,ADR_DSL_Hib_quiver_sfx,ADR_DSL_Hib_quiver_sfx,0,0
859,ADR_DSL_Hib_quarterstaff_sfx,ADR_DSL_Hib_quarterstaff_sfx,0,0
860,ADR_DSL_Hib_pole-arm_spear_thrust_sfx,ADR_DSL_Hib_pole-arm_spear_thrust_sfx,0,0
861,ADR_DSL_Hib_pole-arm_spear_slash_sfx,ADR_DSL_Hib_pole-arm_spear_slash_sfx,0,0
862,ADR_DSL_Hib_pole-arm_blunt_sfx,ADR_DSL_Hib_pole-arm_blunt_sfx,0,0
863,ADR_DSL_Hib_magicstaff_sfx,ADR_DSL_Hib_magicstaff_sfx,0,0
864,ADR_DSL_Hib_harp_sfx,ADR_DSL_Hib_harp_sfx,0,0
865,ADR_DSL_Hib_H2h_thrust_offhand_sfx,ADR_DSL_Hib_H2h_thrust_offhand_sfx,0,0
866,ADR_DSL_Hib_H2h_thrust_mainhand_sfx,ADR_DSL_Hib_H2h_thrust_mainhand_sfx,0,0
867,ADR_DSL_Hib_H2h_slash_offhand_sfx,ADR_DSL_Hib_H2h_slash_offhand_sfx,0,0
868,ADR_DSL_Hib_H2h_slash_mainhand_sfx,ADR_DSL_Hib_H2h_slash_mainhand_sfx,0,0
869,ADR_DSL_Hib_H2h_blunt_offhand_sfx,ADR_DSL_Hib_H2h_blunt_offhand_sfx,0,0
870,ADR_DSL_Hib_H2h_blunt_mainhand_sfx,ADR_DSL_Hib_H2h_blunt_mainhand_sfx,0,0
871,ADR_DSL_Mid_Flex_thrust_sfx,ADR_DSL_Mid_Flex_thrust_sfx,0,0
872,ADR_DSL_Mid_H2h_blunt_mainhand_sfx,ADR_DSL_Mid_H2h_blunt_mainhand_sfx,0,0
873,ADR_DSL_Mid_H2h_blunt_offhand_sfx,ADR_DSL_Mid_H2h_blunt_offhand_sfx,0,0
874,ADR_DSL_Mid_H2h_slash_mainhand_sfx,ADR_DSL_Mid_H2h_slash_mainhand_sfx,0,0
875,ADR_DSL_Mid_H2h_slash_offhand_sfx,ADR_DSL_Mid_H2h_slash_offhand_sfx,0,0
876,ADR_DSL_Mid_H2h_thrust_mainhand_sfx,ADR_DSL_Mid_H2h_thrust_mainhand_sfx,0,0
877,ADR_DSL_Mid_H2h_thrust_offhand_sfx,ADR_DSL_Mid_H2h_thrust_offhand_sfx,0,0
878,ADR_DSL_Mid_harp_sfx,ADR_DSL_Mid_harp_sfx,0,0
879,ADR_DSL_Mid_magicstaff_sfx,ADR_DSL_Mid_magicstaff_sfx,0,0
880,ADR_DSL_Mid_pole-arm_blunt_sfx,ADR_DSL_Mid_pole-arm_blunt_sfx,0,0
881,ADR_DSL_Mid_pole-arm_spear_slash_sfx,ADR_DSL_Mid_pole-arm_spear_slash_sfx,0,0
882,ADR_DSL_Mid_pole-arm_spear_thrust_sfx,ADR_DSL_Mid_pole-arm_spear_thrust_sfx,0,0
883,ADR_DSL_Mid_quarterstaff_sfx,ADR_DSL_Mid_quarterstaff_sfx,0,0
884,ADR_DSL_Mid_quiver_sfx,ADR_DSL_Mid_quiver_sfx,0,0
885,ADR_DSL_Mid_scythe_sfx,ADR_DSL_Mid_scythe_sfx,0,0
886,ADR_DSL_Mid_Shield_Large_sfx,ADR_DSL_Mid_Shield_Large_sfx,0,0
887,ADR_DSL_Mid_Shield_Medium_sfx,ADR_DSL_Mid_Shield_Medium_sfx,0,0
888,ADR_DSL_Mid_Shield_Small_sfx,ADR_DSL_Mid_Shield_Small_sfx,0,0
889,ADR_DSL_Mid_1h_axe_mainhand_sfx,ADR_DSL_Mid_1h_axe_mainhand_sfx,0,0
890,ADR_DSL_Mid_1h_axe_offhand_sfx,ADR_DSL_Mid_1h_axe_offhand_sfx,0,0
891,ADR_DSL_Mid_1h_hammer_blunt_mainhand_sfx,ADR_DSL_Mid_1h_hammer_blunt_mainhand_sfx,0,0
