,,0,1,2,3,4,5,6,7,8,9
467,Foe Splitter,3818,0,0,0,0,0,0,0,0,1
468,Concuss,3820,0,0,0,0,0,0,0,0,1
469,Hind Strike,3802,0,0,0,0,0,0,0,0,1
470, Spine Crack,3803,0,0,0,0,0,0,0,0,1
471,Rupture Feint,3804,0,0,0,0,0,0,0,0,1
472,Lateral Assault,3805,0,0,0,0,0,0,0,0,1
473,Flanking Blow,3806,0,0,0,0,0,0,0,0,1
474,Gouge Feint,3807,0,0,0,0,0,0,0,0,1
475,Backfire,3808,0,0,0,0,0,0,0,0,1
476,Recoil,3809,0,0,0,0,0,0,0,0,1
477,Kickback,3810,0,0,0,0,0,0,0,0,1
478,Reposte,3811,0,0,0,0,0,0,0,0,1
479,Shield Bludgeon,3816,69,10,1000,400,70,186,75,0,0
480,Arctic Rift (2 handed),664,136,10,1466,400,215,67,237,0,
481,Decaying Rage,1778,50,10,1133,400,249,15,54,0,
482,Aurora Borealis,1779,50,10,1133,400,206,73,235,0,
483,Valkyrie's Shield,1777,54,10,1466,400,252,255,5,0,
484,Riposte,1747,44,10,933,400,252,255,5,0,
485,Beartooth,1749,55,10,1733,400,252,255,5,0,
486,Ricochet,1758,56,10,1533,400,249,15,54,0,
487,Reflection,1748,51,10,1200,400,249,15,54,0,
488,Horizon Blade,1759,75,10,1066,400,252,255,5,0,
489,Tarantula,1769,79,10,1733,400,252,255,5,0,
490,Not Used,0,0,0,0,0,0,0,0,0,
491,Not Used,0,0,0,0,0,0,0,0,0,
492,Not Used,0,0,0,0,0,0,0,0,0,
493,Not Used,0,0,0,0,0,0,0,0,0,
494,Not Used,0,0,0,0,0,0,0,0,0,
495,Wild Swing,1793,70,10,1666,400,70,186,75,0,
496,Splintered Strike,1794,73,10,1533,400,70,186,75,0,
497,Focused Breach,1795,71,10,1266,400,70,186,75,0,
498,Rescue,1796,71,10,1266,400,29,119,255,0,
499,Percussion,1797,73,10,1533,400,29,119,255,0,
500,Cinder Strike,1798,72,10,1666,400,29,119,255,0,
501,Subterfuge,1799,70,10,1666,400,252,255,5,0,
502,Jolting Staff,1800,70,10,1666,400,252,255,5,0,
503,Smelting Blow,1801,71,10,1266,400,252,255,5,0,
504,Winding Blow,1802,72,10,1666,400,249,15,54,0,
505,Shocking Staff,1803,73,10,1533,400,249,15,54,0,
506,Ember Clip,1804,73,10,1533,400,249,15,54,0,
507,Burning Cloud,1805,73,10,1533,400,206,73,235,0,
508,Scorching Staff,1806,73,10,1533,400,206,73,235,0,
509,Forging Blow,1807,73,10,1533,400,206,73,235,0,
510,Tempered Strike,1808,73,10,1533,400,206,73,235,0,
511,Ducking Blow,1809,108,10,1000,400,0,0,0,0,
512,Jab,1810,108,10,1000,400,0,0,0,0,
513,Uppercut,1811,109,10,1000,400,0,0,0,0,
514,Jaw Breaker,1812,111,10,1000,400,0,0,0,0,
515,Owl Strike,1813,110,10,1000,400,0,0,0,0,
516,Heart Stopper,1814,138,10,1000,400,0,0,0,0,
517,Haymaker,1816,111,10,1000,400,0,0,0,0,
518,Body Blow,1815,139,10,1000,400,0,0,0,0,
519,Wind Taker,1817,140,10,1000,400,0,0,0,0,
520,Rib Cracker,1818,139,10,1000,400,0,0,0,0,
521,Eagle Strike,1819,110,10,1000,400,0,0,0,0,
522,Gut Shot,1820,139,10,1000,400,0,0,0,0,
523,Dislocation,1821,109,10,1000,400,0,0,0,0,
524,Cross,1822,112,10,1000,400,0,0,0,0,
525,Counter Blow,1823,138,10,1000,400,0,0,0,0,
526,Phoenix Strike,1824,138,10,1000,400,0,0,0,0,
527,Heretic-Flex 07,1825,123,10,1066,400,252,255,5,0,
528,Revenge,4106,61,10,1600,400,252,255,5,0,
529,Ragnarok Thane and Valkyrie,4131,60,10,1066,400,206,73,235,0,
530,Niord's Fury,4130,60,10,1066,400,206,73,235,0,
531,Baldur's Fury,4129,60,10,1066,400,252,255,5,0,
532,Assault,4128,60,10,1066,400,29,119,255,0,
533,"Assault (Shadowblades, Hunters)",4134,60,10,1066,400,29,119,255,0,
534,Heel Clip,784,69,10,1000,400,252,255,5,0,
535,Penumbra,4143,51,10,1466,400,252,255,5,0,
536,Dual Shadows,4142,63,10,1466,400,206,73,235,0,
537,Stab Valkyrie,4150,62,10,2000,400,252,255,5,0,
538,Return Thrust Valkyrie,4151,62,10,2000,400,70,186,75,0,
539,Bruiser,4138,76,10,1133,400,70,186,75,0,
540,Windfall,4137,74,10,1533,400,252,255,5,0,
541,Skull Breaker,4139,43,10,1533,400,249,15,54,0,
542,Concussion,4140,43,10,1533,400,29,119,255,0,
543,Kinetic Blade,4141,77,10,1066,400,249,15,54,0,
544,Horizon Blade,4144,75,10,1066,400,252,255,5,0,
545,Comminute,4145,136,10,1600,400,249,15,54,0,
546,Revenge,4146,61,10,1600,400,252,255,5,0,
547,Thor's Hammer,4147,61,10,1600,400,29,119,255,0,
548,Beartooth,4148,55,10,1733,400,252,255,5,0,
549,Ricochet,4149,56,10,1533,400,249,15,54,0,
550,Comeback,4152,63,10,1466,400,252,255,5,0,
551,Friar's Strike,4160,70,10,1666,400,70,186,75,0,
552,Pole Thrash,4161,46,10,933,400,70,186,75,0,
553,Quarter Moon,4162,49,10,1466,400,70,186,75,0,
554,Massasauga,4163,120,10,2000,400,70,186,75,0,
555,Dual Strike,4164,51,10,1200,400,70,186,75,0,
556,Thrusting Spear,4165,62,10,2000,400,70,186,75,0,
557,Frost Blade,4166,50,10,1133,400,70,186,75,0,
558,Tribal Might,4167,108,10,1000,400,70,186,75,0,
559,Nova,4168,82,10,1333,400,70,186,75,0,
560,Hibernian Might,4169,80,10,1600,400,70,186,75,0,
561,Falcon's Talon,4170,55,10,1733,400,70,186,75,0,
562,Razorthorn,4171,117,10,1000,400,70,186,75,0,
563,Smash,4172,134,10,1000,400,70,186,75,0,
564,Puncture Defense,4173,89,10,1000,400,70,186,75,0,
565,Frozen Comet,4175,50,10,1133,400,70,186,75,0,
566,Thane's Midnight Moon,1882,54,10,1466,400,252,255,5,0,
567,Thane Frost Cut,1883,60,10,1066,400,70,186,75,0,
568,Reaver Only -  Leviathan,4202,124,10,2000,400,206,73,235,0,
569,Champ Only - Annihilation,4203,80,10,1600,400,206,73,235,0,
570,Neck Shot,1774,89,10,1733,400,1,206,63,0,
571,Rib Shot,1775,86,10,2066,400,249,15,54,0,
572,Hip Shot,1776,83,10,1000,400,29,119,255,0,
573,Misty Gloom (Merc),4214,51,10,1200,400,252,255,5,0,
574,Shadow's Rain (Merc),4215,63,10,1466,400,206,73,235,0,
