Effect,Effect,Effect,Effect,Effect,Effect,Track,Auto,Spin,Angle,Focus,Focus,Focus,Focus,Focus
383,Catapult pitchball ready,458,Ammo,1000,100,2,0,3,,,,,,
384,Catapult pitchball travelling,459,Ammo,1000,100,2,0,3,,,,,,
385,Catapult pitchball exploding hit,460,Ammo,4000,100,2,0,3,,,,,,
386,Catapult coldball loading,461,Ammo,500,100,2,0,3,,,,,,
387,Catapult coldball ready,462,Ammo,1000,100,2,0,3,,,,,,
388,Catapult coldball travelling,463,Ammo,1000,100,2,0,3,,,,,,
389,Catapult coldball exploding hit,464,Ammo,4000,100,2,0,3,,,,,,
390,Catapult stone shot loading,465,Ammo,500,100,2,0,3,,,,,,
391,Catapult stone shot ready,466,Ammo,1000,100,2,0,3,,,,,,
392,Catapult stone shot travelling,467,Ammo,2000,100,2,0,3,,,,,,
393,Catapult stone shot hit exploding,468,Ammo,4000,100,2,0,3,,,,,,
394,Catapult disease carcass load,469,Ammo,500,100,2,0,3,,,,,,
395,Catapult disease carcass ready,470,Ammo,1000,100,2,0,3,,,,,,
396,Catapult disease carcass travel,471,Ammo,1000,100,2,0,3,,,,,,
397,Catapult disease carcass explode hit,472,Ammo,4000,100,2,0,3,,,,,,
398,Boiling oil filling,473,Ammo,5000,100,2,0,3,,,,,,
399,Boiling oil ready,474,Ammo,5000,100,2,0,3,,,,,,
400,Boiling oil pouring,475,Ammo,4333,100,2,0,3,,,,,,
401,Boiling oil splash,482,Ammo,4000,100,1,0,,,,,,,
402,Poison ball load,483,Ammo,10000,100,2,0,3,,,,,,
403,Poison ball ready,484,Ammo,10000,100,2,0,3,,,,,,
404,Poison ball travelling,485,Ammo,2000,100,2,0,3,,,,,,
405,Poison ball explosion,486,Ammo,4000,100,2,0,3,,,,,,
406,lion green eye glow,15,Bip01 Head,2000,100,2,1,,,,,,,
407,quadriped green flames rising,21,rootnode,2000,100,1,1,,,,,,,
408,red damage fanspray,487,rootnode,1000,100,1,1,,,,,,,
409,yellow shearing fanspray,488,rootnode,1000,100,1,1,,,,,,,
410,blue shearing fanspray,489,rootnode,1000,100,1,1,,,,,,,
411,wavy red snaring fanspray,490,rootnode,2000,100,1,1,,,,,,,
412,red expanding ring ,491,rootnode,1000,100,,1,,,,,,,
413,red expanding ring with Norse runes,492,rootnode,2000,100,,1,,,,,,,
414,single acuity shear hit,493,targetchest,2000,100,,1,,,,,,,
415,single DEX shear hit,494,targetchest,2000,100,,1,,,,,,,
416,single DEX-QUI shear hit,495,targetchest,2000,100,,1,,,,,,,
417,single STR shear hit,496,targetchest,2000,100,,1,,,,,,,
418,single CON shear hit,497,targetchest,2000,100,,1,,,,,,,
419,single STRCON shear hit,498,targetchest,2000,100,,1,,,,,,,
420,radius acuity shear hit,500,targetchest,2000,100,,1,,,,,,,
421,radius DEX shear hit,501,targetchest,2000,100,,1,,,,,,,
422,radius DEX-QUI shear hit,502,targetchest,2000,100,,1,,,,,,,
423,radius STR shear hit,503,targetchest,2000,100,,1,,,,,,,
424,radius CON shear hit,504,targetchest,2000,100,,1,,,,,,,
425,radius STRCON shear hit,505,targetchest,2000,100,,1,,,,,,,
426,smaller red purple explosion,506,targetchest,2000,100,,1,,,,,,,
427, red purple explosion,507,targetchest,2000,100,,1,,,,,,,
428,red purple explosion,508,targetchest,2000,100,,1,,,,,,,
429,fiery aura briefly flaring,509,targetchest,2000,100,,1,,,,,,,
430,more pronounced fiery aura briefly flaring,510,targetchest,2000,100,,1,,,,,,,
431,golden streaks aura,511,targetchest,2000,100,,1,,,,,,,
432,golden streaks aura with ring,512,targetchest,2000,100,,1,,,,,,,
433,golden streaks aura with ringburst,513,targetchest,2000,100,,1,,,,,,,
434,fire1 damage pulse,514,Bip01 R Hand,4000,100,,1,,,435,500,800,6000,81
435,fire1 focus pulse,515,Bip01 R Hand,1000,100,,1,,,,,,,
436,flame ring surge at feet,516,rootnode,1500,100,,1,,,,,,,
437, larger flame ring surge at feet,517,rootnode,1500,100,,1,,,,,,,
438,flame shield fireblossom,518,rootnode,3000,100,,1,,,,,,,
439,lava bubble shield,519,rootnode,4000,100,,1,,,,,,,
440,heatwaves shield,520,rootnode,2000,100,,1,,,,,,,
441,lifetap hit flash with skull,521,targetchest,2000,100,,1,,,,,,,
442, bigger lifetap hit flash with skull,522,targetchest,2000,100,,1,,,,,,,
443,constricting fire spiral,523,rootnode,2000,100,,1,,,,,,,
444, alternate constricting fire spiral,524,rootnode,2000,100,,1,,,,,,,
445, lava puddle cloudy 3s,525,rootnode,3000,100,,1,,,,,,,
446, lava puddle crusty 3s,526,rootnode,3000,100,,1,,,,,,,
447, lava puddle lumpy 3s,527,rootnode,3000,100,,1,,,,,,,
448, lava puddle crackle 3s,528,rootnode,3000,100,,1,,,,,,,
449, lava pool erupting cloudy 4s,529,rootnode,4000,100,,1,,,,,,,
450, lava pool erupting crusty 4s,530,rootnode,4000,100,,1,,,,,,,
451, lava pool erupting lumpy 4s,531,rootnode,4000,100,,1,,,,,,,
452, lava pool erupting carckle 4s,532,rootnode,4000,100,,1,,,,,,,
453,white pointsource soundripples,533,Bip01 Head,2000,100,,1,,,,,,,
454,red pointsource soundripples,534,Bip01 Head,2000,100,,1,,,,,,,
455,pointsource red black sound blast,535,Bip01 Head,2000,100,,1,,,,,,,
456,pointsource purple black sound blast,536,Bip01 Head,2000,100,,1,,,,,,,
457,sound hit red shock,537,Bip01 Head,2000,100,,1,,,,,,,
458,sound hit black shock,538,Bip01 Head,3000,100,,1,,,,,,,
459,flat ripple blast,539,rootnode,3000,100,,1,,,,,,,
460,moon rises behind caster,540,rootnode,4000,100,,1,,,,,,,
461,moon rise and eclipse 1,541,rootnode,4000,100,,1,,,,,,,
462,moon rise and eclipse 2,542,rootnode,4000,100,,1,,,,,,,
463,evil red streaks move downward,543,rootnode,2000,100,,1,,,,,,,
464,evil red black streaks move downward,544,rootnode,2000,100,,1,,,,,,,
465,evil red streaks move upward,545,rootnode,2000,100,,1,,,,,,,
466,evil red black streaks move upward,546,rootnode,2000,100,,1,,,,,,,
467,fire hit with flaming lifetap face,547,targetchest,3000,100,,1,,,,,,,
468,item decay head,548,Bip01 Head,10000,100,,1,,,,,,,
469,item decay torso,549,Bip01 Pelvis,10000,100,,1,,,,,,,
470,item decay legs,550,Bip01 Pelvis,10000,100,,1,,,,,,,
471,evil red handglow L,551,Bip01 L Held,4000,100,,1,,,,,,,
472,evil red handglow R,551,Bip01 R Held,4000,100,,1,,,,,,,
473,clawslash in air red rip,552,rootnode,2000,100,1,1,,,,,,,
474,hit splash with red ring,553,targetchest,1000,100,,1,,,,,,,
475,inward flowing red streams with red pulse,554,targetchest,2000,100,,1,,,,,,,
476,sound spray 180 degrees purple vibration  ,555,Bip01 Pelvis,1000,100,1,1,,,,,,,
477,sound spray 180 degrees red vibration  ,556,Bip01 Pelvis,1000,100,1,1,,,,,,,
478,sound spray 180 degrees white vibration  ,557,Bip01 Pelvis,1000,100,1,1,,,,,,,
479,sound spray 180 degrees purple snare,558,Bip01 Pelvis,1000,100,1,1,,,,,,,
480,sound ring red ping wave,559,rootnode,1000,100,,1,,,,,,,
481,sound cone mouthblast ripples,560,Bip01 Head,2000,100,1,1,,,,,,,
482,sonic shield 1,561,Bip01 Pelvis,3000,100,,1,,,,,,,
483,sonic shield 2,562,Bip01 Pelvis,4000,100,,1,,,,,,,
484,sonic shield 3,563,Bip01 Pelvis,4000,100,,1,,,,,,,
485,ghostly greenish shield,564,rootnode,3000,100,,1,,,,,,,
486,vertical hitsplash red 1,565,targetchest,2000,100,,1,,,,,,,
487,vertical hitsplash purple 1,566,targetchest,2000,100,,1,,,,,,,
488,vertical hitsplash red veins,567,targetchest,2000,100,,1,,,,,,,
489,vertical hitsplash soft wavy red,568,targetchest,2000,100,,1,,,,,,,
490,vertical hitsplash soft wavy purple,569,targetchest,2000,100,,1,,,,,,,
491,vertical hitsplash soft purple,570,targetchest,2000,100,,1,,,,,,,
492,vertical hitsplash green veins,571,targetchest,2000,100,,1,,,,,,,
493,subtle green handglow L,572,Bip01 L Held,4000,100,,1,,,,,,,
494,subtle green handglow R,572,Bip01 R Held,4000,100,,1,,,,,,,
495,subtle green ring handglow L,573,Bip01 L Held,4000,100,,1,,,,,,,
496,subtle green ring handglow R,573,Bip01 R Held,4000,100,,1,,,,,,,
497,groundsplash soft fire,574,rootnode,2000,100,,1,,,,,,,
498,groundsplash  heatwaves,575,rootnode,2000,100,,1,,,,,,,
499,red wavy projectile 1,576,Bip01 R Held,5000,100,,0,,,,,,,
500,red wavy projectile 2,577,Bip01 R Held,5000,100,,0,,,,,,,
501,red wavy projectile 3,578,Bip01 R Held,5000,100,,0,,,,,,,
502, green wavy projectile 1,579,targetchest,5000,100,,0,,,,,,,
503, green wavy projectile 2,580,targetchest,5000,100,,0,,,,,,,
504, green wavy projectile 3,581,targetchest,5000,100,,0,,,,,,,
505,green absorb handglow 1,582,Bip01 L Held,2000,100,,1,,,,,,,
506,large ripply distortion about head,583,Bip01 Head,2000,100,0,1,,,,,,,
507,sonic pain hit 1,584,Bip01 Head,2000,100,0,1,,,,,,,
508,sonic pain hit 2,585,Bip01 Head,2000,100,0,1,,,,,,,
509,sonic pain hit 3,586,Bip01 Head,2000,100,0,1,,,,,,,
510,sonic pain hit 4,587,Bip01 Head,2000,100,0,1,,,,,,,
511,wind ripples on ground,588,rootnode,2000,100,0,1,,,,,,,
512,inhaling wind rushing in,589,Bip01 Head,2000,100,0,1,,,,,,,
513,shock projectile 1,590,Bip01 Head,4000,100,0,0,,,,,,,
514,shock projectile 2,591,Bip01 Head,4000,100,0,0,,,,,,,
515,shock projectile 3,592,Bip01 Head,4000,100,0,0,,,,,,,
516,dark purple negative headglow pulse,593,Bip01 Head,2000,100,0,1,,,,,,,
517,Leviathan Steam,338,Bip01 Ext12,5000,100,2,1,3,175,,,,,
518,spike trap,416,rootnode,3000,100,0,1,,,,,,,
519,Hearts Popping,107,Bip01 Head,2000,100,0,1, ,,,,,,
520,fireworks_gold_blast,705,rootnode,5000,100,0,0,,,,,,,
521,fireworks_green_blast,706,rootnode,5000,100,0,0,,,,,,,
522,fireworks_red_blast,707,rootnode,5000,100,0,0,,,,,,,
523,fireworks_white_blast,708,rootnode,5000,100,0,0,,,,,,,
524,fireworks_blue_blast,709,rootnode,5000,100,0,0,,,,,,,
525,special gold fireworks with trail,127,rootnode,10000,100,1,0,,,,,,,
526,Miasma,602,targetchest,4000,100,0,1,,,,,,,
527,Boulder Traveling,455,Ammo,4000,100,2,0,3,,,,,,
528,Catapult coldball travelling,463,Ammo,4000,100,2,0,3,,,,,,
529,Mino Construct Flame 1,252,Bip01 L Held,5000,100,0,1,,,,,,,
530,Mino Construct Flame 2,252,Bip01 R Held,5000,100,0,1,,,,,,,
531,Saw Blade Projectile,12,Bip01 R Held,5000,100,2,0,3,,,,,,
532,Ballista Bolt 90 Degrees,732,Bip01 R Held,5000,100,0,0,,,,,,,
533,Carcass 90 Degrees,733,Bip01 R Held,5000,100,0,0,,,,,,,
534,Cold Ball 90 Degrees,734,Bip01 R Held,5000,100,0,0,,,,,,,
535,Pitch Ball 90 Degrees,735,Bip01 R Held,5000,100,0,0,,,,,,,
536,Stone Shot 90 Degrees,736,Bip01 R Held,5000,100,0,0,,,,,,,
537,Scorpion Bolt 90 Degrees,737,Bip01 R Held,5000,100,0,0,,,,,,,
538,Grey Ground Splash Ripple Rings Large,738,rootnode,2000,100,0,1,,,,,,,
539,Grey Ground Splash Ripple Rings Small,739,rootnode,2000,100,0,1,,,,,,,
540,Red Ground Ripple Waves,740,rootnode,2000,100,0,1,,,,,,,
541,Blue Ground Ripple Waves,741,rootnode,2000,100,0,1,,,,,,,
542,Yellow Hit Leach,742,targetchest,2000,100,0,1,,,,,,,
543,Weapon Clash and Shatter,743,rootnode,4000,100,0,1,,,,,,,
544,Black Fan Spray,744,rootnode,2000,100,1,1,,,,,,,
545,1 Sec Orange Aura Wave,745,Bip01 Spine2,1000,100,0,1,,,,,,,
546,1 Sec Purple Aura Wave ,746,Bip01 Spine2,1000,100,0,1,,,,,,,
547,1 Sec Red Aura Wave,747,Bip01 Spine2,1000,100,0,1,,,,,,,
548,1 Sec Blue Aura Wave,748,Bip01 Spine2,1000,100,0,1,,,,,,,
549,1 Sec Green Aura Wave,749,Bip01 Spine2,1000,100,0,1,,,,,,,
550,4 Sec Blue Aura Wave,750,Bip01 Spine2,4000,100,0,1,,,,,,,
551,4 Sec Green Aura Wave,751,Bip01 Spine2,4000,100,0,1,,,,,,,
552,4 Sec Orange Aura Wave,752,Bip01 Spine2,4000,100,0,1,,,,,,,
553,4 Sec Purple Aura Wave,753,Bip01 Spine2,4000,100,0,1,,,,,,,
554,4 Sec Red Aura Wave,754,Bip01 Spine2,4000,100,0,1,,,,,,,
555,1 Sec Blue Stream,755,Bip01 Spine2,1000,100,0,1,,,,,,,
556,1 Sec Green Stream,756,Bip01 Spine2,1000,100,0,1,,,,,,,
557,1 Sec Orange Stream,757,Bip01 Spine2,1000,100,0,1,,,,,,,
558,1 Sec Purple Stream,758,Bip01 Spine2,1000,100,0,1,,,,,,,
559,1 Sec Red Steam,759,Bip01 Spine2,1000,100,0,1,,,,,,,
560,4 Sec Blue Stream,760,Bip01 Spine2,4000,100,0,1,,,,,,,
561,4 Sec Green Stream,761,Bip01 Spine2,4000,100,0,1,,,,,,,
562,4 Sec Orange Stream,762,Bip01 Spine2,4000,100,0,1,,,,,,,
563,4 Sec Purple Stream,763,Bip01 Spine2,4000,100,0,1,,,,,,,
564,4 Sec Red Stream,764,Bip01 Spine2,4000,100,0,1,,,,,,,
565,Push Wave Effect,765,rootnode,1500,100,0,1,,,,,,,
566,Orange Rising Streaks,766,rootnode,1500,100,0,1,,,,,,,
567,Purple Rising Streaks,767,rootnode,1500,100,0,1,,,,,,,
568,Red Rising Streaks,768,rootnode,1500,100,0,1,,,,,,,
569,Green Rising Streaks,769,rootnode,1500,100,0,1,,,,,,,
570,Blue Rising Streaks,770,rootnode,1500,100,0,1,,,,,,,
571,Labyrinth Fire Effect,771,rootnode,3000,100,0,1,,,,,,,
572,Power Cold Hit,772,targetchest,1500,100,0,1,,,,,,,
573,Power Fire Hit,773,targetchest,1000,100,0,1,,,,,,,
574,Power Purple Hit,774,targetchest,1000,100,0,1,,,,,,,
575,Power Red Hit,775,targetchest,1000,100,0,1,,,,,,,
576,Grey Fanspray,776,rootnode,1000,100,0,0,,,,,,,
577,Hushing Face(Silence),783,rootnode,2000,100,0,0,,,,,,,
578,Black Wind Hit,788,Bip01 Head,8000,100,0,1,,,,,,,
579,Steamspray,789,Bip01 Pelvis,3000,100,2,1,,,,,,,
580,Dracolich Breath,793,Bip01 Head,3000,100,1,1,,,,,,,
581,Dracolich Hit,794,Bip01 Pelvis,8000,100,0,1,,,,,,,
582,Bind on Equip,795,Bip01 Spine2,2000,100,0,1,,,,,,,
583,10 second mana/power cylindrical shield,796,rootnode,10000,120,0,1,,,,,,,
584,green lightshaft with collapsing green rings,797,rootnode,4000,100,0,1,,,,,,,
585,red lightshaft with collapsing red rings,798,rootnode,4000,100,0,1,,,,,,,
586,Bluring Chalice,799,rootnode,3000,100,0,1,,,,,,,
587,Bluring Hammer,801,rootnode,3000,100,0,1,,,,,,,
588,Bluring Tree,800,rootnode,3000,100,0,1,,,,,,,
589,Revamp Dragon Breath Fire,802,Bip01 Head,5000,100,2,1,,,,,,,
590,Revamp Dragon Breah Spirit,803,Bip01 Head,5000,100,2,1,,,,,,,
591,Revamp Dragon Breah Cold,804,Bip01 Head,5000,100,2,1,,,,,,,
592,arrow slash01 load,805,Bip01 R Held,10000,100,2,1,,,,,,,
593,arrow slash01 travel,806,Bip01 L Held,2000,100,0,0,,,,,,,
594,arrow slash01 strike,807,Bip01 Spine2,3000,100,2,0,,,,,,,
595,arrow thrust01 load,808,Bip01 R Held,10000,100,2,1,,,,,,,
596,arrow thrust01 travel,809,Bip01 L Held,2000,100,0,0,,,,,,,
597,arrow thrust01strike,810,Bip01 Spine2,3000,100,2,0,,,,,,,
598,arrow crush01 load,811,Bip01 R Held,10000,100,2,1,,,,,,,
599,arrow crush01 travel,812,Bip01 L Held,2000,100,0,0,,,,,,,
600,arrow crush01 strike,813,Bip01 Spine2,3000,100,2,0,,,,,,,
601,arrow crit01 load,814,Bip01 R Held,10000,100,2,1,,,,,,,
602,arrow crit01 travel,815,Bip01 L Held,2000,100,0,0,,,,,,,
603,arrow crit01 strike,816,Bip01 Spine2,1000,100,2,0,,,,,,,
604,arrow poison01 load,817,Bip01 R Held,10000,100,2,1,,,,,,,
605,arrow poison01 travel,818,Bip01 L Held,2000,100,0,0,,,,,,,
606,arrow poison01 strike,819,Bip01 Spine2,1000,100,2,0,,,,,,,
607,arrow acid01 load,820,Bip01 R Held,10000,100,2,1,,,,,,,
608,arrow acid01 travel,821,Bip01 L Held,2000,100,0,0,,,,,,,
609,arrow acid01 strike,822,Bip01 Spine2,1000,100,2,0,,,,,,,
610,arrow fire01 load,823,Bip01 R Held,10000,100,2,1,,,,,,,
611,arrow fire01 travel,824,Bip01 L Held,2000,100,0,0,,,,,,,
612,arrow fire01strike,825,Bip01 Spine2,1000,100,2,0,,,,,,,
613,arrow cold01 load,826,Bip01 R Held,10000,100,2,1,,,,,,,
614,arrow cold01 travel,827,Bip01 L Held,2000,100,0,0,,,,,,,
615,arrow cold01strike,828,Bip01 Spine2,1000,100,2,0,,,,,,,
616,arrow siege01 load,829,Bip01 R Held,10000,100,2,1,,,,,,,
617,arrow siege01 travel,830,Bip01 L Held,2000,100,0,0,,,,,,,
618,arrow siege01strike,831,Bip01 Spine2,1000,100,2,0,,,,,,,
619,arrow volley01 load,832,Bip01 R Held,10000,100,2,1,,,,,,,
620,arrow volley01 shoot,833,Bip01 R Held,1333,100,0,0,,,,,,,
621,arrow volley01 strike,834,targetchest,4000,100,2,0,,,,,,,
622,Empty Nif for Archery,1,Bip01,0,100,0,0,,,,,,,
623,Revamp Dragon Hit Effect Spirit,835,targetchest,8000,100,0,1,,,,,,,
624,Relic Lightbeam Red,941,targetchest,5000,150,0,1,,,,,,,
625,Relic Holder Beam Red,942,rootnode,3000,100,0,1,,,,,,,
626,Relic Holder Beam Blue,943,rootnode,3000,100,0,1,,,,,,,
627,Relic Holder Beam Green,944,rootnode,3000,100,0,1,,,,,,,
