,hair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6,Cata Dwarf Male,6263,188,6485,6260,188,6485,6260,125,6485,6260,126,6485,6263,101,6485,6260,97,6485,6260,100,6485,6260,105,6485,6260,127,6485,6260,124,6485,6261,110,6485,6262,107,6485,6262,188,6485,6262,106,6485,6262,109,6485,6262,98,6485
22,1,Cata Dwarf Female,3516,188,,3513,188,,3513,125,,3513,126,,3516,101,,3513,97,,3513,100,,3513,105,,3513,127,,3513,124,,3514,110,,3515,107,,3515,188,,3515,106,,3515,109,,3515,98,
22,2,Cata Dwarf Female,3428,188,6265,3425,188,6265,3425,125,6265,3425,126,6265,3428,101,6265,3425,97,6265,3425,100,6265,3425,105,6265,3425,127,6265,3425,124,6265,3426,110,6265,3427,107,6265,3427,188,6265,3427,106,6265,3427,109,6265,3427,98,6265
22,3,Cata Dwarf Female,3432,188,6492,3429,188,6492,3429,125,6492,3429,126,6492,3432,101,6492,3429,97,6492,3429,100,6492,3429,105,6492,3429,127,6492,3429,124,6492,3430,110,6492,3431,107,6492,3431,188,6492,3431,106,6492,3431,109,6492,3431,98,6492
22,4,Cata Dwarf Female,3436,188,6484,3433,188,6484,3433,125,6484,3433,126,6484,3436,101,6484,3433,97,6484,3433,100,6484,3433,105,6484,3433,127,6484,3433,124,6484,3434,110,6484,3435,107,6484,3435,188,6484,3435,106,6484,3435,109,6484,3435,98,6484
23,1,Cata Inconnu Male,3839,102,,3839,188,,3839,122,,3836,188,,3839,116,,3839,115,,3839,120,,3836,99,,3836,103,,3837,111,,3837,123,,3837,118,,3838,188,,3838,108,,3838,98,,3838,117,
23,2,Cata Inconnu Male,3890,102,,3887,188,,3887,122,,3889,188,,3887,116,,3887,115,,3889,120,,3887,99,,3887,103,,3887,111,,3889,123,,3889,118,,3887,188,,3889,108,,3887,98,,3889,117,
23,3,Cata Inconnu Male,3851,102,6479,3851,188,6479,3851,122,6479,3848,188,6479,3851,116,6479,3851,115,6479,3851,120,6479,3848,99,6479,3848,103,6479,3849,111,6479,3849,123,6479,3849,118,6479,3850,188,6479,3850,108,6479,3850,98,6479,3850,117,6479
23,4,Cata Inconnu Male,3575,102,,3575,188,,3575,122,,3576,188,,3575,116,,3575,115,,3575,120,,3576,99,,3576,103,,3577,111,,3577,123,,3577,118,,3578,188,,3578,108,,3578,98,,3578,117,
23,5,Cata Inconnu Male,3851,102,6479,3851,188,6479,3851,122,6479,3848,188,6479,3851,116,6479,3851,115,6479,3851,120,6479,3848,99,6479,3848,103,6479,3849,111,6479,3849,123,6479,3849,118,6479,3850,188,6479,3850,108,6479,3850,98,6479,3850,117,6479
23,6,Cata Inconnu Male,3851,102,6479,3851,188,6479,3851,122,6479,3848,188,6479,3851,116,6479,3851,115,6479,3851,120,6479,3848,99,6479,3848,103,6479,3849,111,6479,3849,123,6479,3849,118,6479,3850,188,6479,3850,108,6479,3850,98,6479,3850,117,6479
23,7,Cata Inconnu Male,3851,102,6479,3851,188,6479,3851,122,6479,3848,188,6479,3851,116,6479,3851,115,6479,3851,120,6479,3848,99,6479,3848,103,6479,3849,111,6479,3849,123,6479,3849,118,6479,3850,188,6479,3850,108,6479,3850,98,6479,3850,117,6479
23,8,Cata Inconnu Male,3890,102,,3887,188,,3887,122,,3889,188,,3887,116,,3887,115,,3889,120,,3887,99,,3887,103,,3887,111,,3889,123,,3889,118,,3887,188,,3889,108,,3887,98,,3889,117,
24,1,Cata Inconnu Female,3839,102,,3839,188,,3839,122,,3836,188,,3839,116,,3839,115,,3839,120,,3836,99,,3836,103,,3837,111,,3837,123,,3837,118,,3838,188,,3838,108,,3838,98,,3838,117,
24,2,Cata Inconnu Female,3843,102,6481,3843,188,6481,3843,122,6481,3840,188,6481,3843,116,6481,3843,115,6481,3843,120,6481,3840,99,6481,3840,103,6481,3841,111,6481,3841,123,6481,3841,118,6481,3842,188,6481,3842,108,6481,3842,98,6481,3842,117,6481
24,3,Cata Inconnu Female,3847,102,6480,3847,188,6480,3847,122,6480,3844,188,6480,3847,116,6480,3847,115,6480,3847,120,6480,3844,99,6480,3844,103,6480,3845,111,6480,3845,123,6480,3845,118,6480,3846,188,6480,3846,108,6480,3846,98,6480,3846,117,6480
24,4,Cata Inconnu Female,3436,102,6484,3436,188,6484,3436,122,6484,3433,188,6484,3436,116,6484,3436,115,6484,3436,120,6484,3433,99,6484,3433,103,6484,3434,111,6484,3434,123,6484,3434,118,6484,3435,188,6484,3435,108,6484,3435,98,6484,3435,117,6484
24,5,Cata Inconnu Female,3847,102,6480,3847,188,6480,3847,122,6480,3844,188,6480,3847,116,6480,3847,115,6480,3847,120,6480,3844,99,6480,3844,103,6480,3845,111,6480,3845,123,6480,3845,118,6480,3846,188,6480,3846,108,6480,3846,98,6480,3846,117,6480
25,1,Cata Half Ogre Male,3867,102,,3864,188,,3864,128,,3864,97,,3864,100,,3864,121,,3864,105,,3864,127,,3864,124,,3865,110,,3866,107,,3866,188,,3866,106,,3866,109,,3866,108,,3866,98,
25,2,Cata Half Ogre Male,3867,102,,3864,188,,3864,128,,3864,97,,3864,100,,3864,121,,3864,105,,3864,127,,3864,124,,3865,110,,3866,107,,3866,188,,3866,106,,3866,109,,3866,108,,3866,98,
25,3,Cata Half Ogre Male,3871,102,,3868,188,,3868,128,,3868,97,,3868,100,,3868,121,,3868,105,,3868,127,,3868,124,,3869,110,,3870,107,,3870,188,,3870,106,,3870,109,,3870,108,,3870,98,
25,4,Cata Half Ogre Male,3867,102,,3864,188,,3864,128,,3864,97,,3864,100,,3864,121,,3864,105,,3864,127,,3864,124,,3865,110,,3866,107,,3866,188,,3866,106,,3866,109,,3866,108,,3866,98,
25,5,Cata Half Ogre Male,3867,102,,3864,188,,3864,128,,3864,97,,3864,100,,3864,121,,3864,105,,3864,127,,3864,124,,3865,110,,3866,107,,3866,188,,3866,106,,3866,109,,3866,108,,3866,98,
25,6,Cata Half Ogre Male,3871,102,,3868,188,,3868,128,,3868,97,,3868,100,,3868,121,,3868,105,,3868,127,,3868,124,,3869,110,,3870,107,,3870,188,,3870,106,,3870,109,,3870,108,,3870,98,
25,7,Cata Half Ogre Male,3867,102,,3864,188,,3864,128,,3864,97,,3864,100,,3864,121,,3864,105,,3864,127,,3864,124,,3865,110,,3866,107,,3866,188,,3866,106,,3866,109,,3866,108,,3866,98,
26,1,Cata Half Ogre Female,3863,102,6360,3860,188,6360,3860,128,6360,3860,97,6360,3860,100,6360,3860,121,6360,3860,105,6360,3860,127,6360,3860,124,6360,3861,110,6360,3862,107,6360,3862,188,6360,3862,106,6360,3862,109,6360,3862,108,6360,3862,98,6360
26,2,Cata Half Ogre Female,3863,102,6360,3860,188,6360,3860,128,6360,3860,97,6360,3860,100,6360,3860,121,6360,3860,105,6360,3860,127,6360,3860,124,6360,3861,110,6360,3862,107,6360,3862,188,6360,3862,106,6360,3862,109,6360,3862,108,6360,3862,98,6360
26,3,Cata Half Ogre Female,3508,102,,3505,188,,3505,128,,3505,97,,3505,100,,3505,121,,3505,105,,3505,127,,3505,124,,3506,110,,3507,107,,3507,188,,3507,106,,3507,109,,3507,108,,3507,98,
26,4,Cata Half Ogre Female,3863,102,6360,3860,188,6360,3860,128,6360,3860,97,6360,3860,100,6360,3860,121,6360,3860,105,6360,3860,127,6360,3860,124,6360,3861,110,6360,3862,107,6360,3862,188,6360,3862,106,6360,3862,109,6360,3862,108,6360,3862,98,6360
27,1,Cata Valkyn Male,3489,188,,3489,105,,3492,101,,3489,128,,3489,97,,3489,100,,3489,121,,3489,124,,3490,123,,3490,110,,3491,107,,3491,188,,3491,106,,3491,109,,3491,108,,3491,98,
27,2,Cata Valkyn Male,3493,188,,3493,105,,3496,101,,3493,128,,3493,97,,3493,100,,3493,121,,3493,124,,3494,123,,3494,110,,3495,107,,3495,188,,3495,106,,3495,109,,3495,108,,3495,98,
27,3,Cata Valkyn Male,3489,188,,3489,105,,3492,101,,3489,128,,3489,97,,3489,100,,3489,121,,3489,124,,3490,123,,3490,110,,3491,107,,3491,188,,3491,106,,3491,109,,3491,108,,3491,98,
27,4,Cata Valkyn Male,3497,188,6490,3497,105,6490,3500,101,6490,3497,128,6490,3497,97,6490,3497,100,6490,3497,121,6490,3497,124,6490,3498,123,6490,3498,110,6490,3499,107,6490,3499,188,6490,3499,106,6490,3499,109,6490,3499,108,6490,3499,98,6490
28,1,Cata Valkyn Female,3501,188,,3501,105,,3504,101,,3501,128,,3501,97,,3501,100,,3501,121,,3501,124,,3502,123,,3502,110,,3503,107,,3503,188,,3503,106,,3503,109,,3503,108,,3503,98,
28,2,Cata Valkyn Female,3505,188,,3505,105,,3508,101,,3505,128,,3505,97,,3505,100,,3505,121,,3505,124,,3506,123,,3506,110,,3507,107,,3507,188,,3507,106,,3507,109,,3507,108,,3507,98,
28,3,Cata Valkyn Female,3509,188,,3509,105,,3512,101,,3509,128,,3509,97,,3509,100,,3509,121,,3509,124,,3510,123,,3510,110,,3511,107,,3511,188,,3511,106,,3511,109,,3511,108,,3511,98,
28,4,Cata Valkyn Female,3497,188,6490,3497,105,6490,3500,101,6490,3497,128,6490,3497,97,6490,3497,100,6490,3497,121,6490,3497,124,6490,3498,123,6490,3498,110,6490,3499,107,6490,3499,188,6490,3499,106,6490,3499,109,6490,3499,108,6490,3499,98,6490
29,1,Cata Firbolg Male,3899,122,,3899,116,,3896,131,,3899,101,,3896,128,,3896,97,,3896,100,,3896,114,,3896,124,,3897,130,,3897,129,,3897,123,,3897,112,,3897,118,,3898,107,,3898,117,
29,2,Cata Firbolg Male,3899,122,,3899,116,,3896,131,,3899,101,,3896,128,,3896,97,,3896,100,,3896,114,,3896,124,,3897,130,,3897,129,,3897,123,,3897,112,,3897,118,,3898,107,,3898,117,
29,3,Cata Firbolg Male,3420,122,,3420,116,,3417,131,,3420,101,,3417,128,,3417,97,,3417,100,,3417,114,,3417,124,,3418,130,,3418,129,,3418,123,,3418,112,,3418,118,,3419,107,,3419,117,
29,4,Cata Firbolg Male,3420,122,,3420,116,,3417,131,,3420,101,,3417,128,,3417,97,,3417,100,,3417,114,,3417,124,,3418,130,,3418,129,,3418,123,,3418,112,,3418,118,,3419,107,,3419,117,
29,5,Cata Firbolg Male,3899,122,,3899,116,,3896,131,,3899,101,,3896,128,,3896,97,,3896,100,,3896,114,,3896,124,,3897,130,,3897,129,,3897,123,,3897,112,,3897,118,,3898,107,,3898,117,
29,6,Cata Firbolg Male,3420,122,,3420,116,,3417,131,,3420,101,,3417,128,,3417,97,,3417,100,,3417,114,,3417,124,,3418,130,,3418,129,,3418,123,,3418,112,,3418,118,,3419,107,,3419,117,
29,7,Cata Firbolg Male,3420,122,,3420,116,,3417,131,,3420,101,,3417,128,,3417,97,,3417,100,,3417,114,,3417,124,,3418,130,,3418,129,,3418,123,,3418,112,,3418,118,,3419,107,,3419,117,
29,8,Cata Firbolg Male,3420,122,,3420,116,,3417,131,,3420,101,,3417,128,,3417,97,,3417,100,,3417,114,,3417,124,,3418,130,,3418,129,,3418,123,,3418,112,,3418,118,,3419,107,,3419,117,
30,1,Cata Firbolg Female,3971,122,6356,3971,116,6356,3968,131,6356,3971,101,6356,3968,128,6356,3968,97,6356,3968,100,6356,3968,114,6356,3968,124,6356,3969,130,6356,3969,129,6356,3969,123,6356,3969,112,6356,3969,118,6356,3970,107,6356,3970,117,6356
30,2,Cata Firbolg Female,3863,122,6360,3863,116,6360,3860,131,6360,3863,101,6360,3860,128,6360,3860,97,6360,3860,100,6360,3860,114,6360,3860,124,6360,3861,130,6360,3861,129,6360,3861,123,6360,3861,112,6360,3861,118,6360,3862,107,6360,3862,117,6360
30,3,Cata Firbolg Female,3975,122,,3975,116,,3972,131,,3975,101,,3972,128,,3972,97,,3972,100,,3972,114,,3972,124,,3973,130,,3973,129,,3973,123,,3973,112,,3973,118,,3974,107,,3974,117,
30,4,Cata Firbolg Female,3911,122,,3911,116,,3908,131,,3911,101,,3908,128,,3908,97,,3908,100,,3908,114,,3908,124,,3909,130,,3909,129,,3909,123,,3909,112,,3909,118,,3910,107,,3910,117,
31,1,Cata Troll Male,1,1,,1,2,,1,3,,1,4,,2,1,,2,2,,2,3,,2,4,,3,1,,3,2,,3,3,,3,4,,4,1,,4,2,,4,3,,4,4,
32,1,Cata Troll Female,1,1,,1,2,,1,3,,1,4,,2,1,,2,2,,2,3,,2,4,,3,1,,3,2,,3,3,,3,4,,4,1,,4,2,,4,3,,4,4,
33,1,Cata Celt Male,3912,188,,3912,126,,3915,116,,3915,228,,3912,99,,3912,131,,3912,128,,3912,97,,3912,100,,3912,124,,3913,123,,3913,110,,3912,259,,3914,188,,3914,108,,3914,98,
33,2,Cata Celt Male,3804,188,,3804,126,,3807,116,,3807,228,,3804,99,,3804,131,,3804,128,,3804,97,,3804,100,,3804,124,,3805,123,,3805,110,,3804,259,,3806,188,,3806,108,,3806,98,
33,3,Cata Celt Male,3896,188,,3896,126,,3899,116,,3899,228,,3896,99,,3896,131,,3896,128,,3896,97,,3896,100,,3896,124,,3897,123,,3897,110,,3896,259,,3898,188,,3898,108,,3898,98,
33,4,Cata Celt Male,3883,188,,3883,126,,3886,116,,3886,228,,3883,99,,3883,131,,3883,128,,3883,97,,3883,100,,3883,124,,3884,123,,3884,110,,3883,259,,3885,188,,3885,108,,3885,98,
33,5,Cata Celt Male,3912,188,,3912,126,,3915,116,,3915,228,,3912,99,,3912,131,,3912,128,,3912,97,,3912,100,,3912,124,,3913,123,,3913,110,,3912,259,,3914,188,,3914,108,,3914,98,
33,6,Cata Celt Male,3912,188,,3912,126,,3915,116,,3915,228,,3912,99,,3912,131,,3912,128,,3912,97,,3912,100,,3912,124,,3913,123,,3913,110,,3912,259,,3914,188,,3914,108,,3914,98,
33,7,Cata Celt Male,3808,188,,3808,126,,3811,116,,3808,228,,3811,99,,3808,131,,3808,128,,3808,97,,3808,100,,3808,124,,3809,253,,3810,110,,3810,259,,3810,188,,3810,108,,3810,98,
33,8,Cata Celt Male,3808,188,,3808,126,,3811,116,,3808,228,,3811,99,,3808,131,,3808,128,,3808,97,,3808,100,,3808,124,,3809,253,,3810,110,,3810,259,,3810,188,,3810,108,,3810,98,
34,1,Cata Celt Female,3800,188,6475,3800,126,6475,3803,116,6475,3803,228,6475,3800,99,6475,3800,131,6475,3800,128,6475,3800,97,6475,3800,100,6475,3800,124,6475,3801,123,6475,3801,110,6475,3800,259,6475,3802,188,6475,3802,108,6475,3802,98,6475
34,2,Cata Celt Female,3788,188,,3788,126,,3791,116,,3791,228,,3788,99,,3788,131,,3788,128,,3788,97,,3788,100,,3788,124,,3789,123,,3789,110,,3788,259,,3790,188,,3790,108,,3790,98,
34,3,Cata Celt Female,3912,188,,3912,126,,3915,116,,3915,228,,3912,99,,3912,131,,3912,128,,3912,97,,3912,100,,3912,124,,3913,123,,3913,110,,3912,259,,3914,188,,3914,108,,3914,98,
34,4,Cata Celt Female,3437,188,,3437,126,,3440,116,,3440,228,,3437,99,,3437,131,,3437,128,,3437,97,,3437,100,,3437,124,,3438,123,,3438,110,,3439,259,,3439,188,,3439,108,,3439,98,
34,5,Cata Celt Female,3800,188,6475,3800,126,6475,3803,116,6475,3800,228,6475,3803,99,6475,3800,131,6475,3800,128,6475,3800,97,6475,3800,100,6475,3800,124,6475,3801,253,6475,3802,110,6475,3802,259,6475,3802,188,6475,3802,108,6475,3802,98,6475
35,1,Cata Sylvan Male,3938,188,,3939,188,,3937,188,,3937,132,,3938,133,,3938,141,,3939,142,,3939,134,,3939,138,,3937,140,,3938,137,,3936,188,,3936,135,,3936,188,,3937,136,,3936,139,
35,2,Cata Sylvan Male,3942,188,,3943,188,,3941,188,,3941,132,,3942,133,,3942,141,,3943,142,,3943,134,,3943,138,,3941,140,,3942,137,,3940,188,,3940,135,,3940,188,,3941,136,,3940,139,
35,3,Cata Sylvan Male,3946,188,,3947,188,,3945,188,,3945,132,,3946,133,,3946,141,,3947,142,,3947,134,,3947,138,,3945,140,,3946,137,,3944,188,,3944,135,,3944,188,,3945,136,,3944,139,
35,4,Cata Sylvan Male,3938,188,,3939,188,,3937,188,,3937,132,,3938,133,,3938,141,,3939,142,,3939,134,,3939,138,,3937,140,,3938,137,,3936,188,,3936,135,,3936,188,,3937,136,,3936,139,
35,5,Cata Sylvan Male,3938,188,,3939,188,,3937,188,,3937,132,,3938,133,,3938,141,,3939,142,,3939,134,,3939,138,,3937,140,,3938,137,,3936,188,,3936,135,,3936,188,,3937,136,,3936,139,
35,6,Cata Sylvan Male,3942,188,,3943,188,,3941,188,,3941,132,,3942,133,,3942,141,,3943,142,,3943,134,,3943,138,,3941,140,,3942,137,,3940,188,,3940,135,,3940,188,,3941,136,,3940,139,
36,1,Cata Sylvan Female,3938,188,,3939,188,,3937,188,,3937,132,,3938,133,,3938,141,,3939,142,,3939,134,,3939,138,,3937,140,,3938,137,,3936,188,,3936,135,,3936,188,,3937,136,,3936,139,
36,2,Cata Sylvan Female,3942,188,,3943,188,,3941,188,,3941,132,,3942,133,,3942,141,,3943,142,,3943,134,,3943,138,,3941,140,,3942,137,,3940,188,,3940,135,,3940,188,,3941,136,,3940,139,
36,3,Cata Sylvan Female,3946,188,,3947,188,,3945,188,,3945,132,,3946,133,,3946,141,,3947,142,,3947,134,,3947,138,,3945,140,,3946,137,,3944,188,,3944,135,,3944,188,,3945,136,,3944,139,
36,4,Cata Sylvan Female,3938,188,,3939,188,,3937,188,,3937,132,,3938,133,,3938,141,,3939,142,,3939,134,,3939,138,,3937,140,,3938,137,,3936,188,,3936,135,,3936,188,,3937,136,,3936,139,
37,1,Bainshee Celt Female,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,
37,2,Bainshee Celt Female,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,
37,3,Bainshee Celt Female,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,
37,4,Bainshee Celt Female,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,
37,5,Bainshee Celt Female,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,
38,1,Bainshee Luri Female,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,
38,2,Bainshee Luri Female,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,
38,3,Bainshee Luri Female,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,
38,4,Bainshee Luri Female,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,
39,1,Bainshee Elf Female,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,
39,2,Bainshee Elf Female,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,
39,3,Bainshee Elf Female,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,
39,4,Bainshee Elf Female,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,,6039,188,
42,1,Cata Old Briton Male,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,
42,2,Cata Old Briton Male,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,
42,3,Cata Old Briton Male,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,
42,4,Cata Old Briton Male,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,
43,1,Cata Old Briton Female,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,
43,2,Cata Old Briton Female,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,
43,3,Cata Old Briton Female,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,
43,4,Cata Old Briton Female,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,
44,1,Cata Old Celt Male,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,
44,2,Cata Old Celt Male,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,
44,3,Cata Old Celt Male,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,
44,4,Cata Old Celt Male,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,,3927,188,
45,1,Cata Old Celt Female,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,
45,2,Cata Old Celt Female,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,
45,3,Cata Old Celt Female,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,
45,4,Cata Old Celt Female,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,
46,1,Cata Old Norse Male,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,
46,2,Cata Old Norse Male,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,
46,3,Cata Old Norse Male,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,
46,4,Cata Old Norse Male,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,,3424,188,
47,1,Cata Old Norse Female,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,
47,2,Cata Old Norse Female,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,
47,3,Cata Old Norse Female,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,
47,4,Cata Old Norse Female,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,,3799,249,
48,1,Standard,6596,188,,6595,188,,6597,188,,6624,188,,6625,188,,6626,188,,6641,188,,6642,188,,6664,188,,6657,188,,6658,188,,6659,188,,6660,188,,6661,188,,6662,188,,6961,188,
49,1,Nightmare,6645,188,,6960,188,,6645,188,,6645,188,,6645,188,,6645,188,,6645,188,,6645,188,,6645,188,,6645,188,,6645,188,,6645,188,,6645,188,,6645,188,,6645,188,,6645,188,
50,1,Heavy,6596,188,,6595,188,,6597,188,,6624,188,,6625,188,,6626,188,,6641,188,,6642,188,,6642,188,,6657,188,,6658,188,,6659,188,,6660,188,,6661,188,,6662,188,,6961,188,
51,1,Undead,6719,188,,6719,188,,6719,188,,6719,188,,6719,188,,6719,188,,6719,188,,6642,188,,6719,188,,6719,188,,6719,188,,6719,188,,6719,188,,6719,188,,6719,188,,6719,188,
52,1,Unicorn,6596,188,,6595,188,,6597,188,,6624,188,,6625,188,,6626,188,,6641,188,,6643,188,,6642,188,,6657,188,,6658,188,,6659,188,,6660,188,,6661,188,,6662,188,,6663,188,
53,1,Epic Mount,6687,188,,6688,188,,6689,188,,6690,188,,6964,188,,6965,188,,6689,188,,6690,188,,6687,188,,6688,188,,6689,188,,6890,188,,6687,188,,6688,188,,6689,188,,6890,188,
59,1,Pink Unicorn,6838,188,,6838,188,,6838,188,,6838,188,,6838,188,,6838,188,,6838,188,,6838,188,,6838,188,,6838,188,,6838,188,,6838,188,,6838,188,,6838,188,,6838,188,,6838,188,
61,1,Albion Minotaur,6928,188,,6928,125,,6928,100,,6928,103,,6929,188, ,6929,125,,6929,100,,6929,103,,6930,188,,6930,125,,6930,100,,6930,103,,6931,188,,6931,125,,6931,100,,6931,103,
61,2,Albion Minotaur,6928,188,,6928,125,,6928,100,,6928,103,,6929,188,,6929,125,,6929,100,,6929,103,,6930,188,,6930,125,,6930,100,,6930,103,,6931,188,,6931,125,,6931,100,,6931,103,
